Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0007399~nervous system development	287	20.72202166064982	3.0441105509245375E-28	25902, 340371, 9863, 23287, 79094, 388552, 118427, 374946, 57622, 596, 57624, 23040, 4609, 27086, 79414, 84687, 85414, 2664, 23043, 116, 51761, 8648, 7436, 54910, 9856, 10893, 8646, 152330, 9751, 4062, 5274, 8543, 388662, 2560, 5270, 2675, 60484, 4852, 4613, 4978, 7224, 7345, 22859, 7223, 490, 6809, 57526, 83933, 4741, 3897, 10752, 4745, 816, 4747, 10512, 818, 8321, 8440, 348980, 3792, 4761, 1809, 9890, 1129, 1128, 2334, 23154, 7349, 1808, 3785, 6812, 4756, 706, 83482, 1009, 7483, 114787, 1141, 161497, 440730, 10612, 57662, 51440, 1496, 3675, 8448, 55800, 10058, 2902, 1812, 54715, 23017, 93185, 287, 288, 26086, 441381, 29116, 6711, 6712, 85442, 6715, 51339, 55816, 10501, 10500, 23108, 9201, 5881, 4674, 2254, 26052, 2009, 57689, 27020, 1951, 81551, 10718, 4665, 10397, 26050, 65078, 347730, 91584, 9211, 6860, 92558, 8128, 4684, 4685, 57451, 8482, 100132074, 22941, 1600, 51232, 2258, 1840, 56122, 2016, 2257, 56124, 126731, 57698, 55715, 90249, 50944, 8013, 7046, 10251, 26038, 56130, 57463, 56132, 7042, 1855, 389119, 56135, 1056, 8927, 255738, 4208, 9355, 5792, 8941, 7058, 9118, 5796, 2044, 23213, 2042, 2281, 56144, 1740, 653464, 56147, 5789, 2290, 9247, 222950, 64218, 6092, 23542, 2173, 23544, 146760, 6096, 23426, 54897, 26012, 4908, 79955, 84623, 8704, 658, 8822, 6405, 10479, 163404, 5453, 9379, 3398, 2185, 9253, 23314, 4916, 57497, 1400, 57498, 54549, 5567, 7869, 5209, 23768, 349667, 6792, 9024, 8851, 10570, 9148, 4135, 27445, 9143, 10458, 430, 51286, 54674, 6546, 6666, 79739, 6547, 3714, 8620, 84628, 9394, 57030, 5590, 388610, 566, 5909, 347902, 78999, 5468, 80031, 5361, 9048, 64377, 8633, 6456, 285016, 9600, 8193, 57282, 163175, 84668, 51062, 333, 576, 79633, 578, 6446, 8745, 140733, 89797, 9839, 9734, 4168, 63974, 80725, 27319, 55790, 57611, 54221, 3624, 81029, 3623, 1687, 57731, 5126, 107, 8516, 5127, 6457, 84894, 84530, 5800, 55558	1081	1965	13712	1.8526545725026067	1.99115271135974E-24	1.99115271135974E-24	1.9250955124046775E-24
GOTERM_BP_FAT	GO:0031175~neuron projection development	138	9.963898916967509	6.839697771410787E-21	8013, 10251, 9863, 388552, 57463, 374946, 7042, 57622, 1855, 57624, 596, 27086, 79414, 84687, 2664, 23043, 116, 51761, 7436, 54910, 9856, 152330, 4208, 9355, 5792, 5796, 2044, 2042, 2281, 653464, 4852, 5789, 7224, 7345, 222950, 6092, 64218, 23542, 146760, 23426, 6809, 26012, 4908, 84623, 4741, 658, 6405, 3897, 10752, 816, 10512, 4747, 10479, 8440, 163404, 3792, 1809, 2185, 9890, 9253, 4916, 1400, 57497, 57498, 23154, 1808, 7349, 6812, 4756, 7869, 706, 1009, 23768, 349667, 9024, 6792, 10570, 8851, 9148, 4135, 114787, 1141, 440730, 10458, 57662, 1496, 3675, 2902, 84628, 5590, 288, 6711, 78999, 6712, 85442, 80031, 10501, 10500, 23108, 9201, 9048, 5361, 8633, 5881, 285016, 26052, 57689, 51062, 27020, 1951, 81551, 6446, 26050, 65078, 91584, 9211, 92558, 6860, 4684, 4168, 4685, 80725, 57451, 8482, 100132074, 57611, 1600, 2258, 2016, 57698, 57731, 107, 5127, 90249, 84894, 55558, 5800, 50944	1081	766	13712	2.285206377423476	4.4738463122797957E-17	1.7494241438013117E-17	1.6913863759974768E-17
GOTERM_BP_FAT	GO:0048666~neuron development	153	11.046931407942239	8.023654535092394E-21	8013, 10251, 9863, 388552, 57463, 118427, 374946, 7042, 57622, 1855, 57624, 596, 27086, 79414, 84687, 2664, 23043, 116, 51761, 7436, 54910, 9856, 152330, 4208, 9355, 5792, 5796, 2044, 2560, 2042, 2281, 653464, 4852, 5789, 4978, 7224, 7345, 222950, 6092, 64218, 23542, 146760, 6096, 23426, 6809, 26012, 4908, 79955, 84623, 4741, 658, 6405, 3897, 10752, 816, 10512, 4747, 10479, 8440, 348980, 163404, 3792, 4761, 1809, 3398, 2185, 9890, 9253, 4916, 1400, 57497, 57498, 23154, 1808, 7349, 6812, 4756, 7869, 706, 1009, 23768, 349667, 9024, 6792, 10570, 8851, 9148, 4135, 114787, 1141, 440730, 161497, 10458, 57662, 1496, 3675, 2902, 1812, 84628, 9394, 5590, 288, 6711, 78999, 6712, 85442, 80031, 10501, 10500, 23108, 9201, 9048, 5361, 8633, 5881, 285016, 57282, 163175, 26052, 57689, 51062, 27020, 1951, 81551, 79633, 6446, 26050, 65078, 91584, 9211, 92558, 6860, 4684, 4168, 4685, 80725, 57451, 8482, 100132074, 57611, 1600, 2258, 2016, 126731, 57698, 57731, 107, 5127, 90249, 84894, 55558, 5800, 50944	1081	896	13712	2.1660003964583057	5.248272431403935E-17	1.7494241438013117E-17	1.6913863759974768E-17
GOTERM_BP_FAT	GO:0022008~neurogenesis	198	14.296028880866427	4.6148853731107106E-20	340371, 9863, 23287, 79094, 388552, 118427, 374946, 57622, 596, 57624, 4609, 27086, 79414, 84687, 85414, 2664, 23043, 116, 51761, 8648, 7436, 54910, 9856, 10893, 152330, 9751, 8543, 2560, 5270, 4852, 4613, 4978, 7224, 7345, 7223, 6809, 83933, 4741, 3897, 10752, 816, 4747, 10512, 8321, 8440, 348980, 3792, 4761, 1809, 9890, 23154, 7349, 1808, 6812, 4756, 706, 83482, 1009, 7483, 114787, 1141, 161497, 440730, 57662, 1496, 3675, 2902, 1812, 23017, 288, 6711, 6712, 85442, 10501, 10500, 23108, 9201, 5881, 4674, 26052, 2009, 57689, 27020, 1951, 81551, 10718, 4665, 10397, 26050, 65078, 91584, 9211, 6860, 92558, 4684, 4685, 57451, 8482, 100132074, 1600, 2258, 1840, 2016, 126731, 57698, 90249, 50944, 8013, 7046, 10251, 26038, 57463, 7042, 1855, 255738, 4208, 9355, 5792, 8941, 5796, 2044, 2042, 2281, 653464, 5789, 9247, 222950, 64218, 6092, 23542, 2173, 146760, 6096, 23426, 54897, 26012, 4908, 79955, 84623, 658, 6405, 10479, 163404, 5453, 3398, 2185, 9253, 23314, 4916, 57497, 1400, 57498, 54549, 7869, 23768, 349667, 6792, 9024, 8851, 10570, 9148, 4135, 10458, 430, 51286, 6547, 3714, 84628, 9394, 5590, 566, 5909, 78999, 5468, 80031, 5361, 9048, 8633, 285016, 57282, 163175, 51062, 79633, 6446, 9734, 4168, 80725, 27319, 57611, 3624, 81029, 1687, 57731, 107, 5127, 84894, 5800, 55558	1081	1324	13712	1.8969344150962382	3.018596522551716E-16	6.095309983082596E-17	5.893095907814452E-17
GOTERM_BP_FAT	GO:0030182~neuron differentiation	176	12.707581227436823	4.659310490049377E-20	8013, 7046, 340371, 10251, 9863, 26038, 23287, 388552, 57463, 118427, 374946, 7042, 57622, 1855, 57624, 596, 27086, 79414, 84687, 2664, 23043, 116, 51761, 8648, 7436, 54910, 9856, 255738, 152330, 4208, 9751, 9355, 5792, 8543, 5796, 2044, 2560, 2042, 2281, 653464, 4852, 5789, 4613, 4978, 7224, 7345, 222950, 6092, 64218, 23542, 146760, 6096, 23426, 6809, 26012, 4908, 79955, 84623, 4741, 658, 6405, 3897, 10752, 816, 10512, 4747, 10479, 8321, 8440, 348980, 163404, 3792, 4761, 1809, 3398, 2185, 9890, 23314, 9253, 4916, 1400, 57497, 57498, 23154, 1808, 54549, 7349, 6812, 4756, 7869, 706, 1009, 23768, 7483, 349667, 9024, 6792, 10570, 8851, 9148, 4135, 114787, 1141, 440730, 161497, 10458, 57662, 51286, 1496, 3675, 2902, 1812, 3714, 84628, 23017, 9394, 5590, 288, 5909, 6711, 78999, 6712, 85442, 80031, 10501, 10500, 23108, 9201, 9048, 5361, 8633, 5881, 285016, 4674, 57282, 163175, 26052, 57689, 51062, 27020, 1951, 81551, 79633, 6446, 26050, 65078, 91584, 9211, 9734, 92558, 6860, 4684, 4168, 4685, 80725, 57451, 8482, 100132074, 57611, 3624, 1600, 81029, 1687, 1840, 2258, 2016, 126731, 57698, 57731, 107, 5127, 90249, 84894, 55558, 5800, 50944	1081	1119	13712	1.9950679500247595	3.047654991541298E-16	6.095309983082596E-17	5.893095907814452E-17
GOTERM_BP_FAT	GO:0099537~trans-synaptic signaling	107	7.725631768953069	3.414858135784653E-19	9228, 8499, 56130, 3363, 56132, 57622, 1855, 79414, 10815, 57586, 116, 5413, 6622, 8927, 152330, 4208, 9751, 8541, 729993, 5792, 254263, 5270, 1740, 4852, 5789, 22859, 64854, 2054, 23542, 440279, 6809, 774, 26012, 84502, 777, 8825, 5799, 4987, 816, 6804, 9892, 594855, 4761, 9379, 6543, 5334, 9094, 2185, 3274, 22986, 1129, 1128, 783, 784, 57497, 23154, 7349, 3785, 6812, 5581, 9783, 9148, 27445, 1141, 10458, 2742, 8448, 6547, 2904, 4889, 4923, 2902, 54716, 1812, 8224, 8620, 729956, 57030, 5590, 2911, 78999, 2917, 2913, 9568, 5881, 2770, 9162, 56479, 27020, 140730, 11245, 1837, 26050, 347730, 9211, 6861, 6860, 4684, 9610, 6620, 22941, 56122, 2257, 6854, 6853, 8913, 50944	1081	542	13712	2.5041457445101742	2.2336587066167416E-15	2.4818430073519355E-16	2.3995069834113493E-16
GOTERM_BP_FAT	GO:0099536~synaptic signaling	107	7.725631768953069	3.414858135784653E-19	9228, 8499, 56130, 3363, 56132, 57622, 1855, 79414, 10815, 57586, 116, 5413, 6622, 8927, 152330, 4208, 9751, 8541, 729993, 5792, 254263, 5270, 1740, 4852, 5789, 22859, 64854, 2054, 23542, 440279, 6809, 774, 26012, 84502, 777, 8825, 5799, 4987, 816, 6804, 9892, 594855, 4761, 9379, 6543, 5334, 9094, 2185, 3274, 22986, 1129, 1128, 783, 784, 57497, 23154, 7349, 3785, 6812, 5581, 9783, 9148, 27445, 1141, 10458, 2742, 8448, 6547, 2904, 4889, 4923, 2902, 54716, 1812, 8224, 8620, 729956, 57030, 5590, 2911, 78999, 2917, 2913, 9568, 5881, 2770, 9162, 56479, 27020, 140730, 11245, 1837, 26050, 347730, 9211, 6861, 6860, 4684, 9610, 6620, 22941, 56122, 2257, 6854, 6853, 8913, 50944	1081	542	13712	2.5041457445101742	2.2336587066167416E-15	2.4818430073519355E-16	2.3995069834113493E-16
GOTERM_BP_FAT	GO:0098916~anterograde trans-synaptic signaling	107	7.725631768953069	3.414858135784653E-19	9228, 8499, 56130, 3363, 56132, 57622, 1855, 79414, 10815, 57586, 116, 5413, 6622, 8927, 152330, 4208, 9751, 8541, 729993, 5792, 254263, 5270, 1740, 4852, 5789, 22859, 64854, 2054, 23542, 440279, 6809, 774, 26012, 84502, 777, 8825, 5799, 4987, 816, 6804, 9892, 594855, 4761, 9379, 6543, 5334, 9094, 2185, 3274, 22986, 1129, 1128, 783, 784, 57497, 23154, 7349, 3785, 6812, 5581, 9783, 9148, 27445, 1141, 10458, 2742, 8448, 6547, 2904, 4889, 4923, 2902, 54716, 1812, 8224, 8620, 729956, 57030, 5590, 2911, 78999, 2917, 2913, 9568, 5881, 2770, 9162, 56479, 27020, 140730, 11245, 1837, 26050, 347730, 9211, 6861, 6860, 4684, 9610, 6620, 22941, 56122, 2257, 6854, 6853, 8913, 50944	1081	542	13712	2.5041457445101742	2.2336587066167416E-15	2.4818430073519355E-16	2.3995069834113493E-16
GOTERM_BP_FAT	GO:0007268~chemical synaptic transmission	107	7.725631768953069	3.414858135784653E-19	9228, 8499, 56130, 3363, 56132, 57622, 1855, 79414, 10815, 57586, 116, 5413, 6622, 8927, 152330, 4208, 9751, 8541, 729993, 5792, 254263, 5270, 1740, 4852, 5789, 22859, 64854, 2054, 23542, 440279, 6809, 774, 26012, 84502, 777, 8825, 5799, 4987, 816, 6804, 9892, 594855, 4761, 9379, 6543, 5334, 9094, 2185, 3274, 22986, 1129, 1128, 783, 784, 57497, 23154, 7349, 3785, 6812, 5581, 9783, 9148, 27445, 1141, 10458, 2742, 8448, 6547, 2904, 4889, 4923, 2902, 54716, 1812, 8224, 8620, 729956, 57030, 5590, 2911, 78999, 2917, 2913, 9568, 5881, 2770, 9162, 56479, 27020, 140730, 11245, 1837, 26050, 347730, 9211, 6861, 6860, 4684, 9610, 6620, 22941, 56122, 2257, 6854, 6853, 8913, 50944	1081	542	13712	2.5041457445101742	2.2336587066167416E-15	2.4818430073519355E-16	2.3995069834113493E-16
GOTERM_BP_FAT	GO:0048699~generation of neurons	186	13.429602888086642	5.963620393712027E-19	8013, 7046, 340371, 10251, 9863, 26038, 23287, 388552, 57463, 118427, 374946, 7042, 57622, 1855, 57624, 596, 4609, 27086, 79414, 85414, 84687, 2664, 23043, 116, 51761, 8648, 7436, 54910, 9856, 255738, 152330, 4208, 9751, 9355, 5792, 8941, 8543, 5796, 2044, 2560, 2042, 5270, 2281, 653464, 4852, 5789, 4613, 4978, 7224, 7345, 222950, 6092, 64218, 23542, 146760, 6096, 23426, 6809, 54897, 26012, 4908, 79955, 84623, 4741, 658, 6405, 3897, 10752, 816, 10512, 4747, 10479, 8321, 8440, 348980, 163404, 3792, 4761, 1809, 3398, 2185, 9890, 23314, 9253, 4916, 1400, 57497, 57498, 23154, 1808, 54549, 7349, 6812, 4756, 7869, 706, 83482, 1009, 23768, 7483, 349667, 9024, 6792, 10570, 8851, 9148, 4135, 114787, 1141, 440730, 161497, 430, 10458, 57662, 51286, 1496, 3675, 2902, 1812, 3714, 84628, 23017, 9394, 5590, 288, 5909, 6711, 5468, 78999, 6712, 85442, 80031, 10501, 10500, 23108, 9201, 9048, 5361, 8633, 5881, 285016, 4674, 57282, 163175, 26052, 2009, 57689, 51062, 27020, 1951, 81551, 79633, 10718, 6446, 26050, 65078, 91584, 9211, 9734, 92558, 6860, 4684, 4168, 4685, 80725, 57451, 8482, 100132074, 57611, 3624, 1600, 81029, 1687, 1840, 2258, 2016, 126731, 57698, 57731, 107, 5127, 90249, 84894, 55558, 5800, 50944	1081	1240	13712	1.9026827012025904	3.900804099527037E-15	3.900804099527037E-16	3.7713935369834856E-16
