Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules	28	2.293202293202293	3.3273485358180664E-6	56131, 56132, 56138, 56139, 1951, 56113, 56114, 9752, 5097, 5098, 8642, 56143, 56121, 51294, 56126, 27253, 56129, 56107, 56144, 57453, 56122, 56145, 56146, 26025, 56124, 56125, 1824, 199731	949	145	13324	2.71118055303223	0.020212896198317565	0.020419937964315474	0.020383337130421474
GOTERM_BP_FAT	GO:0007399~nervous system development	183	14.987714987714988	1.9917468020245097E-5	10370, 9745, 5146, 56131, 56132, 26039, 9181, 144165, 23327, 473, 56138, 27242, 57624, 56139, 57465, 1454, 10938, 3993, 10497, 79816, 10498, 10014, 3912, 9114, 221955, 10381, 9118, 8543, 18, 11075, 166614, 2044, 22882, 7291, 51090, 56143, 3925, 79885, 56144, 1741, 56145, 56146, 7844, 55219, 8536, 1627, 79809, 1746, 8399, 7224, 9369, 8153, 1996, 6929, 1750, 9638, 8826, 6925, 124925, 8440, 9497, 5179, 5454, 6664, 2066, 59277, 23316, 7074, 1400, 57497, 2334, 53335, 1641, 54664, 6656, 1808, 85300, 84298, 50861, 55636, 11178, 10642, 7903, 6659, 83482, 5063, 4131, 9024, 6792, 5066, 10570, 5587, 7080, 1141, 1258, 27443, 4929, 1136, 5456, 9935, 5457, 3796, 140679, 3798, 8609, 8861, 221914, 23418, 8463, 9315, 4661, 8620, 285527, 65979, 64805, 145581, 51294, 1943, 1789, 1028, 64919, 2115, 57795, 23098, 29114, 2596, 29993, 5864, 4897, 60, 5623, 1827, 1946, 80031, 10500, 23108, 5362, 5364, 8997, 6695, 50807, 9448, 4035, 8874, 2254, 3066, 55384, 2250, 170302, 1951, 347733, 140735, 9839, 5097, 91584, 9211, 10160, 8128, 4045, 4684, 8642, 56121, 26468, 100132074, 460, 55553, 56126, 51195, 2138, 56122, 57453, 741, 80853, 56124, 126731, 56125, 140467, 3984, 55558, 84530, 10683, 5528, 2539	949	1926	13324	1.3340226964602846	0.1150593678556926	0.02272661798429227	0.02268588264164485
GOTERM_BP_FAT	GO:0048666~neuron development	96	7.862407862407863	2.3310109339987184E-5	5063, 6792, 4131, 9024, 5146, 10570, 5587, 7080, 1141, 26039, 23327, 473, 57624, 1258, 27443, 4929, 1136, 57465, 10938, 5457, 3798, 10498, 8609, 3912, 23418, 10381, 9315, 11075, 166614, 2044, 285527, 145581, 1943, 51294, 3925, 1028, 64919, 2115, 23098, 2596, 29993, 5864, 4897, 8536, 1946, 80031, 1627, 10500, 23108, 8399, 5362, 7224, 5364, 8997, 6695, 9448, 50807, 4035, 9369, 3066, 55384, 8153, 170302, 1996, 1951, 9638, 140735, 8826, 124925, 8440, 9497, 91584, 9211, 10160, 4684, 5454, 59277, 26468, 100132074, 23316, 7074, 57497, 57453, 1400, 53335, 1641, 54664, 126731, 6656, 1808, 85300, 84298, 50861, 3984, 55558, 11178	949	881	13324	1.529902436282173	0.1332943018685021	0.02272661798429227	0.02268588264164485
GOTERM_BP_FAT	GO:0022008~neurogenesis	131	10.728910728910728	2.5379530519016544E-5	9745, 5146, 26039, 9181, 23327, 473, 27242, 57624, 57465, 1454, 10938, 3993, 79816, 10498, 10014, 3912, 221955, 10381, 8543, 11075, 166614, 2044, 22882, 7291, 3925, 79885, 8536, 1627, 1746, 8399, 7224, 9369, 8153, 1996, 6929, 9638, 8826, 6925, 124925, 8440, 9497, 5179, 5454, 6664, 2066, 59277, 23316, 7074, 1400, 57497, 53335, 1641, 54664, 6656, 1808, 85300, 84298, 50861, 55636, 11178, 6659, 83482, 5063, 4131, 9024, 6792, 10570, 5587, 7080, 1141, 1258, 27443, 4929, 1136, 5456, 5457, 3798, 8609, 8861, 221914, 23418, 9315, 285527, 64805, 145581, 51294, 1943, 1789, 1028, 64919, 2115, 57795, 23098, 2596, 29993, 5864, 4897, 1946, 80031, 10500, 23108, 5362, 5364, 8997, 6695, 50807, 9448, 4035, 3066, 55384, 2250, 170302, 1951, 347733, 140735, 91584, 9211, 10160, 4684, 8642, 26468, 100132074, 460, 55553, 2138, 57453, 741, 126731, 3984, 55558, 10683	949	1296	13324	1.4191709271617947	0.14423216062797906	0.02272661798429227	0.02268588264164485
GOTERM_BP_FAT	GO:0030182~neuron differentiation	114	9.336609336609335	2.5634467378068914E-5	9745, 5146, 26039, 23327, 473, 57624, 57465, 1454, 10938, 79816, 10498, 10014, 3912, 10381, 8543, 11075, 166614, 2044, 22882, 3925, 8536, 1627, 1746, 8399, 7224, 9369, 8153, 1996, 6929, 9638, 8826, 6925, 124925, 8440, 9497, 5454, 6664, 2066, 59277, 23316, 7074, 1400, 57497, 53335, 1641, 54664, 6656, 1808, 85300, 84298, 50861, 11178, 6659, 5063, 4131, 9024, 6792, 10570, 5587, 7080, 1141, 1258, 27443, 4929, 1136, 5456, 5457, 3798, 8609, 8861, 221914, 23418, 9315, 285527, 145581, 51294, 1943, 1789, 1028, 64919, 2115, 57795, 23098, 2596, 29993, 5864, 4897, 1946, 80031, 10500, 23108, 5362, 5364, 8997, 6695, 50807, 9448, 4035, 3066, 55384, 170302, 1951, 140735, 91584, 9211, 10160, 4684, 26468, 100132074, 2138, 57453, 126731, 3984, 55558	949	1094	13324	1.4630391271096488	0.14557003733105223	0.02272661798429227	0.02268588264164485
GOTERM_BP_FAT	GO:0048699~generation of neurons	124	10.155610155610155	2.7027562964910018E-5	9745, 5146, 26039, 9181, 23327, 473, 27242, 57624, 57465, 1454, 10938, 79816, 10498, 10014, 3912, 221955, 10381, 8543, 11075, 166614, 2044, 22882, 7291, 3925, 8536, 1627, 1746, 8399, 7224, 9369, 8153, 1996, 6929, 9638, 8826, 6925, 124925, 8440, 9497, 5454, 6664, 2066, 59277, 23316, 7074, 1400, 57497, 53335, 1641, 54664, 6656, 1808, 85300, 84298, 50861, 55636, 11178, 6659, 83482, 5063, 4131, 9024, 6792, 10570, 5587, 7080, 1141, 1258, 27443, 4929, 1136, 5456, 5457, 3798, 8609, 8861, 221914, 23418, 9315, 285527, 64805, 145581, 51294, 1943, 1789, 1028, 64919, 2115, 57795, 23098, 2596, 29993, 5864, 4897, 1946, 80031, 10500, 23108, 5362, 5364, 8997, 6695, 50807, 9448, 4035, 3066, 55384, 170302, 1951, 347733, 140735, 91584, 9211, 10160, 4684, 26468, 100132074, 460, 2138, 57453, 126731, 3984, 55558, 10683	949	1214	13324	1.4340734979853933	0.1528439776604088	0.02272661798429227	0.02268588264164485
GOTERM_BP_FAT	GO:0031175~neuron projection development	84	6.87960687960688	2.815274090813329E-5	5063, 6792, 4131, 9024, 10570, 5587, 7080, 1141, 26039, 23327, 473, 57624, 4929, 1136, 57465, 10938, 5457, 3798, 10498, 8609, 3912, 10381, 9315, 11075, 2044, 285527, 145581, 1943, 3925, 64919, 2115, 23098, 2596, 29993, 5864, 4897, 8536, 1946, 80031, 1627, 10500, 23108, 8399, 5362, 7224, 5364, 8997, 6695, 9448, 50807, 4035, 9369, 3066, 55384, 8153, 170302, 1996, 1951, 9638, 8826, 124925, 8440, 91584, 9211, 10160, 4684, 5454, 59277, 100132074, 23316, 7074, 57497, 57453, 1400, 53335, 1641, 54664, 1808, 85300, 84298, 50861, 3984, 55558, 11178	949	748	13324	1.5766892253596523	0.1586737835020937	0.02272661798429227	0.02268588264164485
GOTERM_BP_FAT	GO:0050773~regulation of dendrite development	23	1.8837018837018837	2.9625703743577995E-5	5063, 6792, 7224, 8997, 50807, 1141, 3066, 26039, 100132074, 7074, 23316, 1136, 53335, 54664, 23098, 29993, 84298, 8536, 11178, 10498, 1627, 8826, 124925	949	119	13324	2.7136215919455244	0.16624496025216629	0.02272661798429227	0.02268588264164485
GOTERM_BP_FAT	GO:0016358~dendrite development	29	2.375102375102375	1.0458599998729546E-4	5063, 6792, 4131, 7224, 8997, 50807, 1141, 3066, 26039, 473, 1996, 1136, 10498, 8609, 8826, 124925, 8440, 10160, 100132074, 23316, 7074, 53335, 1641, 54664, 23098, 29993, 84298, 8536, 11178	949	184	13324	2.212832730104916	0.47369682198212604	0.07113638469544561	0.07100887936195206
GOTERM_BP_FAT	GO:0048812~neuron projection morphogenesis	59	4.832104832104831	1.1591393953958875E-4	5063, 6792, 4131, 9024, 10570, 7080, 1141, 26039, 23327, 473, 57624, 4929, 5457, 3798, 8609, 10381, 2044, 145581, 1943, 3925, 64919, 2115, 2596, 29993, 5864, 4897, 1946, 80031, 10500, 8399, 5362, 7224, 5364, 8997, 9369, 55384, 8153, 170302, 1996, 1951, 9638, 8826, 91584, 9211, 10160, 4684, 59277, 23316, 7074, 57497, 57453, 1400, 53335, 1641, 54664, 1808, 84298, 3984, 55558	949	496	13324	1.6700856589279038	0.5090461162101678	0.07113638469544561	0.07100887936195206
GOTERM_BP_FAT	GO:0098742~cell-cell adhesion via plasma-membrane adhesion molecules	30	2.457002457002457	1.4423106046476003E-4	56131, 56132, 56138, 56139, 1951, 56113, 56114, 9752, 5097, 5098, 8642, 5598, 24146, 56143, 56121, 51294, 56126, 27253, 56129, 56107, 56144, 57453, 56122, 56145, 56146, 26025, 56124, 56125, 1824, 199731	949	197	13324	2.13807748471541	0.5873724285858298	0.08046781982474839	0.08032358876428362
GOTERM_BP_FAT	GO:0048468~cell development	158	12.94021294021294	2.9148797485038477E-4	23603, 7320, 10370, 9745, 5146, 2274, 26039, 9181, 23327, 473, 27242, 57624, 598, 57465, 1454, 10938, 79816, 113263, 10498, 3912, 9991, 9750, 10381, 163589, 11075, 166614, 2044, 22882, 7291, 3925, 79885, 11078, 8536, 1627, 8419, 2318, 1746, 8399, 7224, 9369, 8153, 257062, 651, 10637, 1996, 81876, 6929, 1874, 389015, 9638, 8826, 10116, 6925, 4627, 124925, 8440, 9497, 5454, 6664, 2066, 59277, 23316, 7074, 11218, 268, 1400, 57497, 53335, 1641, 54664, 6656, 1808, 85300, 84298, 50861, 55636, 11178, 6659, 4878, 83482, 5063, 25946, 4131, 9024, 6792, 4254, 10570, 64753, 5587, 2078, 7080, 1141, 56975, 1258, 27443, 4929, 1136, 5457, 3798, 8609, 7010, 23418, 6443, 9315, 285527, 65979, 64805, 285, 145581, 51294, 1943, 1789, 1028, 64919, 2115, 57795, 23098, 2596, 29993, 5864, 4897, 1946, 80031, 10500, 23108, 5362, 5364, 8997, 6695, 50807, 9448, 4035, 8874, 3066, 55384, 83605, 170302, 1951, 71, 140735, 5912, 6461, 91584, 9211, 10160, 4684, 26468, 25932, 100132074, 8085, 55553, 2138, 57453, 126731, 3984, 55558, 10683, 2539	949	1705	13324	1.3010713546285795	0.8328932531658573	0.14907180847140095	0.14880461116112143
GOTERM_BP_FAT	GO:0007409~axonogenesis	46	3.7674037674037675	3.32814764441065E-4	5063, 8399, 5362, 9024, 6792, 4131, 5364, 7224, 9369, 7080, 1141, 55384, 8153, 170302, 1951, 4929, 9638, 5457, 3798, 8609, 91584, 9211, 10381, 4684, 2044, 59277, 7074, 145581, 1943, 3925, 64919, 2115, 57497, 57453, 1400, 53335, 1641, 2596, 1808, 5864, 3984, 4897, 55558, 1946, 80031, 10500	949	373	13324	1.7314797289089403	0.8703379941470072	0.1571141699519089	0.1568325574589203
GOTERM_BP_FAT	GO:0048667~cell morphogenesis involved in neuron differentiation	53	4.340704340704341	4.275027184036088E-4	5063, 6792, 4131, 9024, 7080, 1141, 26039, 473, 4929, 5457, 3798, 8609, 10381, 2044, 145581, 1943, 3925, 64919, 2115, 2596, 5864, 4897, 1946, 80031, 10500, 8399, 5362, 7224, 5364, 8997, 9369, 55384, 8153, 170302, 1996, 1951, 9638, 91584, 9211, 10160, 4684, 59277, 23316, 7074, 57497, 57453, 1400, 53335, 1641, 54664, 1808, 3984, 55558	949	454	13324	1.639035757556064	0.9274982904505398	0.17739351815057172	0.1770755568177289
GOTERM_BP_FAT	GO:0097485~neuron projection guidance	29	2.375102375102375	4.335836356947329E-4	8399, 5362, 5364, 10570, 9369, 7080, 55384, 170302, 1951, 9638, 3798, 8609, 91584, 9211, 10381, 4684, 2044, 59277, 1943, 64919, 2115, 1400, 2596, 1808, 4897, 55558, 1946, 80031, 10500	949	200	13324	2.0358061116965227	0.9301552111553811	0.17739351815057172	0.1770755568177289
GOTERM_BP_FAT	GO:0045664~regulation of neuron differentiation	57	4.668304668304668	5.019064551780782E-4	5063, 6792, 4131, 9745, 5587, 1141, 26039, 23327, 1136, 1454, 79816, 10498, 9315, 11075, 22882, 1789, 64919, 57795, 23098, 29993, 4897, 8536, 1946, 80031, 1627, 10500, 23108, 5362, 7224, 5364, 8997, 6695, 9448, 50807, 4035, 3066, 8153, 6929, 9638, 8826, 6925, 124925, 91584, 5454, 6664, 100132074, 23316, 7074, 2138, 1400, 53335, 54664, 1808, 84298, 3984, 55558, 11178	949	502	13324	1.5941880528465695	0.9540854473184507	0.19251249471424162	0.19216743402630668
GOTERM_BP_FAT	GO:0031344~regulation of cell projection organization	58	4.75020475020475	6.93647554310788E-4	23603, 5063, 5580, 6792, 4131, 5587, 1141, 26039, 23327, 1136, 54874, 57465, 55845, 6624, 5217, 10498, 729873, 11075, 26000, 23098, 2596, 29993, 4897, 8536, 1946, 80031, 1627, 10500, 23108, 5362, 7224, 5364, 8997, 6695, 9448, 50807, 4035, 8874, 3066, 8153, 9638, 8826, 124925, 91584, 5454, 125058, 100132074, 23316, 7074, 1400, 53335, 54664, 1808, 84298, 3984, 55558, 11178, 54869	949	520	13324	1.5660047013050176	0.9858549724033525	0.25040676710619447	0.24995793633575808
