Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0007399~nervous system development	248	18.94576012223071	1.0721023482737936E-18	9745, 8775, 6598, 9181, 374946, 56896, 57622, 23040, 79414, 84687, 58158, 84446, 54910, 3996, 8408, 30813, 51412, 4610, 55219, 4613, 10300, 11281, 7224, 23026, 55582, 83933, 4862, 10752, 4745, 57408, 10512, 6925, 8322, 8320, 4760, 4761, 9890, 22865, 2334, 23154, 85300, 3785, 53615, 84570, 5063, 5064, 4893, 114787, 1141, 57540, 10978, 57662, 4884, 57549, 2903, 2902, 54715, 221914, 4781, 339451, 126520, 94030, 494470, 23135, 3208, 5629, 288, 26086, 10507, 25791, 4774, 5864, 1949, 5623, 6712, 1827, 7804, 51339, 10501, 64084, 10500, 8110, 7025, 2254, 6609, 2009, 1952, 1951, 81551, 10716, 5753, 22809, 137970, 6606, 10280, 4681, 50937, 91584, 2263, 23114, 8482, 2260, 100132074, 56126, 56127, 57216, 2018, 57453, 84258, 1840, 2016, 56123, 126731, 340419, 55715, 90249, 1608, 747, 627, 2937, 5526, 7704, 10842, 55959, 1967, 8013, 7046, 4693, 6752, 56130, 56131, 27005, 56132, 25987, 23327, 56133, 83992, 79816, 6506, 1857, 3912, 9355, 26609, 158038, 5310, 2045, 2043, 654429, 220074, 26045, 27257, 885, 26167, 56949, 7849, 219527, 2290, 29882, 2049, 79953, 55502, 26012, 1630, 4908, 26011, 84623, 8828, 8829, 4900, 124925, 9378, 163404, 6664, 6422, 200933, 29777, 9253, 23314, 266727, 55079, 1400, 1641, 7504, 6659, 56848, 23769, 349667, 7881, 8851, 374462, 9148, 55083, 8175, 23767, 26470, 4807, 4929, 6666, 54437, 6547, 10210, 2629, 56978, 9037, 4142, 63950, 340719, 118738, 57030, 5590, 1789, 64919, 686, 566, 51299, 4137, 53358, 84630, 5362, 64377, 8997, 85508, 57282, 5916, 333, 576, 79633, 6327, 84662, 8507, 9839, 8882, 6586, 100532736, 5013, 8642, 63974, 63973, 27319, 57611, 81029, 80055, 1445, 8516, 30837, 5800, 5803, 2539	1018	1929	13389	1.6909073687619733	7.219537213275725E-15	7.219537213275725E-15	7.140201639503466E-15
GOTERM_BP_FAT	GO:0030182~neuron differentiation	154	11.76470588235294	1.217593151980807E-14	8013, 7046, 9745, 8775, 27005, 25987, 374946, 23327, 57622, 56896, 58158, 79414, 84687, 84446, 54910, 79816, 3996, 8408, 3912, 9355, 158038, 2045, 2043, 654429, 220074, 885, 27257, 30813, 4610, 4613, 10300, 219527, 7224, 29882, 2049, 26012, 4908, 1630, 26011, 84623, 10752, 8828, 8829, 10512, 6925, 124925, 8322, 9378, 8320, 163404, 4760, 4761, 6664, 6422, 200933, 29777, 9890, 23314, 9253, 266727, 22865, 55079, 1400, 1641, 23154, 85300, 7504, 6659, 84570, 5063, 5064, 23769, 349667, 4893, 8851, 374462, 9148, 55083, 114787, 1141, 57540, 8175, 23767, 57662, 4929, 4884, 54437, 10210, 2629, 57549, 2902, 9037, 221914, 4781, 63950, 126520, 494470, 340719, 5590, 5629, 1789, 288, 64919, 10507, 25791, 51299, 4137, 5864, 1949, 6712, 7804, 10501, 10500, 5362, 8997, 7025, 57282, 1952, 1951, 81551, 10716, 79633, 5753, 22809, 137970, 8507, 8882, 4681, 91584, 50937, 6586, 100532736, 63973, 2263, 23114, 8482, 2260, 100132074, 57611, 57216, 81029, 2018, 84258, 1840, 57453, 2016, 126731, 340419, 90249, 1608, 627, 5800, 5526, 5803	1018	1088	13389	1.8616249422165725	8.223866032608385E-11	4.0996361427193776E-11	4.0545851960960876E-11
GOTERM_BP_FAT	GO:0007409~axonogenesis	72	5.500381970970206	1.952659873975623E-13	5063, 8013, 8851, 4893, 55083, 1141, 25987, 374946, 23767, 57622, 56896, 79414, 4929, 84446, 4884, 54437, 54910, 3996, 8408, 9355, 9037, 158038, 4781, 2045, 494470, 2043, 654429, 64919, 288, 10507, 885, 4137, 5864, 1949, 6712, 10501, 10500, 219527, 5362, 7224, 29882, 1951, 2049, 10716, 1630, 137970, 10752, 8828, 8829, 10512, 9378, 91584, 6586, 2263, 200933, 23114, 8482, 9890, 9253, 22865, 57611, 57216, 55079, 57453, 1400, 1641, 90249, 5800, 7504, 627, 5803, 84570	1018	370	13389	2.559358572718101	1.315070941032559E-9	4.3830705304506147E-10	4.334904920225883E-10
GOTERM_BP_FAT	GO:0048812~neuron projection morphogenesis	86	6.5699006875477455	4.132318816797809E-13	5063, 8013, 23769, 8851, 4893, 55083, 1141, 25987, 374946, 23327, 23767, 57622, 56896, 79414, 4929, 84446, 4884, 54437, 54910, 3996, 8408, 9355, 9037, 158038, 4781, 2045, 494470, 2043, 654429, 5590, 64919, 288, 10507, 25791, 885, 51299, 4137, 5864, 1949, 6712, 7804, 10501, 10500, 219527, 5362, 7224, 8997, 29882, 1952, 1951, 2049, 10716, 4908, 1630, 84623, 137970, 10752, 8828, 8829, 10512, 9378, 91584, 4681, 6586, 100532736, 2263, 200933, 23114, 8482, 9890, 9253, 22865, 57611, 57216, 55079, 84258, 2016, 57453, 1400, 1641, 90249, 5800, 7504, 627, 5803, 84570	1018	493	13389	2.294308930129873	2.7826572157607643E-9	5.78541232401853E-10	5.721836364413931E-10
GOTERM_BP_FAT	GO:0048666~neuron development	127	9.702062643239113	4.2956729462567045E-13	8013, 27005, 25987, 374946, 23327, 57622, 56896, 58158, 79414, 84687, 84446, 54910, 3996, 8408, 3912, 9355, 158038, 2045, 2043, 654429, 220074, 885, 30813, 10300, 219527, 7224, 29882, 2049, 26012, 4908, 1630, 26011, 84623, 10752, 8828, 8829, 10512, 124925, 9378, 163404, 4760, 4761, 200933, 9890, 9253, 22865, 55079, 1400, 1641, 23154, 85300, 7504, 84570, 5063, 5064, 23769, 349667, 4893, 8851, 374462, 9148, 55083, 114787, 1141, 8175, 23767, 57662, 4929, 4884, 54437, 10210, 2629, 57549, 2902, 9037, 4781, 126520, 494470, 340719, 5590, 288, 64919, 10507, 25791, 51299, 4137, 5864, 1949, 6712, 7804, 10501, 10500, 5362, 8997, 7025, 57282, 1952, 1951, 81551, 10716, 79633, 5753, 22809, 137970, 8507, 8882, 4681, 91584, 6586, 100532736, 2263, 23114, 8482, 2260, 100132074, 57611, 57216, 84258, 57453, 2016, 126731, 90249, 1608, 627, 5800, 5526, 5803	1018	869	13389	1.922136864403906	2.8925579709238036E-9	5.78541232401853E-10	5.721836364413931E-10
GOTERM_BP_FAT	GO:0022008~neurogenesis	169	12.910618792971734	5.395338501653847E-13	8013, 7046, 9745, 8775, 27005, 9181, 25987, 374946, 23327, 57622, 56896, 58158, 79414, 84687, 84446, 54910, 79816, 3996, 8408, 3912, 9355, 158038, 2045, 2043, 654429, 220074, 885, 27257, 30813, 4610, 4613, 10300, 219527, 7224, 29882, 83933, 2049, 26012, 4908, 1630, 26011, 84623, 10752, 8828, 8829, 10512, 6925, 124925, 8322, 9378, 8320, 163404, 4760, 4761, 6664, 6422, 200933, 29777, 9890, 23314, 9253, 266727, 22865, 55079, 1400, 1641, 23154, 85300, 7504, 6659, 84570, 5063, 5064, 23769, 349667, 4893, 8851, 374462, 9148, 55083, 114787, 1141, 57540, 8175, 23767, 57662, 4929, 4884, 54437, 6547, 10210, 2629, 57549, 2903, 56978, 2902, 9037, 221914, 4781, 63950, 126520, 494470, 340719, 118738, 5590, 5629, 1789, 288, 64919, 10507, 566, 25791, 51299, 4137, 5864, 1949, 6712, 7804, 10501, 10500, 5362, 8997, 7025, 85508, 57282, 2009, 1952, 1951, 81551, 10716, 79633, 5753, 22809, 137970, 8507, 8882, 4681, 91584, 50937, 6586, 100532736, 8642, 63973, 2263, 23114, 8482, 27319, 2260, 100132074, 57611, 57216, 81029, 2018, 1445, 84258, 1840, 57453, 2016, 126731, 340419, 90249, 1608, 30837, 747, 627, 5800, 5526, 5803, 1967	1018	1290	13389	1.7230479279937863	3.633453538043341E-9	6.055368245022833E-10	5.98882573683577E-10
GOTERM_BP_FAT	GO:0031175~neuron projection development	113	8.632543926661572	8.57492869260026E-13	8013, 27005, 25987, 374946, 23327, 57622, 56896, 79414, 84687, 84446, 54910, 3996, 8408, 3912, 9355, 158038, 2045, 2043, 654429, 885, 10300, 219527, 7224, 29882, 2049, 26012, 4908, 1630, 84623, 10752, 8828, 8829, 10512, 124925, 9378, 163404, 200933, 9890, 9253, 22865, 55079, 1400, 1641, 23154, 85300, 7504, 84570, 5063, 5064, 23769, 349667, 4893, 8851, 9148, 55083, 114787, 1141, 8175, 23767, 57662, 4929, 4884, 54437, 2629, 57549, 2902, 9037, 4781, 126520, 494470, 5590, 288, 64919, 10507, 25791, 51299, 4137, 5864, 1949, 6712, 7804, 10501, 10500, 5362, 8997, 7025, 1952, 1951, 81551, 10716, 5753, 137970, 8507, 8882, 4681, 91584, 6586, 100532736, 2263, 23114, 8482, 2260, 100132074, 57611, 57216, 84258, 57453, 2016, 90249, 627, 5800, 5526, 5803	1018	744	13389	1.9975877748906774	5.774649203260651E-9	8.24908140228145E-10	8.158432156102533E-10
GOTERM_BP_FAT	GO:0061564~axon development	74	5.653170359052712	1.0550338394717934E-12	5063, 8013, 349667, 8851, 4893, 55083, 1141, 25987, 374946, 23767, 57622, 56896, 79414, 4929, 84446, 4884, 54437, 54910, 3996, 8408, 9355, 9037, 158038, 4781, 2045, 494470, 2043, 654429, 64919, 288, 10507, 885, 4137, 5864, 1949, 6712, 10501, 10500, 219527, 5362, 7224, 29882, 1951, 2049, 10716, 1630, 137970, 10752, 8828, 8829, 10512, 8882, 9378, 91584, 6586, 2263, 200933, 23114, 8482, 9890, 9253, 22865, 57611, 57216, 55079, 57453, 1400, 1641, 90249, 5800, 7504, 627, 5803, 84570	1018	399	13389	2.4392661417788086	7.104672627988862E-9	8.880747343753821E-10	8.78315671360268E-10
GOTERM_BP_FAT	GO:0048699~generation of neurons	159	12.146676852559207	1.7396186422360107E-12	8013, 7046, 9745, 8775, 27005, 9181, 25987, 374946, 23327, 57622, 56896, 58158, 79414, 84687, 84446, 54910, 79816, 3996, 8408, 3912, 9355, 158038, 2045, 2043, 654429, 220074, 885, 27257, 30813, 4610, 4613, 10300, 219527, 7224, 29882, 2049, 26012, 4908, 1630, 26011, 84623, 10752, 8828, 8829, 10512, 6925, 124925, 8322, 9378, 8320, 163404, 4760, 4761, 6664, 6422, 200933, 29777, 9890, 23314, 9253, 266727, 22865, 55079, 1400, 1641, 23154, 85300, 7504, 6659, 84570, 5063, 5064, 23769, 349667, 4893, 8851, 374462, 9148, 55083, 114787, 1141, 57540, 8175, 23767, 57662, 4929, 4884, 54437, 10210, 2629, 57549, 2902, 9037, 221914, 4781, 63950, 126520, 494470, 340719, 118738, 5590, 5629, 1789, 288, 64919, 10507, 25791, 51299, 4137, 5864, 1949, 6712, 7804, 10501, 10500, 5362, 8997, 7025, 85508, 57282, 2009, 1952, 1951, 81551, 10716, 79633, 5753, 22809, 137970, 8507, 8882, 4681, 91584, 50937, 6586, 100532736, 63973, 2263, 23114, 8482, 2260, 100132074, 57611, 57216, 81029, 2018, 84258, 1840, 57453, 2016, 126731, 340419, 90249, 1608, 747, 627, 5800, 5526, 5803	1018	1205	13389	1.7354433475450195	1.171452324033595E-8	1.301621326313033E-9	1.287317795254648E-9
GOTERM_BP_FAT	GO:0048667~cell morphogenesis involved in neuron differentiation	77	5.88235294117647	2.440902756413653E-11	5063, 8013, 8851, 4893, 374462, 55083, 1141, 25987, 374946, 23767, 57622, 56896, 79414, 4929, 84446, 4884, 54437, 54910, 3996, 8408, 9355, 9037, 158038, 4781, 2045, 494470, 2043, 654429, 64919, 288, 10507, 25791, 885, 4137, 5864, 1949, 6712, 7804, 10501, 10500, 219527, 5362, 7224, 8997, 29882, 1952, 1951, 2049, 10716, 1630, 137970, 10752, 8828, 8829, 10512, 9378, 91584, 6586, 2263, 200933, 23114, 8482, 9890, 9253, 22865, 57611, 57216, 55079, 57453, 1400, 1641, 90249, 5800, 7504, 627, 5803, 84570	1018	451	13389	2.2455076908332936	1.6437039684902288E-7	1.6437039161689536E-8	1.6256412357714927E-8
