Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Cer-CycPro	0.10304506221021785	0.10812195672839092	0.018534215837223828	1.0492686831302591	0.17986515258162455	0.7845604547478365	1.0904525649116479e-09	5.992901343244127e-09	0.1819573696371506
Cer-Endo	0.08554896791043487	0.05140977341513867	0.01652206468340886	0.6009397269288148	0.19312991245793362	0.030186191906807033	-1.4522609906249204e-08	5.976020727843466e-09	-2.4301471778010213
Cer-ExN-1	0.12081945809531335	0.14362070577507713	0.01840421895836044	1.1887216516215136	0.15232826937397387	0.2128862462297181	3.848833689111061e-09	5.299139908611468e-09	0.7263129027517164
Cer-ExN-2	0.08776397341523687	0.09757773275136808	0.019514381533775327	1.111819906896187	0.22235070695178208	0.6145297290358953	-5.862997928551007e-10	7.270717743574712e-09	-0.08063850276311803
Cer-ExN-3	0.11321976145913908	0.11786459959830253	0.01925248392505327	1.0410249772592903	0.17004526133012104	0.8086558485788629	-1.2753134687928566e-09	5.6795624476612714e-09	-0.2245443166696767
Cer-ExN-4	0.08163664146519159	0.08652056603500996	0.019254115742452206	1.0598251530460228	0.23585139462972418	0.7990839688800239	3.2805447997563045e-11	7.508526671141254e-09	0.004369092557618471
Cer-ExN-5	0.09935316269873024	0.09051230908693288	0.022448786108927553	0.9110158814107853	0.22594938599991296	0.6924124470073887	-4.406707759943463e-09	7.574579545686886e-09	-0.581775890445659
Cer-InN-1	0.11559731924613989	0.1182272755164006	0.026110770226539386	1.0227510143609886	0.2258769528291747	0.9198481216165573	-1.2970531079243309e-09	7.620970023006419e-09	-0.17019527750519253
Cer-InN-2	0.09490352463338085	0.11915562514608577	0.021199396281246275	1.2555447819919494	0.22337838729531984	0.2616199094997949	7.284189004241395e-09	7.333950105155654e-09	0.9932149659868456
Cer-InN-3	0.10661685085064834	0.10746399444528734	0.021405459974846806	1.0079456820181802	0.2007699515044965	0.9683454940468149	-1.3870360754035144e-09	6.798258431651377e-09	-0.20402814770114397
Cer-InN-4	0.11011264755729548	0.12396246804039031	0.02546368045138477	1.1257786529552682	0.23125118700043173	0.5894380538839992	2.5517931001692106e-09	7.924179852182538e-09	0.3220261462725857
