Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Cer-CycPro	0.038613967518732514	0.061267795310701784	0.00597361300882386	1.5866744405629747	0.15470083476726199	0.00018607013594888202	1.2264974607174041e-08	1.3949931861448656e-08	0.8792139437662001
Cer-Endo	0.02882426051712427	0.07360430823866815	0.00820869613252568	2.553554086667389	0.28478427495647135	2.1083734051115467e-07	5.2484380324698385e-08	2.61864935271259e-08	2.0042538444611226
Cer-ExN-1	0.06282419240956331	0.04823608621602791	0.003931828598881541	0.7677947676838779	0.06258462620974375	0.0003158566330182483	-2.149983081572229e-08	7.126535577463469e-09	-3.016869919756252
Cer-ExN-2	0.03738887018447252	0.042161945900195105	0.003736837146263082	1.1276603356071677	0.09994517426779531	0.20174663554830077	-1.83623593860751e-08	1.0130462271386882e-08	-1.8125884973619526
Cer-ExN-3	0.05653632120867771	0.047843175680400904	0.004283095047900082	0.8462378636878393	0.07575829053487608	0.046565251637967	-1.693934374404951e-08	8.314960346987713e-09	-2.0372128112656824
Cer-ExN-4	0.031526251858069884	0.04350045676232963	0.004323983958332496	1.3798169524930275	0.13715502806356192	0.005589501869932364	-5.4596083311169975e-09	1.2432998756620668e-08	-0.43912240626660676
Cer-ExN-5	0.053806650686552736	0.06389392929749584	0.005390668450102386	1.1874727098273763	0.10018591347574088	0.06033028061490885	-1.0669880385537072e-09	9.420091117542435e-09	-0.11326727366434104
Cer-InN-1	0.060220336347344534	0.05558351539209773	0.005002722957279929	0.9230024068862367	0.0830736468893955	0.3585561905871436	-1.1847961536746115e-08	7.99142065690119e-09	-1.482585142920053
Cer-InN-2	0.04270847330191998	0.03927701516046293	0.004555380361332607	0.91965392634855	0.1066622149925415	0.45392533036593063	-1.3286548911035662e-08	1.0341772347164887e-08	-1.2847458312769824
Cer-InN-3	0.04951117727274176	0.04475925219061652	0.0045490948151734835	0.9040231853920913	0.09188015849661435	0.2996209198634643	-1.3152511742949314e-08	8.844739500070144e-09	-1.4870434276605893
Cer-InN-4	0.055607810494569934	0.04719510325356051	0.004584922329729497	0.8487135680008311	0.08245104939309221	0.07149464526721969	-1.8175942581781117e-08	7.976585083439724e-09	-2.2786621582607314
