Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Cer-CycPro	0.038613967518732514	0.030121216455008214	0.005486661344435097	0.7800601282527035	0.14209006991507395	0.11962093356733658	-3.048268793868947e-08	7.0568318673661144e-09	-4.319599575505658
Cer-Endo	0.02882426051712427	0.027888630279443598	0.005394047860045923	0.967540182440246	0.18713568928650784	0.8620199744903543	-2.59210266119611e-08	9.569582576580341e-09	-2.7086893711955295
Cer-ExN-1	0.06282419240956331	0.0926575032482922	0.006353086947763334	1.4748697865344553	0.10112484863070433	3.83108202951498e-06	9.155622051307768e-09	5.6194596626703835e-09	1.6292708909591123
Cer-ExN-2	0.03738887018447252	0.058571395378456334	0.006671304375058337	1.5665462767254426	0.17843022113647364	0.0017441338712031844	7.305958649446236e-09	9.153389584003858e-09	0.7981697471080956
Cer-ExN-3	0.05653632120867771	0.08523427073635363	0.007164897451227112	1.5076019966306387	0.126730874914574	0.00014067875707434818	1.249670194235478e-08	6.706906755058403e-09	1.8632586375126903
Cer-ExN-4	0.031526251858069884	0.040605158116166454	0.005636656973600341	1.2879792465964397	0.1787924869399756	0.10861746794480791	-5.53680236015153e-09	9.167377838535711e-09	-0.6039679456515031
Cer-ExN-5	0.053806650686552736	0.05746479801923009	0.008782119329818249	1.0679868991286534	0.16321624218868283	0.6780340020021401	-7.487955422014712e-09	8.344529951942307e-09	-0.8973489777302297
Cer-InN-1	0.060220336347344534	0.08456590335352435	0.010880507109778205	1.4042748427334772	0.18067828527261273	0.029076878597068402	7.587564126398285e-09	9.735730971700708e-09	0.7793522796031856
Cer-InN-2	0.04270847330191998	0.06750470958072874	0.006048096695362791	1.5805928978897505	0.14161350729179298	5.89671454071995e-05	1.5378732481992467e-08	7.085878210885978e-09	2.1703354226955587
Cer-InN-3	0.04951117727274176	0.06766475396593921	0.005865697587082745	1.3666561308610177	0.11847218971931188	0.0020141418302580625	4.3791685865623565e-09	6.103519389425682e-09	0.717482538705332
Cer-InN-4	0.055607810494569934	0.06895996268983481	0.009602425942148763	1.2401128919932698	0.17268124489610023	0.1709808155386016	1.073337692119028e-10	9.383142807094054e-09	0.011438999855224832
Cer-InN-5	0.03197666762453409	0.049816472033696935	0.004830846372977388	1.5579006736610432	0.151074102833371	0.00022587080710709693	7.524187097584644e-09	7.787384267720801e-09	0.9662021082962189
Cer-InN-6	0.04822132742978337	0.07444179799138473	0.005621949266325024	1.5437525667409682	0.11658636470576894	6.555563567363866e-06	1.5245456901825826e-08	6.39416553108418e-09	2.3842762324047686
Cer-InN-7	0.05339397925806039	0.08231267007318432	0.006671254669505913	1.541609582521579	0.1249439499023444	2.8394126077910132e-05	1.3953334729047514e-08	6.796434715421279e-09	2.0530374105392424
Cer-InN-8	0.01828939640764489	0.03274764171565826	0.0062472541099860765	1.7905261051682322	0.3415779269443113	0.022796856357932226	1.8522625703557047e-08	1.690778894222072e-08	1.0955084527524406
Cer-IP	0.04067916993993953	0.057508525945398334	0.006086430634315683	1.4137094250031745	0.14962032517629906	0.005991073328447072	3.550208609105285e-09	7.706138454620302e-09	0.46069878318585333
Cer-MG	0.02544220008223233	0.0190005826464838	0.004319377240318542	0.7468136633259533	0.16977215910407834	0.13389744110925186	-3.359504933400021e-08	8.268253968103854e-09	-4.063137085967439
Cer-OPC	0.04812990225558486	0.07328511389207398	0.005703692698399013	1.522652456323453	0.11850621819488885	1.0873072728805516e-05	1.03968621106409e-08	6.464923265990403e-09	1.608195748483975
Cer-RG-1	0.056307842149488044	0.0621571506849256	0.010014364771298441	1.1038808860746006	0.1778502671921249	0.5613965748982136	-1.0846360968351354e-08	9.519574276072069e-09	-1.1393745827073622
Cer-RG-2	0.05571802396144777	0.064923880466266	0.01048754929488928	1.1652222360072912	0.1882254349534325	0.3845710367824722	-1.0707258131158405e-08	9.689326223347242e-09	-1.105057037439649
Cer-RG-3	0.03777939826802137	0.03169291408255901	0.0041856610599071385	0.8388940940169949	0.11079215794313273	0.14752303079844548	-2.4501969257095566e-08	6.069579685203653e-09	-4.036847776597475
FC-CycPro	0.05064484943280325	0.059741510081138385	0.006448124566940775	1.1796166984444252	0.12732044105484597	0.15858032671653352	-5.400603002391252e-09	6.4142888706612386e-09	-0.8419644190166496
FC-Endo	0.02956908211976899	0.02426162517630093	0.005056744532699068	0.8205065371332695	0.17101459261457028	0.2911046271834202	-3.210865925413043e-08	8.741391268753278e-09	-3.673174929133433
FC-ExN-1	0.03657191495814824	0.059277011760067916	0.005959698488183648	1.6208342338076276	0.16295833824954864	0.00013752405755185603	1.1866556468797454e-08	8.337800905082927e-09	1.423223773736707
FC-ExN-2	0.06097656512768742	0.12330453485483914	0.009335908984766278	2.0221626881841313	0.15310650846298907	2.22781244587828e-09	3.583454129308561e-08	8.398421095875878e-09	4.266818832254374
FC-ExN-3	0.04868331812655895	0.09255177659422299	0.007205796020493366	1.9010983670755963	0.14801365843143463	6.192259564466662e-09	2.5892097724144324e-08	7.901603607213468e-09	3.2768155695012493
FC-ExN-4	0.06277688617263857	0.10261513767777311	0.008072599343970798	1.6346006298493045	0.1285919043797565	2.532059653297035e-06	1.4638026564216362e-08	6.7750837448908525e-09	2.1605676203272055
FC-ExN-5	0.07157165242530857	0.10940989106052315	0.007076265180707054	1.528676331382766	0.09886966335018982	4.127004134138036e-07	1.2696469478656604e-08	5.542964506639892e-09	2.290555796171446
FC-InN-1	0.02923475116164491	0.0540693520319341	0.005158873923184794	1.8494890458609896	0.176463753519239	1.251371491290188e-06	2.193600862799018e-08	8.716420494784188e-09	2.5166303806839574
FC-InN-2	0.03145697002881487	0.05349692535049848	0.0054777461197193355	1.700638214726174	0.174134575412116	5.647827802184485e-05	1.5627626165557595e-08	8.692287719542928e-09	1.79787262798744
FC-InN-3	0.03492676508041473	0.04108985149943425	0.00617468998135428	1.1764574075162628	0.1767896330260701	0.3212470736547122	-7.72164237870201e-09	9.008865462777628e-09	-0.8571159610059556
FC-InN-4	0.042721222500523806	0.07470716273569981	0.00695699319858882	1.748713130453695	0.16284630428128596	8.585032279375058e-06	2.415605951917287e-08	8.570340541303524e-09	2.818564723625183
FC-IP	0.030531143356518423	0.03958689005151449	0.0049994081321267205	1.2966068643172073	0.16374781886638198	0.06718460346172356	-8.091482172172424e-09	8.32493899147409e-09	-0.9719569333131741
FC-MG	0.021232448253770787	0.015551879684965075	0.0036222073528417967	0.73245814609265	0.170597724273201	0.11762904013679967	-3.205149057297013e-08	8.256672019630535e-09	-3.8818897610037744
FC-N-undef	0.05213566690638515	0.0737395655916671	0.006208058440409363	1.4143784853481192	0.11907507487257347	0.0006466016743887799	5.287564235911017e-09	6.511231119189702e-09	0.8120682769695686
FC-OPC	0.038343047048401156	0.0513072313294345	0.004575747331620538	1.3381104340682266	0.11933708152731017	0.004944088259174112	1.5045476579435031e-09	6.198610214497657e-09	0.24272338570742563
FC-RG-1	0.04254340473052304	0.04232382219597833	0.005542011710379299	0.9948386233792151	0.1302672352032781	0.9684471747444895	-2.0864013391253046e-08	6.897975027942804e-09	-3.02465771574058
FC-RG-2	0.0321960880426105	0.0267014694112997	0.004110454923898196	0.8293389363316795	0.1276693900966521	0.1841294774064706	-2.5936136851409158e-08	6.594892307335066e-09	-3.932761240477285
GE-CycPro	0.048293796558689345	0.06080446180507524	0.006011140975238866	1.259053256067417	0.12447025091377499	0.03829103007956757	-2.5167323841734137e-09	6.308950651776233e-09	-0.39891457757160437
GE-InN-1	0.03601833133456095	0.06686932105893814	0.006673934680973151	1.856535785564683	0.18529272272447722	6.7769914931177274e-06	1.9010048642490367e-08	9.278971463324652e-09	2.0487236885713056
GE-InN-2	0.032823818321235855	0.06577371202882992	0.006723619088543237	2.0038409725865636	0.20483963878734035	2.1072977521000715e-06	2.8525309819632386e-08	1.0308542225159616e-08	2.7671526387127647
GE-InN-3	0.03820297361637225	0.07278650016606372	0.007030249730439902	1.905257451866793	0.18402362604116818	2.347537991284334e-06	2.5384118149345337e-08	9.171545517637095e-09	2.7677034476393416
