Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Cer-CycPro	0.050665986262067496	0.04040911945914647	0.015334907205576882	0.7975591208297447	0.30266670673808216	0.5006822401423863	-8.017338565289346e-09	9.385107308716367e-09	-0.8542617896167567
Cer-Endo	0.03979729445230366	0.014263469933854994	0.012835952723314696	0.35840300528342467	0.3225333003151346	0.038510316810711896	-2.186253864107336e-08	9.549505016786097e-09	-2.289389722571321
Cer-ExN-1	0.07373868068273301	0.09027543321507958	0.0155762825933007	1.2242615731558497	0.21123625279273697	0.2876589080768146	2.8324871924913196e-09	7.295903403082553e-09	0.3882298100732228
Cer-ExN-2	0.04709637840560871	0.05331479064217473	0.015005278320356367	1.1320358899576337	0.3186079021007991	0.6780954682716455	-2.345110601818237e-09	1.0101350330361651e-08	-0.2321581298660173
Cer-ExN-3	0.06733724096270541	0.07614791650251475	0.015194339083964907	1.1308440235127708	0.22564540611903391	0.5641684566313794	3.457171534678924e-10	7.541408832806546e-09	0.045842515786169526
Cer-ExN-4	0.04102893413847877	0.04854367569466192	0.014106450363041827	1.1831571234782696	0.3438171295269444	0.5923326162704723	2.4901762987800263e-09	1.0572007782280105e-08	0.23554431192851058
Cer-ExN-5	0.062236387252881525	0.0601661400845077	0.02028238870478629	0.9667357431921312	0.3258927710950513	0.9184182471555613	-3.619534362177786e-09	1.0321513160707662e-08	-0.3506786559122717
Cer-InN-1	0.07102595317454206	0.08291189534565185	0.02483525379481952	1.1673464647760627	0.349664491425949	0.634476451075054	1.994511421798461e-09	1.1302936198212714e-08	0.17645958420200983
Cer-InN-2	0.05293249181912443	0.08308220694867527	0.018887523667249686	1.5695880562845104	0.3568228703796947	0.11588454305383807	1.569610200874691e-08	1.1209629952799046e-08	1.400233734283761
Cer-InN-3	0.06072577497094105	0.07464745418044852	0.01872242172816783	1.2292548628019877	0.30831095588532254	0.4573400065724297	4.403415657180395e-09	9.930592405467952e-09	0.4434192319438868
Cer-InN-4	0.06617203131136076	0.0688570286860973	0.023591464052633192	1.0405760155994421	0.3565171506014035	0.9095920032761864	-1.891851976916261e-09	1.1502459135851899e-08	-0.1644736968479694
Cer-InN-5	0.04110794561929987	0.05868865393780621	0.01451028685907494	1.4276717810547148	0.35298010251970535	0.23276292155157577	6.488448458721639e-09	1.08104550215766e-08	0.6002012353570074
Cer-InN-6	0.058413976208317876	0.07146368752993804	0.01344017518891626	1.2234004970844965	0.2300849225018591	0.33650775583850767	4.023235518398492e-09	7.66484791977779e-09	0.5248943697913746
Cer-InN-7	0.06485970261823246	0.08893585381759894	0.01680495582192662	1.3712035397553386	0.25909702239681015	0.14528828367536417	7.95470603488846e-09	8.539548615579754e-09	0.9315136423458854
Cer-InN-8	0.026946941022710516	0.011675327326063332	0.010010753008394368	0.43327097187853436	0.37149867957025035	0.1257326646442014	-2.4588868568576316e-08	1.1419227924448272e-08	-2.153286433308874
Cer-IP	0.05000755725522503	0.04437288046564958	0.014305489130294877	0.8873234947106576	0.2860665450480521	0.6903908417524256	-9.809646097581972e-09	8.819750173971538e-09	-1.1122362770015608
Cer-MG	0.03569356227538974	0.017421003048868487	0.01324370346052264	0.48807129180491043	0.37103899460475	0.16277985765084654	-1.6470221196021442e-08	1.1354006465436277e-08	-1.450608756139067
Cer-OPC	0.058054817863438975	0.09254705408228762	0.015105940668983615	1.5941321924389453	0.2602013273819406	0.021870632799800966	1.5821523682945822e-08	8.442692593549471e-09	1.873990259343808
Cer-RG-1	0.06785391901138688	0.04845320465213021	0.019753263849256752	0.7140811519523147	0.2911145610608264	0.3179832014000346	-1.2560824306059782e-08	9.158660189807494e-09	-1.3714696304639071
Cer-RG-2	0.067183076311167	0.05585969813326874	0.02018643819557558	0.8314549020432975	0.3004690958490724	0.57365712247576	-1.06296402653674e-08	9.522734008174774e-09	-1.1162382836948301
Cer-RG-3	0.0487898410359462	0.03748451962185993	0.014892863468687286	0.768285340266696	0.30524517302105747	0.4443748635969761	-9.234213968706411e-09	9.584353248390633e-09	-0.9634676153299112
FC-CycPro	0.06198794563272008	0.07075226514525577	0.0181304348671954	1.141387481438157	0.2924832349602069	0.6272720118901894	1.5896464442134505e-09	9.338701053483575e-09	0.17022136538148114
FC-Endo	0.0412382893997627	0.003966726812538832	0.012920924458949089	0.09619038205211436	0.31332348278790245	0.001968336438607243	-2.9641819593410375e-08	8.54607655448081e-09	-3.468471105359899
FC-ExN-1	0.04599759878909453	0.028319939554265972	0.013766142746132562	0.6156829986738412	0.29927959520783387	0.1865889327150414	-1.8297900513106745e-08	9.217604169251657e-09	-1.9851037403130627
FC-ExN-2	0.07321948634485341	0.1158208452315109	0.0200584884733432	1.5818308897444475	0.27395013915927463	0.03689583590729676	1.3289412062928031e-08	8.941602795966964e-09	1.4862449569916156
FC-ExN-3	0.060087476277683585	0.08142677484081315	0.015621963984008141	1.3551372080350619	0.2599870214520912	0.17646180432359243	4.6552447594438015e-09	8.510562184272034e-09	0.5469961512116013
FC-ExN-4	0.07518537921904113	0.1352435518415442	0.01824966716573984	1.7988012196830552	0.24272893686646468	0.001599744785648097	2.1116905134648724e-08	8.002075443855748e-09	2.638928523332402
FC-ExN-5	0.08423965876434432	0.1263404959049741	0.017110253695515675	1.4997745451273075	0.20311399578885572	0.013616917210124783	1.3269233499186985e-08	6.777483435699507e-09	1.9578407863445353
FC-InN-1	0.037464862118255865	0.04573033090344841	0.012692162711179145	1.2206192233966597	0.3387751080230057	0.5116983714453822	2.0722670456931903e-10	1.0410017982785593e-08	0.019906469413597278
FC-InN-2	0.04018245445222984	0.046991055436564906	0.011565363485925727	1.1694421377974644	0.2878212305242576	0.5556745260251577	-1.4307542306367033e-09	9.191156140105863e-09	-0.15566640462058606
FC-InN-3	0.04372639615886777	0.04272405759295099	0.01357997340455934	0.9770770368938008	0.31056694805627844	0.9411288162461511	-6.1129139196321265e-09	1.0058759995789023e-08	-0.6077204269901284
FC-InN-4	0.051266205112126685	0.07284954469968129	0.014196438759325138	1.4210052127000368	0.2769161229756611	0.12087758838237181	8.665789937478044e-09	9.091839664992838e-09	0.9531393267794577
FC-IP	0.03890552156048849	0.054506106871679484	0.012282572239677327	1.4009864072105018	0.3157025467601291	0.19942524051195945	5.419713450148217e-09	9.644737861322574e-09	0.5619347594590837
FC-MG	0.030399122049923514	0.016240165710806945	0.0120017154118647	0.5342314058983755	0.3948046720610767	0.23321422846491657	-1.4498568902251375e-08	1.2371206436098455e-08	-1.1719607927603084
FC-N-undef	0.06270273951760053	0.07946789310881061	0.016884512116972183	1.2673751373575017	0.2692786989351994	0.3185260074254239	3.707151608891926e-09	8.437968361297355e-09	0.4393417289753791
FC-OPC	0.04582732988668814	0.05955688471877913	0.012785708092778568	1.299593165607476	0.27899744812521887	0.28883761453695384	6.978560758645159e-09	8.980970320921118e-09	0.7770386171290025
FC-RG-1	0.05419113967602609	0.03242326527878058	0.013933145733271033	0.5983130355371449	0.25711114061391466	0.11070854836987992	-1.648895859912644e-08	7.93746452580127e-09	-2.077358398960771
FC-RG-2	0.04140402898161247	0.021095213206573572	0.011836807859948931	0.5094966293242128	0.2858854114222956	0.08596049682597184	-1.7003236021850683e-08	8.959163642326963e-09	-1.8978597445770544
GE-CycPro	0.05963286669588917	0.07542441667818615	0.017470344612472297	1.2648128600429263	0.2929650305353612	0.36542850518259873	6.090610301702893e-09	9.34012011421871e-09	0.6520912180166717
GE-InN-1	0.047490597046648146	0.05613563776417207	0.012857015470834154	1.1820368926722955	0.2707276023126265	0.49596609149658877	-2.4295651365628476e-09	8.59222334996389e-09	-0.28276326599134066
GE-InN-2	0.04336052770946053	0.07088302493805099	0.014158402265626658	1.6347362147667202	0.326527443588689	0.047521117857674766	1.3027149424097744e-08	9.832963803572396e-09	1.3248446434191974
GE-InN-3	0.0490778722728248	0.06372067655756149	0.014693324215284395	1.2983585800814075	0.2993879631456705	0.3231503780916588	4.035589634353954e-09	9.317828832557413e-09	0.43310407465880957
GE-InN-4	0.04586239018284867	0.03641881051574796	0.012948004365040218	0.7940888028414977	0.2823229298215345	0.4684685950710039	-1.2562286301862151e-08	9.028683794479834e-09	-1.3913751536567016
GE-InN-5	0.0540493887178651	0.04216920464318995	0.013352136926346635	0.7801976237568741	0.24703585448568294	0.3678095249486175	-1.338154317754305e-08	7.915067798042213e-09	-1.6906416368098536
GE-InN-6	0.06292853453497885	0.09929476941346317	0.01487821450036013	1.5778973743345341	0.2364303349872238	0.013752643416384108	1.4840431985584308e-08	7.557904877746749e-09	1.963564271532445
GE-InN-7	0.06013327274108944	0.10424724615546627	0.016513885895054176	1.7336034013035428	0.2746214390518302	0.009856991559228685	1.8401265415175723e-08	9.083791419281979e-09	2.025725224834614
GE-RG-1	0.050572883561736906	0.030194939990637906	0.01667380565573185	0.5970579066107116	0.3296985356861703	0.21661664360917857	-1.560146607252273e-08	1.0261259669621245e-08	-1.5204240585306814
GE-RG-2	0.08872855094118443	0.07317130498430312	0.01697789986666264	0.8246647128589562	0.19134652472704974	0.3569073520678401	-1.0767534646696069e-08	6.7427751484137206e-09	-1.596899556887819
GE-RG-3	0.058228945075949154	0.05351176491271454	0.015750191980356723	0.9189890842590072	0.2704873316838119	0.7648371720962116	-5.334011600033533e-09	8.554129627552784e-09	-0.623559828092004
Hipp-CR-1	0.06876028638055116	0.07369413998992612	0.01471376617422317	1.071754407508845	0.21398640041710118	0.7374998769338462	-3.1445494328369292e-09	7.211862382787154e-09	-0.43602460306815527
Hipp-CR-2	0.040478873319768856	0.029202160220337055	0.012812931200989102	0.721417317859869	0.31653379034963386	0.3843238550042142	-1.035640379490497e-08	9.89207152874158e-09	-1.0469398411459383
Hipp-CycPro	0.06614888145073802	0.0714753660950112	0.017771130584630594	1.080522671396037	0.2686535311691551	0.7636827375353634	2.918737135677463e-10	8.602735791322369e-09	0.03392801088488165
Hipp-Endo	0.03456626471463016	0.024827570737961168	0.012028088873915899	0.7182601574954932	0.3479719018880572	0.41861973849606016	-9.300028449471439e-09	1.0665721743999676e-08	-0.8719549105716593
Hipp-ExN-1	0.06444988298416465	0.10204386497620874	0.019688403321514593	1.5833056671535142	0.3054839265783002	0.060708320221049085	1.5561365206819995e-08	9.931781930513142e-09	1.5668250990299373
Hipp-ExN-2	0.06311490768825324	0.08700377950948501	0.017987701622411117	1.378498087000734	0.2849992542373461	0.18399804002966735	9.032705812956986e-09	9.171183578544603e-09	0.9849007748670983
Hipp-ExN-3	0.04931591323096733	0.06693885876731753	0.014716280432249654	1.3573480522162182	0.29840835276287137	0.2414183813537497	2.886629133403208e-09	9.503950728411007e-09	0.30372938748240247
Hipp-ExN-4	0.052427053195527915	0.06846944721909629	0.017013546146176436	1.3059945780995528	0.32451845200461715	0.34620994302701924	8.28512140118203e-09	1.0069130943949272e-08	0.8228238809587349
Hipp-ExN-5	0.06483957230464747	0.11259988307617874	0.017090711539976104	1.736592008150985	0.26358458164522935	0.005511100029992932	1.804009756928157e-08	8.544027568254645e-09	2.111427827820874
Hipp-ExN-6	0.05188739303883691	0.05951848779175891	0.012515638043375615	1.1470703056368672	0.2412076866919842	0.540259100227655	-1.6805484303642703e-09	8.047691088067396e-09	-0.20882367525961334
Hipp-InN-1	0.03838397868602397	0.03537865801740547	0.011398371868095399	0.9217037740354735	0.29695649743171804	0.7900363242237877	-7.590050688503427e-09	8.997309023636539e-09	-0.8435911969416467
Hipp-InN-2	0.045221071942553454	0.03197438933032707	0.016973273345394287	0.707068363415748	0.3753399160231378	0.43623418610350484	-1.554132548380381e-08	1.1749014573863685e-08	-1.322776934703641
Hipp-InN-3	0.058498691277988055	0.0809957545929409	0.014482674731022249	1.3845737882929026	0.24757262794478624	0.12473860744862797	8.187680845439808e-09	8.223787259363887e-09	0.995609515082851
Hipp-InN-4	0.04260211814514594	0.05281583201643121	0.01482705596037306	1.2397466209658172	0.34803565188606583	0.48801515793469075	5.679623070203959e-09	1.0973137954042248e-08	0.5175933351053623
