"","x"
"Cer-CycPro",0.931058020477816
"Cer-Endo",0.987179487179487
"Cer-ExN-1",0.965323336457357
"Cer-ExN-2",0.933011466505733
"Cer-ExN-3",0.966645689112649
"Cer-ExN-4",0.956356736242884
"Cer-ExN-5",0.91705069124424
"Cer-IP",0.982441113490364
"Cer-InN-1",0.946934569809377
"Cer-InN-2",0.86986301369863
"Cer-InN-3",0.899038461538462
"Cer-InN-4",0.889430894308943
"Cer-InN-5",0.971494607087827
"Cer-InN-6",0.972972972972973
"Cer-InN-7",0.99327731092437
"Cer-InN-8",0.896358543417367
"Cer-MG",0.931034482758621
"Cer-OPC",0.990825688073395
"Cer-RG-1",0.937193160656848
"Cer-RG-2",0.948609941027801
"Cer-RG-3",0.93366398016119
