"","x"
"Hipp-CR-1",0.970733561383504
"Hipp-CR-2",0.941763727121464
"Hipp-CycPro",0.903722721437741
"Hipp-Endo",0.975609756097561
"Hipp-ExN-1",0.946537602382725
"Hipp-ExN-2",0.831528279181709
"Hipp-ExN-3",0.985407725321888
"Hipp-ExN-4",0.991087344028521
"Hipp-ExN-5",0.984269662921348
"Hipp-ExN-6",0.956521739130435
"Hipp-InN-1",0.830479452054794
"Hipp-InN-2",0.998069498069498
"Hipp-InN-3",0.860896445131376
"Hipp-InN-4",1
"Hipp-MG",0.86
"Hipp-OPC",0.9812734082397
"Hipp-RG-1",0.919330289193303
"Hipp-RG-2",0.912513842746401
"Hipp-RG-3",0.985507246376811
