"","x"
"Thal-CycPro",0.912671232876712
"Thal-Endo",0.985294117647059
"Thal-ExN-1",0.995508982035928
"Thal-ExN-2",0.987775061124694
"Thal-ExN-3",0.969359331476323
"Thal-IP",0.953917050691244
"Thal-InN-1",0.871115393880992
"Thal-InN-2",0.875
"Thal-InN-3",0.894736842105263
"Thal-InN-4",0.699857752489331
"Thal-InN-5",0.966019417475728
"Thal-InN-6",0.997792494481236
"Thal-InN-7",0.938709677419355
"Thal-InN-8",0.954128440366973
"Thal-MG",0.914728682170543
"Thal-OPC",0.991816693944354
"Thal-RG-1",0.899107384365702
"Thal-RG-2",0.926658905704307
"Thal-RG-3",0.855313700384123
"Thal-RG-4",0.957345971563981
"Thal-RG-5",0.684444444444444
"Thal-RG-6",0.972639881685975
"Thal-RG-7",0.938036224976168
