Category	TYPE	NGENES	BETA	BETA_STD	SE	P	magma_FDR	magma_FDR_log10
Cer-CycPro	SET	1161	0.0062104	0.0015288	0.027081	0.40931	0.7601471428571429	0.11910233252766092
Cer-Endo	SET	988	-0.026311	-0.0060057	0.029554	0.81334	0.99485	0.0022423957197456883
Cer-ExN-1	SET	1004	0.036272	0.008342	0.029957	0.113	0.40537	0.3921483950523692
Cer-ExN-2	SET	885	0.027029	0.0058568	0.031163	0.19288	0.5162376470588235	0.2871503273517643
Cer-ExN-3	SET	968	0.048583	0.010983	0.030501	0.055612	0.31552376470588234	0.5009679248764443
Cer-ExN-4	SET	875	0.021093	0.0045459	0.031009	0.24819	0.56463225	0.24823431995983145
Cer-ExN-5	SET	852	0.0017184	0.00036569	0.031146	0.478	0.826142641509434	0.08294496106686594
Cer-InN-1	SET	1027	0.0040944	0.00095173	0.029737	0.44525	0.8085796078431373	0.09227721565244856
Cer-InN-2	SET	914	0.0036	0.00079206	0.030593	0.45316	0.8085796078431373	0.09227721565244856
Cer-InN-3	SET	1006	0.030833	0.0070979	0.030095	0.1528	0.45608062499999996	0.34095837685863156
Cer-InN-4	SET	979	0.088497	0.020113	0.029803	0.0014944	0.04533013333333333	1.3436130035125506
Cer-InN-5	SET	881	0.048891	0.010571	0.031265	0.058944	0.31552376470588234	0.5009679248764443
Cer-InN-6	SET	899	0.016525	0.0036074	0.03108	0.29748	0.654095	0.18435917066731464
Cer-InN-7	SET	1008	0.079499	0.018318	0.029714	0.0037353	0.084978075	1.0706931111653877
Cer-InN-8	SET	782	0.023354	0.0047713	0.032105	0.23349	0.5591471052631579	0.25247391912728306
Cer-IP	SET	892	-0.018402	-0.0040023	0.031357	0.72134	0.9916962686567163	0.0036213208341978323
Cer-MG	SET	932	-0.011758	-0.002611	0.03024	0.6513	0.9565127419354839	0.01930924025726974
Cer-OPC	SET	859	0.031911	0.0068174	0.031575	0.15611	0.45608062499999996	0.34095837685863156
Cer-RG-1	SET	1099	-0.068605	-0.016461	0.028841	0.99131	0.99485	0.0022423957197456883
Cer-RG-2	SET	1086	-0.039282	-0.0093732	0.028859	0.91326	0.99485	0.0022423957197456883
Cer-RG-3	SET	1073	-0.038579	-0.0091536	0.028255	0.91392	0.99485	0.0022423957197456883
FC-CycPro	SET	1173	-0.014021	-0.0034681	0.026605	0.7009	0.9812599999999999	0.008215904338217679
FC-Endo	SET	1030	-0.049181	-0.011448	0.029118	0.95438	0.99485	0.0022423957197456883
FC-ExN-1	SET	907	-0.001252	-0.00027446	0.030493	0.51638	0.8391175	0.07617722149708203
FC-ExN-2	SET	1203	0.021812	0.0054588	0.026965	0.20929	0.5290386111111111	0.27651263045901997
FC-ExN-3	SET	1093	0.041463	0.0099234	0.028561	0.073299	0.32796813636363636	0.48416834797626995
FC-ExN-4	SET	1177	0.084377	0.020903	0.027379	0.0010306	0.04533013333333333	1.3436130035125506
FC-ExN-5	SET	1171	0.066304	0.016387	0.028058	0.0090678	0.16503396	0.782426679282794
FC-InN-1	SET	799	0.046268	0.00955	0.032815	0.079289	0.32796813636363636	0.48416834797626995
FC-InN-2	SET	836	0.062068	0.01309	0.031275	0.023603	0.25175655555555554	0.5990192119181942
FC-InN-3	SET	759	-0.0085261	-0.0017172	0.03335	0.60089	0.9427756896551724	0.025591624689008455
FC-InN-4	SET	743	0.025865	0.0051566	0.033591	0.22066	0.5427043243243244	0.265436717903277
FC-IP	SET	790	0.0084254	0.0017297	0.032986	0.3992	0.7601471428571429	0.11910233252766092
FC-MG	SET	832	-0.012338	-0.0025961	0.031643	0.65169	0.9565127419354839	0.01930924025726974
FC-N-undef	SET	940	0.049335	0.011	0.03038	0.052206	0.31552376470588234	0.5009679248764443
FC-OPC	SET	644	-0.00073755	-0.00013729	0.036259	0.50811	0.8391175	0.07617722149708203
FC-RG-1	SET	1114	-0.072161	-0.017425	0.028121	0.99485	0.99485	0.0022423957197456883
FC-RG-2	SET	876	-0.055583	-0.011986	0.030907	0.96393	0.99485	0.0022423957197456883
GE-CycPro	SET	1181	-0.024819	-0.0061584	0.02661	0.8245	0.99485	0.0022423957197456883
GE-InN-1	SET	1113	0.033214	0.0080168	0.027326	0.1121	0.40537	0.3921483950523692
GE-InN-2	SET	1025	0.056904	0.013215	0.028832	0.024218	0.25175655555555554	0.5990192119181942
GE-InN-3	SET	1030	-0.028385	-0.0066071	0.028217	0.84278	0.99485	0.0022423957197456883
GE-InN-4	SET	987	0.0081047	0.0018491	0.02892	0.38965	0.7601471428571429	0.11910233252766092
GE-InN-5	SET	972	-0.0069199	-0.0015674	0.030038	0.5911	0.9427756896551724	0.025591624689008455
GE-InN-6	SET	964	0.046357	0.010459	0.030288	0.06295	0.31824722222222224	0.49723537833833104
GE-InN-7	SET	846	0.031565	0.006695	0.03179	0.16038	0.45608062499999996	0.34095837685863156
GE-RG-1	SET	1083	-0.047579	-0.011338	0.028211	0.95414	0.99485	0.0022423957197456883
GE-RG-2	SET	1194	-0.049211	-0.012273	0.028205	0.95948	0.99485	0.0022423957197456883
GE-RG-3	SET	1058	-0.049881	-0.011757	0.028954	0.95752	0.99485	0.0022423957197456883
Hipp-CR-1	SET	1071	0.012501	0.0029635	0.028891	0.33262	0.6879186363636365	0.1624629249445599
Hipp-CR-2	SET	887	-0.00071339	-0.00015475	0.029791	0.50955	0.8391175	0.07617722149708203
Hipp-CycPro	SET	1080	-0.041506	-0.0098783	0.027824	0.93211	0.99485	0.0022423957197456883
Hipp-Endo	SET	813	-0.009162	-0.0019068	0.032163	0.61212	0.9441172881355933	0.024974049742238835
Hipp-ExN-1	SET	1031	0.02639	0.0061455	0.029326	0.1841	0.507669696969697	0.29441875905277914
Hipp-ExN-2	SET	996	0.03103	0.0071096	0.029857	0.14935	0.45608062499999996	0.34095837685863156
Hipp-ExN-3	SET	1109	0.033173	0.0079934	0.027732	0.11582	0.40537	0.3921483950523692
Hipp-ExN-4	SET	923	0.050933	0.011258	0.030419	0.047037	0.31552376470588234	0.5009679248764443
Hipp-ExN-5	SET	1011	0.092153	0.021263	0.029257	0.00081853	0.04533013333333333	1.3436130035125506
Hipp-ExN-6	SET	904	0.043454	0.0095111	0.030643	0.078097	0.32796813636363636	0.48416834797626995
Hipp-InN-1	SET	948	0.020585	0.0046079	0.029301	0.24118	0.5627533333333333	0.249681923881444
Hipp-InN-2	SET	1006	0.056165	0.012929	0.028629	0.024899	0.25175655555555554	0.5990192119181942
Hipp-InN-3	SET	923	0.026297	0.0058128	0.031291	0.20035	0.52091	0.2832373052604635
Hipp-InN-4	SET	761	-0.026815	-0.0054076	0.033361	0.78924	0.99485	0.0022423957197456883
Hipp-MG	SET	807	-0.053336	-0.011061	0.032353	0.95037	0.99485	0.0022423957197456883
Hipp-OPC	SET	836	0.031244	0.0065894	0.0313	0.1591	0.45608062499999996	0.34095837685863156
Hipp-RG-1	SET	1080	-0.023811	-0.005667	0.028422	0.79891	0.99485	0.0022423957197456883
Hipp-RG-2	SET	1098	0.0068536	0.0016438	0.02876	0.40582	0.7601471428571429	0.11910233252766092
Hipp-RG-3	SET	988	-0.071061	-0.01622	0.029639	0.99174	0.99485	0.0022423957197456883
Thal-CycPro	SET	1121	-0.018993	-0.0045997	0.027928	0.75177	0.99485	0.0022423957197456883
Thal-Endo	SET	997	-0.045138	-0.010347	0.029617	0.93625	0.99485	0.0022423957197456883
Thal-ExN-1	SET	1251	0.026951	0.0068681	0.026769	0.15702	0.45608062499999996	0.34095837685863156
Thal-ExN-2	SET	742	0.074824	0.014908	0.033609	0.013004	0.19722733333333334	0.705032897238461
Thal-ExN-3	SET	1131	-0.016265	-0.0039553	0.026521	0.73015	0.9916962686567163	0.0036213208341978323
Thal-InN-1	SET	937	0.016192	0.0036046	0.031199	0.30189	0.654095	0.18435917066731464
Thal-InN-2	SET	928	0.039189	0.0086845	0.03094	0.10266	0.40537	0.3921483950523692
Thal-InN-3	SET	947	0.045751	0.010236	0.031066	0.07043	0.32796813636363636	0.48416834797626995
Thal-InN-4	SET	839	0.052023	0.01099	0.031881	0.051376	0.31552376470588234	0.5009679248764443
Thal-InN-5	SET	936	0.0014626	0.00032545	0.030967	0.48116	0.826142641509434	0.08294496106686594
Thal-InN-6	SET	1001	0.014913	0.003425	0.030138	0.31036	0.6568083720930233	0.18256132006244505
Thal-InN-7	SET	1063	0.051146	0.012082	0.028496	0.036348	0.27563899999999997	0.5596593343460508
