Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score	ZscoreP	ldsr_FDR	ldsr_FDR_log10
Cer-CycPro	0.10304506221021784	0.16717034405574863	0.0145718598852204	1.622303295957176	0.14141250024666852	1.8574328957597245e-5	2.0062638967471824e-8	1.3481716130002172e-8	1.4881368791636609	0.06835739969559164	0.4443770235139906	0.35224840431949894
Cer-Endo	0.08554896791043487	0.17297364886036493	0.01514328028849403	2.0219256068811835	0.17701300972266815	5.360854724099497e-8	2.9005914136941002e-8	1.7403736135223026e-8	1.6666486960944318	0.047792139960694355	0.4443770235139906	0.35224840431949894
Cer-ExN-1	0.12081945809531336	0.11876643922102524	0.00718590496197546	0.9830075477356596	0.0594763879532266	0.7752918850718447	-1.6428924701292432e-8	6.724005153150852e-9	-2.4433242282085224	0.9927236716952055	0.9994180079644611	0
Cer-ExN-2	0.08776397341523687	0.11384455920789469	0.00739097698343574	1.2971673316255063	0.08421424755311482	5.1901029302309e-4	-1.1961595155973269e-8	8.485497704859058e-9	-1.4096515693031997	0.9206787041223864	0.9994180079644611	0
Cer-ExN-3	0.11321976145913908	0.12204348638878564	0.00686951565230519	1.0779344949673917	0.06067417528329976	0.19918183788834623	-1.234379144586452e-8	6.690567435682217e-9	-1.844954342741164	0.967477909734694	0.9994180079644611	0
Cer-ExN-4	0.08163664146519159	0.12109120770741856	0.0078986812816232	1.483294823673628	0.0967541184921364	1.17123959735056e-6	1.5316016285905572e-9	9.037802540680069e-9	0.16946615304955634	0.4327149966125773	0.9994180079644611	2.5282950906499034e-4
Cer-ExN-5	0.09935316269873024	0.13340465043431013	0.00812977251392035	1.342731794445584	0.08182701278038187	3.701903421115071e-5	3.872705481702947e-9	8.017191579055338e-9	0.4830501358880171	0.3145300691166665	0.9994180079644611	2.5282950906499034e-4
Cer-InN-1	0.11559731924613988	0.12719002476167196	0.00722095507787512	1.1002852452905751	0.06246645791585907	0.10700809748436872	-1.185161351322652e-8	6.372581279875927e-9	-1.8597822440732008	0.9685418297594697	0.9994180079644611	0
Cer-InN-2	0.09490352463338084	0.11167189173336894	0.00798287981081184	1.1766885599324737	0.08411573586597845	0.03632554823331201	-5.007159939745973e-9	8.818586658548198e-9	-0.5677961938370634	0.7149133177030587	0.9994180079644611	0
Cer-InN-3	0.10661685085064834	0.1228110255412887	0.00801097357988249	1.1518913245085955	0.07513796849153302	0.04377763318599659	-7.041833589695603e-9	7.76202538679419e-9	-0.9072159956699092	0.8178537067099269	0.9994180079644611	0
Cer-InN-4	0.11011264755729548	0.1170723470946528	0.00746445243689998	1.0632052692560674	0.06778923768058494	0.35067371183190255	-1.6613054851815357e-8	7.120293977454388e-9	-2.3331978854270248	0.9901811191100804	0.9994180079644611	0
Cer-InN-5	0.08005590859093005	0.09150939577479648	0.00616804051346081	1.1430686052467594	0.07704666178955374	0.06178083004688169	-2.0001175318950823e-8	7.777554408404445e-9	-2.5716535389758897	0.9949392937988797	0.9994180079644611	0
Cer-InN-6	0.10119340886562496	0.1033040784162253	0.00704841510079678	1.0208577769467486	0.06965290704018479	0.7645162727814729	-9.80806284865851e-9	7.180528151007505e-9	-1.365924990807582	0.9140187460514314	0.9994180079644611	0
Cer-InN-7	0.11412881287011468	0.11527589645888392	0.00742423590918587	1.0100507799908047	0.06505137241403791	0.8771785967896976	-2.0540745661216858e-8	7.519319411861208e-9	-2.7317293675296264	0.9968498565150945	0.9994180079644611	0
Cer-InN-8	0.06410515136402166	0.09830913911383572	0.00805968223505264	1.5335606737060243	0.1257259684059659	4.398127784284486e-5	-2.422794218556863e-9	1.256492002474717e-8	-0.19282209626365004	0.5764508510469967	0.9994180079644611	0
Cer-IP	0.09015176411164338	0.09627486074787142	0.00767428867732924	1.067919875962108	0.08512632839691799	0.4249345735391188	-1.8966406704420782e-8	8.502878097922514e-9	-2.2305866891182164	0.9871457403384488	0.9994180079644611	0
Cer-MG	0.07710849517686075	0.12297741119593315	0.01000033186004301	1.5948620306214596	0.12969170046835488	7.873466344804162e-6	-1.3308510809132352e-8	1.3447499919540278e-8	-0.9896643159516988	0.8388308889151216	0.9994180079644611	0
Cer-OPC	0.10102515299457708	0.1291146520637148	0.01290668453705798	1.2780446080655334	0.12775713923195745	0.03097807209347283	8.205982227776575e-9	1.140096489545396e-8	0.7197620818084127	0.23583574746742586	0.8551173232293743	0.06797429540567708
Cer-RG-1	0.1173600637057324	0.17849172884591297	0.01295153349067782	1.520889842846895	0.11035724659414282	4.916990348779221e-6	1.9472490119162112e-8	1.0475213436627842e-8	1.8589110605683896	0.03151987303340745	0.3968570783478077	0.4013658692074599
Cer-RG-2	0.11624517983835024	0.17637577940208576	0.01223161424181317	1.5172739174850325	0.10522254994850004	1.6899261759364295e-6	1.4300752595130028e-8	9.610243207495862e-9	1.488073952590048	0.06836569592522933	0.4443770235139906	0.35224840431949894
Cer-RG-3	0.09567451564368606	0.1450906546319077	0.01434216407985044	1.5165026303583156	0.14990579239788335	7.4219365984203e-4	1.275801736929402e-8	1.3501275286555396e-8	0.9449490584047632	0.17234244195850196	0.7432934774269857	0.128839678215343
