cell_type	p-value
FC-OPC	0.00100879935591878
Hipp-ExN-5	0.00193304457983355
FC-InN-4	0.00347977229034226
FC-ExN-2	0.00393418558632471
Cer-InN-8	0.00584345969482755
Thal-InN-6	0.00695908775321779
Hipp-OPC	0.00853109617724449
Hipp-InN-2	0.0125992073790501
Cer-OPC	0.0140488095482161
Hipp-ExN-3	0.0147016998153992
Cer-ExN-1	0.0150565683815246
Cer-ExN-3	0.0159807141352096
Thal-OPC	0.0161852734318291
GE-RG-1	0.0196314938290381
Thal-Endo	0.0226415909520708
Hipp-ExN-6	0.0282981815759254
Thal-InN-7	0.0283997073616052
GE-InN-6	0.0339318710363361
Cer-Endo	0.0419710458492246
FC-ExN-5	0.0472220794456668
Thal-MG	0.0505256143264558
Cer-MG	0.0524699884487138
Thal-InN-4	0.0562374210112727
Cer-InN-6	0.0562822088774418
GE-InN-7	0.071340661633754
Hipp-InN-3	0.0716473186005942
Hipp-CR-1	0.0742998185202269
Cer-InN-5	0.0800128612173378
FC-ExN-4	0.0807450847417421
Hipp-ExN-2	0.100025608494129
FC-IP	0.10559947608456
GE-InN-2	0.105767191970332
FC-ExN-3	0.109453479269377
GE-InN-3	0.112976670541116
GE-InN-1	0.115586957544256
Thal-ExN-3	0.128962466592736
FC-InN-3	0.130361525975018
GE-RG-3	0.132439180065778
Cer-InN-7	0.137137503207836
FC-InN-2	0.157960158440925
Cer-InN-4	0.159186898943602
Thal-CycPro	0.168629706778489
Thal-RG-6	0.172434190076345
FC-InN-1	0.174479963506315
Cer-InN-3	0.178340216971918
Cer-CycPro	0.189775818705268
FC-N-undef	0.192568495101005
Cer-IP	0.198151887222385
FC-RG-2	0.214751560826847
Thal-RG-5	0.216595872804617
Thal-ExN-1	0.220340872892928
GE-InN-5	0.221055309153619
FC-Endo	0.232321737242023
FC-CycPro	0.254567043057978
Thal-InN-5	0.283635132592913
Thal-InN-3	0.296555693068177
Cer-RG-2	0.299555089696308
Hipp-InN-1	0.318630135570484
Cer-InN-2	0.31863703938763
Cer-ExN-5	0.347930535921564
FC-ExN-1	0.352658719542149
Hipp-MG	0.355350281552773
FC-MG	0.359243030931446
Thal-RG-2	0.367155455791853
Thal-InN-8	0.371440820226664
Hipp-Endo	0.372456656373999
Thal-IP	0.373374886941337
Cer-InN-1	0.393740441019411
Hipp-RG-2	0.416636427996794
Thal-ExN-2	0.433997703202391
Hipp-ExN-1	0.443533431416154
Hipp-RG-1	0.469945763708838
Hipp-CycPro	0.476531025115303
GE-InN-4	0.543996057205645
Hipp-CR-2	0.628415940441393
Cer-ExN-2	0.635389212902804
Thal-RG-7	0.669331590533315
Hipp-InN-4	0.681075738412036
Thal-InN-1	0.696424500704107
FC-RG-1	0.737154646655132
Cer-ExN-4	0.743476540467642
Thal-RG-3	0.751167520356293
Thal-InN-2	0.777633688143875
GE-CycPro	0.807734022096565
GE-RG-2	0.808705830804733
Cer-RG-3	0.829630342194357
Hipp-RG-3	0.862364492763429
Cer-RG-1	0.898192148781952
Thal-RG-1	0.909720139988759
Hipp-ExN-4	0.916414474456115
Thal-RG-4	0.986952950224976
