Category	TYPE	NGENES	BETA	BETA_STD	SE	P	magma_FDR	magma_FDR_log10
Cer-CycPro	SET	1169	-0.071903	-0.017677	0.033285	0.98461	1	-0
Cer-Endo	SET	994	-0.14826	-0.033783	0.036107	0.99998	1	-0
Cer-ExN-1	SET	1007	0.047781	0.010954	0.036827	0.097248	0.22691200000000003	0.6441425363055567
Cer-ExN-2	SET	887	0.067777	0.014634	0.038716	0.040018	0.107107	0.9701821448354717
Cer-ExN-3	SET	971	0.054664	0.012319	0.037563	0.072809	0.18327891891891895	0.7368874855216963
Cer-ExN-4	SET	878	-0.060401	-0.012979	0.038078	0.94365	1	-0
Cer-ExN-5	SET	858	-0.14293	-0.030379	0.038178	0.99991	1	-0
Cer-InN-1	SET	1033	0.073579	0.017072	0.036722	0.022561	0.07603892592592593	1.1189640263113023
Cer-InN-2	SET	918	0.054893	0.012047	0.038041	0.07452	0.18327891891891895	0.7368874855216963
Cer-InN-3	SET	1011	-0.019229	-0.0044167	0.037131	0.69772	1	-0
Cer-InN-4	SET	984	0.0083604	0.001896	0.036818	0.41018	0.7776329166666666	0.10922536430589223
Cer-InN-5	SET	881	0.087724	0.018881	0.039211	0.012642	0.050018347826086954	1.3008706577047555
Cer-InN-6	SET	905	0.1091	0.023781	0.038203	0.0021501	0.012127088235294117	1.9162434625419758
Cer-InN-7	SET	1012	0.052	0.011949	0.036505	0.077169	0.18479944736842108	0.7332993318453715
Cer-InN-8	SET	785	-0.026838	-0.0054677	0.039777	0.75007	1	-0
Cer-IP	SET	897	0.0070754	0.0015359	0.038762	0.42758	0.7940771428571429	0.10013730476463563
Cer-MG	SET	938	-0.15272	-0.03386	0.037162	0.99998	1	-0
Cer-OPC	SET	866	-0.0028691	-0.00061249	0.039278	0.52911	0.9440982352941176	0.024982814148436165
Cer-RG-1	SET	1102	-0.051316	-0.012273	0.035564	0.92547	1	-0
Cer-RG-2	SET	1089	0.01159	0.0027566	0.035725	0.37281	0.7218236170212765	0.1415689125588271
Cer-RG-3	SET	1077	-0.073141	-0.017306	0.035213	0.9811	1	-0
FC-CycPro	SET	1182	-0.040486	-0.010004	0.032872	0.89095	1	-0
FC-Endo	SET	1035	-0.19379	-0.045004	0.035236	1	1	-0
FC-ExN-1	SET	912	0.069534	0.015213	0.037924	0.033373	0.09490446875	1.0227133375434836
FC-ExN-2	SET	1210	0.22222	0.055512	0.033624	2.0002e-11	1.820182e-9	8.739885184738062
FC-ExN-3	SET	1096	0.15875	0.03787	0.034986	2.8682e-06	1.305031e-4	3.8843791718743326
FC-ExN-4	SET	1182	0.13575	0.033543	0.033702	2.8278e-05	5.146596e-4	3.288479921871646
FC-ExN-5	SET	1180	0.11758	0.029032	0.034639	0.0003447	0.0031367699999999997	2.503517324270959
FC-InN-1	SET	802	0.15401	0.031699	0.040643	7.578e-05	9.8514e-4	3.0065020467541888
FC-InN-2	SET	838	0.075945	0.015961	0.038713	0.024906	0.0809445	1.0918126552589624
FC-InN-3	SET	762	-0.0065467	-0.0013149	0.041111	0.56326	0.9714164150943396	0.012594562048222365
FC-InN-4	SET	747	0.086301	0.01717	0.041533	0.018869	0.0660415	1.1801830711705295
FC-IP	SET	793	0.090215	0.018468	0.041266	0.014409	0.054634125	1.262536008031888
FC-MG	SET	839	-0.1225	-0.025761	0.039167	0.99912	1	-0
FC-N-undef	SET	943	0.068105	0.015138	0.03819	0.037276	0.10279139393939393	0.988043244495304
FC-OPC	SET	651	-0.051056	-0.0095087	0.045177	0.87078	1	-0
FC-RG-1	SET	1120	-0.091081	-0.021948	0.035164	0.9952	1	-0
FC-RG-2	SET	882	-0.079013	-0.017015	0.038259	0.98054	1	-0
GE-CycPro	SET	1185	-0.051449	-0.012728	0.032987	0.94057	1	-0
GE-InN-1	SET	1120	0.11775	0.028375	0.033563	0.00022612	0.0025721150000000003	2.589709617882769
GE-InN-2	SET	1032	0.15375	0.035657	0.0352	6.3148e-06	1.9154893333333332e-4	3.7177202621029197
GE-InN-3	SET	1035	0.057277	0.013302	0.03528	0.052253	0.1358578	0.8669154223935777
GE-InN-4	SET	991	0.10772	0.02451	0.035966	0.0013745	0.008338633333333333	2.0789051225551005
GE-InN-5	SET	976	0.11509	0.025999	0.036744	0.00086943	0.00608601	2.21566733838251
GE-InN-6	SET	968	0.1062	0.023899	0.037408	0.0022655	0.012127088235294117	1.9162434625419758
GE-InN-7	SET	850	0.12255	0.025932	0.038999	0.00083908	0.00608601	2.21566733838251
GE-RG-1	SET	1089	-0.027187	-0.006466	0.034837	0.78242	1	-0
GE-RG-2	SET	1195	-0.073682	-0.0183	0.034937	0.98252	1	-0
GE-RG-3	SET	1064	-0.04947	-0.011639	0.03577	0.91666	1	-0
Hipp-CR-1	SET	1073	0.10794	0.025496	0.035491	0.0011792	0.0076648	2.1154991728421684
Hipp-CR-2	SET	892	-0.067602	-0.014636	0.036833	0.96676	1	-0
Hipp-CycPro	SET	1084	-0.09	-0.021359	0.03409	0.99585	1	-0
Hipp-Endo	SET	814	-0.15772	-0.032692	0.039513	0.99997	1	-0
