Cer-CycPro	Cer-Endo	Cer-ExN-1	Cer-ExN-2	Cer-ExN-3	Cer-ExN-4	Cer-ExN-5	Cer-InN-1	Cer-InN-2	Cer-InN-3	Cer-InN-4	Cer-InN-5	Cer-InN-6	Cer-InN-7	Cer-InN-8	Cer-IP	Cer-MG	Cer-OPC	Cer-RG-1	Cer-RG-2	Cer-RG-3	FC-CycPro	FC-Endo	FC-ExN-1	FC-ExN-2	FC-ExN-3	FC-ExN-4	FC-ExN-5	FC-InN-1	FC-InN-2	FC-InN-3	FC-InN-4	FC-IP	FC-MG	FC-N-undef	FC-OPC	FC-RG-1	FC-RG-2	GE-CycPro	GE-InN-1	GE-InN-2	GE-InN-3	GE-InN-4	GE-InN-5	GE-InN-6	GE-InN-7	GE-RG-1	GE-RG-2	GE-RG-3	Hipp-CR-1	Hipp-CR-2	Hipp-CycPro	Hipp-Endo	Hipp-ExN-1	Hipp-ExN-2	Hipp-ExN-3	Hipp-ExN-4	Hipp-ExN-5	Hipp-ExN-6	Hipp-InN-1	Hipp-InN-2	Hipp-InN-3	Hipp-InN-4	Hipp-MG	Hipp-OPC	Hipp-RG-1	Hipp-RG-2	Hipp-RG-3	Thal-CycPro	Thal-Endo	Thal-ExN-1	Thal-ExN-2	Thal-ExN-3	Thal-InN-1	Thal-InN-2	Thal-InN-3	Thal-InN-4	Thal-InN-5	Thal-InN-6	Thal-InN-7	Thal-InN-8	Thal-IP	Thal-MG	Thal-OPC	Thal-RG-1	Thal-RG-2	Thal-RG-3	Thal-RG-4	Thal-RG-5	Thal-RG-6	Thal-RG-7
FAM87B	AL645608.7	ACAP3	PUSL1	AL590822.1	AL627309.1	TNFRSF18	AL645608.2	AL645608.1	TTLL10	SAMD11	AL645608.6	AL627309.1	AL627309.5	AL627309.1	AL627309.5	FO704657.1	AL590822.2	FAM87B	FAM87B	AL627309.1	TAS1R3	HES4	KLHL17	LINC01342	LINC01128	AL645608.2	B3GALT6	LINC01342	AL590822.2	AL645608.2	AL645728.1	AL645608.6	AL162741.1	AL645608.2	AL627309.5	AL645608.7	AL627309.5	AL645608.6	KLHL17	AL590822.2	KLHL17	AL645608.2	CPTP	AL645608.2	AL645608.2	AL645608.6	HES4	AL645608.7	LINC01128	AL645608.2	AL645608.7	AGRN	AL645608.6	AL645608.2	KLHL17	LINC00115	LINC01409	KLHL17	AL645608.6	CPTP	AL645608.2	AL645608.2	AL645608.6	LINC00115	LINC00115	LINC00115	AL645608.7	AL645608.7	AGRN	AGRN	AL627309.5	LINC01128	AL645608.6	AL645608.6	ANKRD65	SAMD11	AL645608.6	LINC01409	AL627309.5	AL627309.5	AL391244.2	MRPL20-AS1	LINC01786	AL645608.7	SAMD11	TTLL10	AL645608.7	SAMD11	ACAP3	MXRA8
AL645608.7	AGRN	TAS1R3	TAS1R3	AL139246.1	LINC00115	AL109917.1	TTLL10	TTLL10	ANKRD65	PUSL1	AL645608.2	LINC01409	TNFRSF18	FAM41C	AL645608.2	AL139246.5	AL590822.3	SAMD11	LINC00115	FAM87B	MXRA8	ISG15	TAS1R3	B3GALT6	KLHL17	KLHL17	TAS1R3	CPTP	AL513320.1	LINC01342	GABRD	TTC34	TNFRSF14-AS1	ANKRD65	ACAP3	HES4	AL645608.7	AL390719.3	ACAP3	PRXL2B	TAS1R3	LINC01342	TAS1R3	LINC01342	AL645728.1	AL645608.7	VWA1	HES4	MRPL20-AS1	PUSL1	HES4	VWA1	AL645608.2	ATAD3C	ACAP3	TNFRSF18	KLHL17	SCNN1D	AL645608.2	SLC35E2B	SAMD11	SAMD11	AL691432.4	ATAD3A	SAMD11	SAMD11	AL390719.3	MXRA8	VWA1	C1orf159	LINC01342	CPTP	TTLL10	TTLL10	ATAD3C	AL391244.2	KLHL17	AL645608.2	KLHL17	AL645608.2	ANKRD65	TNFRSF14	ACAP3	HES4	AL645608.7	MXRA8	AGRN	AL645608.7	ANKRD65	ANKRD65
HES4	TNFRSF4	ANKRD65	MRPL20-AS1	LINC02780	TNFRSF18	AL139246.4	AL691432.4	AL691432.4	AL691432.4	ATAD3C	KLHL17	FAM87B	AL691432.4	LINC02593	PUSL1	TNFRSF14-AS1	HES5	AL645608.7	SAMD11	ISG15	PANK4	AGRN	AL590822.2	CPTP	LINC01342	TAS1R3	AJAP1	GPR153	GPR153	LINC01786	AL513477.2	PRDM16	TNFRSF14	AL691432.4	AL391244.2	ISG15	AL645608.1	LINC01342	MRPL20-AS1	GPR153	AL691432.2	GABRD	MRPL20-AS1	PUSL1	AL691432.4	HES4	MEGF6	ISG15	ATAD3C	MORN1	HES5	AL031848.2	AL691432.4	MMEL1	ATAD3A	PUSL1	B3GALT6	MIB2	SAMD11	CDK11A	KLHL17	TNFRSF18	TNFRSF14	HES5	AL645608.7	AL645608.7	LINC01786	HES5	CFAP74	SCNN1D	PUSL1	DVL1	ATAD3C	ATAD3C	AL691432.4	ATAD3C	PRKCZ-AS1	LINC01342	B3GALT6	SAMD11	AL590822.2	Z98884.2	HES5	MXRA8	HES4	MMP23B	LINC01342	TTLL10	ATAD3C	GABRD
AL590822.3	VWA1	ATAD3C	ANKRD65	AL805961.1	ANKRD65	TP73	MMP23B	AL590822.3	MMP23B	AL691432.4	MRPL20-AS1	AL645608.2	TMEM52	TAS1R3	CPTP	TNFRSF14	AL139246.5	HES4	AL645608.7	CFAP74	PRDM16-DT	TNFRSF4	AL513320.1	TAS1R3	ACAP3	PRKCZ	AL365255.1	RERE	AL034417.3	ATAD3C	ARHGEF16	AL590438.1	LINC01134	TMEM52	ANKRD65	AL645608.1	AL390719.3	TAS1R3	PRKCZ-AS1	AL031848.2	AL590822.2	PRKCZ-AS1	AL691432.2	CPTP	AL590822.1	LINC01786	AGTRAP	CFAP74	TPRG1L	PLCH2	PRDM16	GPR157	PLCH2	AL365255.1	PRKCZ	AL691432.4	MRPL20-AS1	CFAP74	C1orf159	SLC35E2A	PUSL1	CPTP	KCNAB2	AL139246.5	HES4	HES4	MXRA8	MEGF6	TNFRSF14	ACAP3	AL691432.4	FNDC10	AL645728.1	AL691432.4	GABRD	MMP23B	AJAP1	TNFRSF25	ACAP3	LINC01342	AL513320.1	SLC2A5	AL139246.5	HES5	MXRA8	CFAP74	HES5	MXRA8	AL590822.1	PRKCZ-AS1
AL139246.1	TNFRSF14	AL831784.1	ATAD3C	AL359881.2	PLCH2	AL357552.2	AL109917.1	LINC02780	AL139246.1	MMP23B	AL391244.2	LINC02593	AL590822.1	AL645728.1	FO704657.1	PER3	TAS1R1	AL645608.1	HES4	MORN1	PRDM16	MRPL20-AS1	GPR153	DVL1	INTS11	AL590822.1	RNF207	RERE-AS1	AL034417.2	AL645728.1	AL365255.1	AL513320.1	SLC2A5	PLCH2	GABRD	MXRA8	CFAP74	ICMT	SKI	TNFRSF25	AL590822.1	PLCH2	GABRD	TAS1R3	MMEL1	SCNN1D	C1orf158	AL590822.3	AL512330.1	TP73	MEGF6	SPSB1	TPRG1L	CHD5	AL513320.1	TTC34	FNDC10	PLCH2	ATAD3C	GPR153	VWA1	FNDC10	AL031847.1	PRDM16-DT	CFAP74	MXRA8	MORN1	AL031848.2	PRDM16-DT	MMP23B	AL590822.2	TMEM52	AL691432.4	MMP23B	MMEL1	GABRD	AL512330.1	PLEKHG5	AL391244.2	CPTP	RPL22	MIR34AHG	AL512413.1	PRDM16-DT	AL590822.2	MORN1	AL139246.5	HES5	TP73	PLCH2
HES5	AL031848.2	AL359881.2	AL645728.1	AL359881.1	MMEL1	AL357140.4	AL365255.1	AL365255.1	Z98886.1	GABRD	AL645728.1	SAMD11	PLCH2	AL691432.4	AL513320.1	SLC2A5	CAMTA1-DT	MXRA8	MXRA8	MMEL1	AL590438.1	VWA1	RERE-AS1	TMEM240	CPTP	MMEL1	AL359881.3	AL139424.3	RERE	AL691432.4	CHD5	TP73	MIR34AHG	AL139246.5	SPSB1	MORN1	HES5	PHF13	LRRC47	PLEKHG5	AL590822.3	TPRG1L	PRKCZ-AS1	AL691432.4	AL831784.1	PUSL1	TMEM51	HES5	RERE-AS1	AL359881.3	ICMT	PIK3CD-AS2	DFFB	RNF207	PLEKHG5	AJAP1	ICMT	MMEL1	CDK11A	ESPN	ATAD3C	PLCH2	PHF13	AL034417.4	HES5	MORN1	PRDM16-DT	HES2	AL031848.2	TMEM52	AC242022.2	PRXL2B	AL590822.2	AL590822.1	CHD5	AL590822.2	AL359881.1	CAMTA1-DT	TMEM52	ARHGEF16	THAP3	PIK3CD	ERRFI1	PRDM16	PRKCZ-AS1	MMEL1	MMEL1	MMEL1	AL512330.1	TP73
PRDM16	AL357552.2	AL359881.1	FO704657.1	AL139424.2	AL831784.1	CORT	CHD5	CHD5	CHD5	AL590822.1	AL691432.2	KLHL17	ARHGEF16	MMP23B	AL031848.2	MIR34AHG	SPSB1	AL590822.3	NADK	TTC34	AL354743.2	TNFRSF14	AL357140.4	FNDC10	TAS1R3	TPRG1L	KAZN	FBXO6	RERE-AS1	AL691432.2	AL359881.1	TNFRSF25	PIK3CD	PRXL2B	AL139423.1	HES5	AL139246.5	CAMTA1-DT	GPR153	RERE	PLCH2	GPR153	AJAP1	AL590822.2	AC242022.2	MXRA8	FHAD1	AL139246.5	AL139424.2	GPR157	KLHL21	NMNAT1	AJAP1	AL359881.1	AL359881.3	RNF207	GPR157	TP73	TPRG1L	PLEKHG5	DFFB	MMEL1	SLC2A5	AL357140.4	TTC34	HES5	PRDM16	AL031848.1	GPR157	PLCH2	AJAP1	AL512413.1	DFFB	AL365255.1	RNF207	AL590822.1	AL034417.3	PER3	PRKCZ-AS1	CHD5	CAMTA1-DT	PIK3CD-AS2	SPSB1	MEGF6	HES5	TTC34	PRDM16-DT	AL513320.1	RERE-AS1	Z98884.1
MEGF6	SPSB1	AL139424.2	AL590822.2	KAZN	AL031848.2	CASZ1	RNF207	RNF207	RNF207	AL590822.3	FO704657.1	AL391244.2	AL513320.1	AL590822.1	AL359881.3	PIK3CD	PIK3CD-AS2	HES5	AL590822.3	PRDM16-DT	AL354743.1	MIR34AHG	AL139424.3	PRKCZ	ATAD3B	AL365255.1	AL031293.1	MAD2L2	CTNNBIP1	AL590822.1	AL034417.2	PLEKHG5	TNFRSF1B	MMEL1	MTOR-AS1	TTC34	TTC34	GPR157	AL031848.2	RERE-AS1	TPRG1L	AL359881.3	GPR153	AL513477.2	AL354743.1	NADK	AL121992.1	PRDM16-DT	DISP3	AL139424.3	AL357140.4	AGTRAP	AL365255.1	AL034417.2	AL359881.1	GPR153	AL357140.4	AJAP1	AJAP1	THAP3	AJAP1	TTC34	MIR34AHG	CASZ1	PRDM16-DT	AL139246.5	ARHGEF16	AL357140.4	SPSB1	MMEL1	RNF207	TPRG1L	AL365255.1	CHD5	Z97987.1	ARHGEF16	AL034417.2	ERRFI1	AL590822.1	GPR157	AL359881.3	MTOR-AS1	AL357140.4	Z97987.1	AL139246.5	AC242022.2	PRDM16	SMIM1	ANGPTL7	RERE-AS1
ICMT	PIK3CD	MASP2	AL590822.1	AL031293.1	TAS1R1	MTOR-AS1	TNFRSF25	Z97987.1	HES2	AL139246.1	PRKCZ-AS1	AL109917.1	Z98886.1	PRDM16-DT	AL034417.3	TNFRSF1B	KAZN	AL139246.5	AL513477.2	PRDM16	ESPN	PIK3CD-AS2	MTOR-AS1	AL590822.1	PRKCZ	RNF207	TMEM51-AS1	DRAXIN	AL357140.4	AL513320.1	CORT	AL512330.1	DHRS3	ARHGEF16	ANGPTL7	PRDM16-DT	PRDM16-DT	SPSB1	ERRFI1	PIK3CD	GPR153	RERE-AS1	VAMP3	PLCH2	AL513320.1	HES5	PAX7	PRDM16	AL021155.5	CORT	DHRS3	PLOD1	CHD5	FBXO2	SLC45A1	TNFRSF25	DISP3	TNFRSF25	ESPN	VAMP3	AL365255.1	ARHGEF16	AL139424.2	AL109811.1	PRDM16	PRDM16-DT	AL031283.2	CORT	PIK3CD	ARHGEF16	HES2	SMIM1	CHD5	RNF207	AL359881.3	AL513320.1	AL139424.3	AL034417.2	PLCH2	TMEM201	AL034417.2	AL031731.1	C1orf127	Z98884.1	MEGF6	PRDM16-DT	MEGF6	HES2	DISP3	AL021155.5
TAS1R1	AGTRAP	FBXO44	PLCH2	TMEM51-AS1	CAMTA1-DT	AL021155.5	AL359881.3	AL359881.3	TNFRSF25	AL139246.4	AJAP1	AL590822.2	GPR153	PRDM16	AL034417.2	DHRS3	AL031293.1	AL831784.1	HES5	AL354743.2	AL359881.1	PLOD1	DISP3	PLCH2	PLCH2	AL359881.3	IGSF21	AL121992.1	AL139424.3	TP73	AL139423.1	AL359881.1	PDPN	AL365255.1	AL357873.1	PRDM16	PRDM16	TMEM201	RERE	CTNNBIP1	PLEKHG5	AL139424.3	SLC45A1	AJAP1	AJAP1	AL139246.5	IFFO2	AL590438.1	KAZN	CASZ1	C1orf158	C1orf195	RNF207	AL357873.1	DISP3	PLEKHG5	DRAXIN	Z98884.1	AL512330.1	AL034417.3	CHD5	AL513320.1	TNFRSF1B	AL031293.1	MEGF6	MEGF6	EFHD2	PDPN	PIK3CD-AS2	CHD5	TNFRSF25	LRRC47	AL359881.3	HES2	AL359881.1	DFFB	DISP3	RERE	MMEL1	PIK3CD	RERE-AS1	AL021155.5	KAZN	H6PD	HES2	PRDM16	HES2	AL512330.1	FBXO2	AADACL3
