gene	GE-InN-1	GE-InN-2	GE-InN-3	GE-InN-4	GE-InN-5	GE-RG-1	GE-RG-2	GE-CycPro	GE-InN-6	GE-RG-3	GE-InN-7
AL627309.5	0.04271266735637704	0.10106535392585295	0.1194356576449471	0.033579455892555427	0.0684684416596985	0.17234931837802203	0.12065012827371159	0.056599115704301345	0.053978023299660546	0.20302858725863868	0.02813320868152057
LINC01409	0.06703270369747334	0.07033405172068712	0.07907605994283734	0.06085623689406466	0.08438033248207744	0.13351846493866967	0.09413536055492588	0.07985395166769226	0.10812472733626072	0.11707679640481969	0.10561130662998411
LINC01128	0.09824114075323172	0.08194320458589396	0.11611755048736942	0.07722710642733879	0.1028171328063983	0.08301165990487888	0.11284999994187775	0.07954439982687925	0.08831759275013257	0.04537533536089992	0.11455487098330928
LINC00115	0.07193963719785307	0.08726759408403068	0.10080347901933963	0.0842938922729241	0.0684485917892284	0.11475401441166898	0.08553532942696744	0.06600753785471701	0.1035762533441867	0.08111719592801116	0.13625644400948358
AL645608.6	0.02643138432282022	0.016728141567077616	0.09985292548278156	0.052559523308149066	0.06457450485721178	0.21064620646325394	0.1391790485255903	0.16560322774550124	0.08274537461824043	0.07599414601708362	0.06568550175629795
AL645608.2	0.03552307817697944	0.031674343246763416	0.10098717480039793	0.12234952092755133	0.013584276126282166	0.13489182556229737	0.01412245015830461	0.04880540301674958	0.17290603552452471	0.09224800239266354	0.23290785347245793
NOC2L	0.10619593963410398	0.08552102653841825	0.10238280453780384	0.09400556618144092	0.11141499270661114	0.11341074648624043	0.08904651127433064	0.06283014777332015	0.09288994837587365	0.057845641215526364	0.08445667202290363
KLHL17	0.1418835845242462	0.093161468647364	0.1336848084717289	0.11318890995813129	0.08043105142132889	0.10030564459181128	0.024114226117593878	0.08640119254116034	0.08583373413152626	0.056215237691862104	0.08478013140772869
AL645608.7	0.01266060496484385	0.041441466896834006	0	0.028383152593543758	0.014285674076266379	0.32050900656342457	0.15726507310373014	0.06112989700565812	0.036685043738478765	0.3093260986317529	0.01831396621262175
HES4	0.024016912123935343	0.029914189882938216	0.02346907266406803	0.026625127567829435	0.023158563625593587	0.2071955378478831	0.22958593948247136	0.06922430451430288	0.03883518610235019	0.2753556848652007	0.05261948038377425
ISG15	0.05870405807425518	0.018467401943618417	0.022589765085661066	0.024822776519362766	0.02364855798493758	0.17496150208517933	0.20473812610706463	0.0693209627724728	0.06826487718349954	0.2609732510804213	0.07350871084097875
AGRN	0.09553686003001792	0.10587139348436253	0.10846130541634758	0.1023109636911192	0.10323980469258932	0.07659157127171343	0.029079264111201437	0.0705398813309771	0.09743877847773344	0.13694949366784845	0.07398067891700781
C1orf159	0.05972156957260648	0.06593967399959323	0.09495612777675494	0.10009510015810584	0.05819244837346822	0.09746631102486479	0.11354882812538396	0.09616690601300153	0.10811484159971173	0.09635196046871757	0.10944623108558424
AL390719.3	0.06557434115489094	0.059701760705310455	0.08425974553112105	0.09869809040977183	0.0570822434394691	0.12249391879100903	0.033364155093417766	0.1487828116048235	0.12735572518295676	0.12658920091607234	0.07609800126886888
LINC01342	0.10318315575989877	0.029989633716887527	0.11113474581132145	0.2679303134724748	0.04653102134217945	0.011758857812011686	0	0.15339706185635146	0.27607515436477764	0	0
SDF4	0.08047383154573351	0.09968686417872137	0.09430693254647356	0.08433970681304324	0.08645489831039584	0.10127726250436762	0.09879915067231812	0.09343557440789513	0.095279795746545215	0.07288417008519821	0.09306180902881675
B3GALT6	0.09996020692695116	0.08093740647203553	0.09305617437688918	0.0556206045797766	0.10735007189583104	0.09336748560261439	0.08904214525814554	0.1026610654918542	0.08472413357527936	0.07086586628687015	0.12241483051818404
UBE2J2	0.11382321208964706	0.07842420251648047	0.10815036520364443	0.06304505269023573	0.10237132042304457	0.10147314744748064	0.0768930150073572	0.09635392618665756	0.07920118419117746	0.07760301941599221	0.1026615520425961
LINC01786	0.035739108306421956	0.05532913461209462	0.0576398995373823	0.07605831013939274	0.08276839906939638	0.2465281045376856	0.023502740594513613	0.019734956116734533	0.10530929418413766	0.17432821484009975	0.12306181412048818
SCNN1D	0.03443974717798747	0.03445499903043222	0.06748068270919691	0.07145010150063068	0.03279336572362023	0.21335567276167125	0.09914621232669342	0.10650215776384782	0.07051410701487278	0.1276043364478099	0.14225859189276507
ACAP3	0.13892501428584123	0.11704719557387998	0.08371508742987654	0.10003769737118061	0.10245353098036122	0.06272833352041089	0.0574557544952961	0.09248403753279774	0.09250169944489813	0.03011615893970984	0.12253548887405559
PUSL1	0.06934284811897434	0.049457259939421155	0.03775035322381446	0.014614991764243117	0.04039963195933483	0.226885023461849	0.11558111034950491	0.08252561656178309	0.15420338016786425	0.06606447108805298	0.14317526529312571
INTS11	0.09515561394317537	0.09065897517395662	0.10541165098195845	0.10613118996287273	0.10137798514125053	0.09274803281357547	0.06812733836481724	0.10364770126346276	0.0772248840972278	0.07069636006546709	0.08882026512535007
CPTP	0.11925062920772524	0.07305556538657923	0.11861268020368375	0.09072744006173508	0.18451824432050512	0.020441604065185335	0.05075837025286195	0.03802725395890061	0.15997193285609707	0.043881639272357026	0.10075462897910809
TAS1R3	0.07267215399527384	0.06317855078457829	0.1403024954173875	0.11496488222862104	0.13259994910427714	0.041518162024567595	0	0.15282970687684577	0.16756595666936738	0	0.1143680726014288
DVL1	0.07852300090505385	0.09702059233028398	0.09156209841286934	0.056141087689120434	0.10461677632348777	0.10686454885037668	0.08289578566728407	0.09618414891178323	0.09841119120863541	0.08564807066495635	0.10213269330851495
MXRA8	0.04014689750332615	0.09905976342387353	0.03920770043739769	0.11729908227123335	0.03655074204830897	0.19746866749808675	0.19256539047751814	0.11484379996675585	0.03841335296414716	0.1244445908664794	0
AURKAIP1	0.09783836698981753	0.08472876983415105	0.08663854300155222	0.10158029357718082	0.09834609408814919	0.07461689224089929	0.11679372003654187	0.09921249696686411	0.08565343035228629	0.04785247282101799	0.10673891584193193
