cell_type	P	BF	FDR
Hipp-ExN-5	0.000101161768507202	0.009205720934155382	9.205720934155381e-4
Cer-ExN-1	0.000123009978616618	0.01119390805411224	9.772985289706806e-4
Thal-ExN-1	0.000128874531292837	0.011727582347648166	9.772985289706806e-4
FC-InN-1	0.000250045944700687	0.022754180967762515	0.001750321612904809
Hipp-ExN-6	0.0004244144084739	0.0386217111711249	0.002692800056753227
Thal-ExN-3	0.000457908506416449	0.04166967408389686	0.002692800056753227
Thal-RG-6	0.00047345935063793	0.04308480090805163	0.002692800056753227
GE-InN-7	0.000648809865894353	0.05904169779638613	0.0034401202789865024
GE-RG-1	0.00068046335188744	0.06192216502175704	0.0034401202789865024
Cer-Endo	0.00093833550740433	0.08538853117379404	0.004435872863511794
FC-ExN-5	0.000974917112859735	0.08871745727023587	0.004435872863511794
Cer-MG	0.00111292904017408	0.10127654265584127	0.0046203258384246194
Hipp-Endo	0.00111700185104771	0.1016471684453416	0.0046203258384246194
Cer-IP	0.00133552597779081	0.12153286397896372	0.00528403756430277
GE-InN-4	0.00172386268157136	0.15687150402299377	0.006536312667624739
Cer-ExN-3	0.00224434923869264	0.20423578072103024	0.00816943122884121
FC-ExN-1	0.00233486694020567	0.21247289155871596	0.008172034290719846
GE-RG-3	0.00311677597283337	0.28362661352783664	0.010504689389919875
Cer-InN-7	0.00369568566070332	0.3363073951240021	0.01201097839728579
Thal-IP	0.00389236765858966	0.35420545693165906	0.012213981273505484
GE-InN-2	0.00424391106212723	0.38619590665357795	0.012873196888452598
GE-InN-3	0.00445098291447404	0.40503944521713764	0.013065788555391537
Hipp-CR-1	0.00503231204567156	0.457940396156112	0.013891860504768254
FC-InN-2	0.0050377076555753	0.45843139665735233	0.013891860504768254
GE-InN-6	0.00519283077003177	0.4725476000728911	0.013898458825673267
FC-OPC	0.00556528769971728	0.5064411806742725	0.01446974801926493
Thal-Endo	0.00619515287610754	0.5637589117257861	0.015659969770160726
FC-N-undef	0.00840826643474893	0.7651522455621527	0.020679790420598722
GE-InN-5	0.00921881728508605	0.8389123729428305	0.02207664139323238
Hipp-InN-3	0.0102695241273401	0.9345266955879492	0.02396222296379357
GE-InN-1	0.0114174705448307	1	0.02597474548948984
Thal-RG-4	0.0136524937052786	1	0.030301876272691528
Thal-MG	0.0208015265108171	1	0.04506997410677038
Thal-InN-4	0.0232377504206965	1	0.04917756484379957
Cer-InN-5	0.0246921363993846	1	0.0510678275532727
Hipp-MG	0.0291618788943142	1	0.05819929715427021
Hipp-InN-1	0.0294194249351256	1	0.05819929715427021
FC-InN-3	0.0370082969891025	1	0.07165436225549633
Cer-InN-6	0.041194281767616	1	0.078097492517772
Cer-InN-4	0.0452217231653448	1	0.08352370219847728
GE-RG-2	0.0458921440650974	1	0.08352370219847728
FC-CycPro	0.0499861095188645	1	0.08919090129836607
Thal-InN-5	0.0525233374574508	1	0.0919158405505389
FC-InN-4	0.0553864621691063	1	0.09509751051676743
Thal-InN-3	0.0604581503290644	1	0.10188317925823816
