cell_type	P	BF	FDR
FC-OPC	0.00100879935591878	0.09180074138860898	0.08795352838242652
Hipp-ExN-5	0.00193304457983355	0.17590705676485305	0.08795352838242652
FC-InN-4	0.00347977229034226	0.31665927842114566	0.08950272208888715
FC-ExN-2	0.00393418558632471	0.3580108883555486	0.08950272208888715
Cer-InN-8	0.00584345969482755	0.5317548322293071	0.10554616425713648
Thal-InN-6	0.00695908775321779	0.633276985542819	0.10554616425713648
Hipp-OPC	0.00853109617724449	0.7763297521292486	0.11090425030417837
Hipp-InN-2	0.0125992073790501	1	0.1132969140228037
Cer-OPC	0.0140488095482161	1	0.1132969140228037
Hipp-ExN-3	0.0147016998153992	1	0.1132969140228037
Cer-ExN-1	0.0150565683815246	1	0.1132969140228037
Cer-ExN-3	0.0159807141352096	1	0.1132969140228037
Thal-OPC	0.0161852734318291	1	0.1132969140228037
GE-RG-1	0.0196314938290381	1	0.12760470988874764
Thal-Endo	0.0226415909520708	1	0.1373589851092295
Hipp-ExN-6	0.0282981815759254	1	0.15202196293565134
Thal-InN-7	0.0283997073616052	1	0.15202196293565134
GE-InN-6	0.0339318710363361	1	0.17154445912814362
Cer-Endo	0.0419710458492246	1	0.20101921959365468
FC-ExN-5	0.0472220794456668	1	0.21340337532696682
Thal-MG	0.0505256143264558	1	0.21340337532696682
Cer-MG	0.0524699884487138	1	0.21340337532696682
Thal-InN-4	0.0562374210112727	1	0.21340337532696682
Cer-InN-6	0.0562822088774418	1	0.21340337532696682
GE-InN-7	0.071340661633754	1	0.25041790686446846
Hipp-InN-3	0.0716473186005942	1	0.25041790686446846
Hipp-CR-1	0.0742998185202269	1	0.25041790686446846
Cer-InN-5	0.0800128612173378	1	0.25337250729305283
FC-ExN-4	0.0807450847417421	1	0.25337250729305283
Hipp-ExN-2	0.100025608494129	1	0.3005260896150656
FC-IP	0.10559947608456	1	0.3005260896150656
GE-InN-2	0.105767191970332	1	0.3005260896150656
FC-ExN-3	0.109453479269377	1	0.3005260896150656
GE-InN-3	0.112976670541116	1	0.3005260896150656
GE-InN-1	0.115586957544256	1	0.3005260896150656
Thal-ExN-3	0.128962466592736	1	0.3171569838417316
FC-InN-3	0.130361525975018	1	0.3171569838417316
GE-RG-3	0.132439180065778	1	0.3171569838417316
Cer-InN-7	0.137137503207836	1	0.3199875074849507
FC-InN-2	0.157960158440925	1	0.3533172635089703
Cer-InN-4	0.159186898943602	1	0.3533172635089703
Thal-CycPro	0.168629706778489	1	0.36064354987654523
Thal-RG-6	0.172434190076345	1	0.36064354987654523
FC-InN-1	0.174479963506315	1	0.36064354987654523
Cer-InN-3	0.178340216971918	1	0.36064354987654523
Cer-CycPro	0.189775818705268	1	0.37284538413173307
FC-N-undef	0.192568495101005	1	0.37284538413173307
Cer-IP	0.198151887222385	1	0.3756629528591049
FC-RG-2	0.214751560826847	1	0.3868467910188333
Thal-RG-5	0.216595872804617	1	0.3868467910188333
Thal-ExN-1	0.220340872892928	1	0.3868467910188333
GE-InN-5	0.221055309153619	1	0.3868467910188333
FC-Endo	0.232321737242023	1	0.39889203941554896
FC-CycPro	0.254567043057978	1	0.42899260959770363
Thal-InN-5	0.283635132592913	1	0.46928721938100154
Thal-InN-3	0.296555693068177	1	0.47823707302393037
Cer-RG-2	0.299555089696308	1	0.47823707302393037
Hipp-InN-1	0.318630135570484	1	0.49145712854702256
Cer-InN-2	0.31863703938763	1	0.49145712854702256
Cer-ExN-5	0.347930535921564	1	0.5071211150994279
FC-ExN-1	0.352658719542149	1	0.5071211150994279
Hipp-MG	0.355350281552773	1	0.5071211150994279
FC-MG	0.359243030931446	1	0.5071211150994279
Thal-RG-2	0.367155455791853	1	0.5071211150994279
Thal-InN-8	0.371440820226664	1	0.5071211150994279
Hipp-Endo	0.372456656373999	1	0.5071211150994279
Thal-IP	0.373374886941337	1	0.5071211150994279
Cer-InN-1	0.393740441019411	1	0.5269173548936236
Hipp-RG-2	0.416636427996794	1	0.5494770282276559
Thal-ExN-2	0.433997703202391	1	0.5641970141631083
Hipp-ExN-1	0.443533431416154	1	0.5684724261812678
Hipp-RG-1	0.469945763708838	1	0.5939592291320036
Hipp-CycPro	0.476531025115303	1	0.5940318258286654
GE-InN-4	0.543996057205645	1	0.6689681244015365
Hipp-CR-2	0.628415940441393	1	0.7607949786073048
Cer-ExN-2	0.635389212902804	1	0.7607949786073048
Thal-RG-7	0.669331590533315	1	0.7910282433575542
Hipp-InN-4	0.681075738412036	1	0.7945883614807087
Thal-InN-1	0.696424500704107	1	0.8022105008110599
FC-RG-1	0.737154646655132	1	0.8336127360051545
Cer-ExN-4	0.743476540467642	1	0.8336127360051545
Thal-RG-3	0.751167520356293	1	0.8336127360051545
Thal-InN-2	0.777633688143875	1	0.8525863327842486
GE-CycPro	0.807734022096565	1	0.8657909482733024
GE-RG-2	0.808705830804733	1	0.8657909482733024
Cer-RG-3	0.829630342194357	1	0.8778646644149593
Hipp-RG-3	0.862364492763429	1	0.9020134349594486
Cer-RG-1	0.898192148781952	1	0.9265968575056274
Thal-RG-1	0.909720139988759	1	0.9265968575056274
Hipp-ExN-4	0.916414474456115	1	0.9265968575056274
Thal-RG-4	0.986952950224976	1	0.986952950224976
