# TOTAL_GENES = 18094
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
FC_ExN_2_GO:0001764~neuron            SET      16      0.58886     0.017503      0.29458     0.022813 FC_ExN_2_GO:0001764~neuron
FC_ExN_2_GO:0006836~neurotra...       SET      38       0.6985     0.031978      0.17997   5.2185e-05 FC_ExN_2_GO:0006836~neurotransmitter
FC_ExN_2_GO:0007156~homophil...       SET      32      0.21894    0.0091993      0.22647      0.16685 FC_ExN_2_GO:0007156~homophilic
FC_ExN_2_GO:0007186~G-protein         SET      74      0.38445     0.024536      0.14335    0.0036639 FC_ExN_2_GO:0007186~G-protein
FC_ExN_2_GO:0007399~nervous           SET     272      0.41198     0.050132     0.069128   1.2916e-09 FC_ExN_2_GO:0007399~nervous
FC_ExN_2_GO:0007416~synapse           SET      30      0.15961     0.006494      0.19402      0.20536 FC_ExN_2_GO:0007416~synapse
FC_ExN_2_GO:0007610~behavior          SET      82      0.30615     0.020564       0.1258    0.0074794 FC_ExN_2_GO:0007610~behavior
FC_ExN_2_GO:0007613~memory            SET      25      0.54027     0.020069      0.22254    0.0076016 FC_ExN_2_GO:0007613~memory
FC_ExN_2_GO:0022008~neurogen...       SET     186      0.46546      0.04695     0.082762   9.4904e-09 FC_ExN_2_GO:0022008~neurogenesis
FC_ExN_2_GO:0030182~neuron            SET     164      0.46459     0.044032      0.08742    5.422e-08 FC_ExN_2_GO:0030182~neuron
FC_ExN_2_GO:0030516~regulati...       SET      18      0.46235     0.014576      0.24714     0.030695 FC_ExN_2_GO:0030516~regulation
FC_ExN_2_GO:0031175~neuron            SET     127      0.42682     0.035634     0.099924   9.7668e-06 FC_ExN_2_GO:0031175~neuron
FC_ExN_2_GO:0034762~regulati...       SET      59      0.75117     0.042825      0.14889    2.293e-07 FC_ExN_2_GO:0034762~regulation
FC_ExN_2_GO:0042391~regulati...       SET      60      0.85117     0.048934      0.14616   2.9363e-09 FC_ExN_2_GO:0042391~regulation
FC_ExN_2_GO:0043269~regulati...       SET      76      0.50099     0.032401      0.12856   4.8927e-05 FC_ExN_2_GO:0043269~regulation
FC_ExN_2_GO:0048666~neuron            SET     142      0.45539     0.040185     0.094068   6.5187e-07 FC_ExN_2_GO:0048666~neuron
FC_ExN_2_GO:0048667~cell              SET      81      0.47768      0.03189       0.1243   6.0996e-05 FC_ExN_2_GO:0048667~cell
FC_ExN_2_GO:0050803~regulati...       SET      43      0.54172     0.026378       0.1683   0.00064501 FC_ExN_2_GO:0050803~regulation
FC_ExN_2_GO:0050804~modulati...       SET      54      0.57573     0.031406      0.14776   4.9032e-05 FC_ExN_2_GO:0050804~modulation
FC_ExN_2_GO:0050808~synapse           SET      45      0.53117     0.026457      0.16188    0.0005179 FC_ExN_2_GO:0050808~synapse
FC_ExN_2_GO:0061564~axon              SET      75      0.37914      0.02436      0.12904    0.0016534 FC_ExN_2_GO:0061564~axon
FC_ExN_2_GO:0099536~synaptic          SET     105      0.62645     0.047584      0.10761   2.9784e-09 FC_ExN_2_GO:0099536~synaptic
FC_ExN_3_GO:0001764~neuron            SET      24      0.98957     0.036017      0.25333   4.7065e-05 FC_ExN_3_GO:0001764~neuron
FC_ExN_3_GO:0006836~neurotra...       SET      22      0.74454     0.025947       0.2336   0.00071965 FC_ExN_3_GO:0006836~neurotransmitter
FC_ExN_3_GO:0007156~homophil...       SET      29    0.0096018    0.0003841      0.26734      0.48567 FC_ExN_3_GO:0007156~homophilic
