# MEAN_SAMPLE_SIZE = 46350
# TOTAL_GENES = 18179
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cer.InN.1        SET    1037     0.018152      0.00421     0.030009      0.27264
Cer.RG.1         SET    1103     0.017556    0.0041913     0.028156      0.26647
Cer.RG.2         SET    1092     0.011635    0.0027648      0.02857      0.34191
Cer.ExN.1        SET    1012     0.031482    0.0072183     0.030602      0.15181
Cer.InN.2        SET     919     0.039878    0.0087368     0.031684       0.1041
Cer.InN.3        SET    1012    -0.010946   -0.0025098     0.030545      0.63996
Cer.InN.5        SET     883     0.013116    0.0028197      0.03242       0.3429
Cer.IP           SET     901    -0.022379   -0.0048572     0.032434      0.75489
Cer.ExN.2        SET     892   -0.0053615   -0.0011582     0.033169      0.56421
Cer.RG.3         SET    1077    -0.014104   -0.0033297     0.027888      0.69347
Cer.ExN.3        SET     976    0.0070509    0.0015893     0.029782      0.40643
Cer.ExN.4        SET     880     0.019947    0.0042813     0.031861      0.26564
Cer.CycPro       SET    1174   -0.0079924   -0.0019644     0.027939      0.61258
Cer.InN.6        SET     911    -0.011027    -0.002406     0.032585      0.63247
Cer.InN.4        SET     988     0.045046     0.010212     0.031022     0.073254
Cer.InN.7        SET    1017    -0.017627    -0.004051     0.029039      0.72807
Cer.OPC          SET     869     0.032707    0.0069781     0.031539      0.14988
Cer.ExN.5        SET     861   -0.0085627   -0.0018189     0.033685      0.60033
Cer.InN.8        SET     788   -0.0007737  -0.00015756     0.033626      0.50918
Cer.Endo         SET     998    -0.023756   -0.0054113     0.029097      0.79286
Cer.MG           SET     942    -0.020737   -0.0045966     0.031101      0.74753
