# MEAN_SAMPLE_SIZE = 46350
# TOTAL_GENES = 18179
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE         TYPE  NGENES         BETA     BETA_STD           SE            P
Hipp.ExN.1        SET    1038     0.023843    0.0055324     0.029413       0.2088
Hipp.CR.1         SET    1074     0.018759     0.004423     0.029901      0.26521
Hipp.RG.1         SET    1082     0.025582    0.0060528     0.028505      0.18475
Hipp.RG.2         SET    1100     0.032705    0.0077979     0.028586      0.12631
Hipp.ExN.2        SET    1002     0.051419     0.011735     0.030684     0.046907
Hipp.InN.1        SET     951     0.061959     0.013796     0.031819     0.025767
Hipp.ExN.3        SET    1129   0.00069386   0.00016746     0.029183      0.49052
Hipp.InN.2        SET    1016     0.025807    0.0059281     0.030129      0.19586
Hipp.CycPro       SET    1085    -0.017413   -0.0041253     0.029288      0.72392
Hipp.InN.3        SET     927    -0.011211   -0.0024662     0.031358      0.63964
Hipp.CR.2         SET     892    -0.021921   -0.0047353     0.032062      0.75291
Hipp.ExN.4        SET     928    -0.040631    -0.008943     0.031452      0.90178
Hipp.ExN.5        SET    1035     0.032098    0.0074377     0.029552      0.13872
Hipp.RG.3         SET    1002    -0.035608   -0.0081265     0.030491      0.87855
Hipp.InN.4        SET     768    -0.027709   -0.0055738     0.034254      0.79071
Hipp.OPC          SET     843     0.017756     0.003734     0.033012      0.29534
Hipp.ExN.6        SET     911    -0.020815   -0.0045415     0.031735      0.74404
Hipp.MG           SET     815   -0.0060942   -0.0012611     0.032909      0.57346
Hipp.Endo         SET     818    0.0090075    0.0018673     0.032468      0.39073
