# MEAN_SAMPLE_SIZE = 46350
# TOTAL_GENES = 18179
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
FC.ExN.1         SET     918    -0.016652   -0.0036464     0.032912      0.69355
FC.ExN.2         SET    1215     0.040952     0.010228     0.028082     0.072392
FC.ExN.3         SET    1101     0.025342     0.006045     0.029786      0.19745
FC.RG.1          SET    1123    0.0065884    0.0015862     0.028129      0.40741
FC.ExN.4         SET    1184     0.024136    0.0059559     0.027594      0.19088
FC.InN.1         SET     807     0.020045    0.0041286     0.033654      0.27572
FC.InN.2         SET     844     0.012193    0.0025655     0.032982      0.35582
FC.ExN.5         SET    1181      0.01915    0.0047199     0.027566      0.24363
FC.CycPro        SET    1181      0.02157    0.0053164     0.028172      0.22195
FC.IP            SET     798   -0.0029961  -0.00061381      0.03407      0.53504
FC.InN.3         SET     763    -0.033463   -0.0067103     0.034404      0.83462
FC.N.undef       SET     947    -0.032066   -0.0071257     0.030461      0.85374
FC.RG.2          SET     885    0.0052955    0.0011396      0.03285      0.43597
FC.InN.4         SET     750    0.0089507    0.0017802     0.034035      0.39628
FC.Endo          SET    1041    -0.040046   -0.0093047     0.029482       0.9128
FC.OPC           SET     651   -0.0079391   -0.0014753     0.035751      0.58787
FC.MG            SET     841      0.02192    0.0046045     0.032426      0.24953
