# MEAN_SAMPLE_SIZE = 46350
# TOTAL_GENES = 18179
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE         TYPE  NGENES         BETA     BETA_STD           SE            P
Thal.RG.6         SET    1032    -0.036256     -0.00839     0.029986      0.88667
Thal.InN.1        SET     938     0.018468    0.0040855     0.030934      0.27525
Thal.RG.1         SET    1053     0.010538    0.0024618     0.028589      0.35621
Thal.InN.2        SET     934      0.01883    0.0041571     0.031237      0.27333
Thal.InN.3        SET     950      0.02654    0.0059066     0.031451      0.19938
Thal.RG.2         SET    1081   -0.0017574  -0.00041563     0.028724      0.52439
Thal.InN.5        SET     938     0.010148    0.0022449     0.031822      0.37491
Thal.InN.6        SET    1014   -0.0034991  -0.00080304     0.029389      0.54739
Thal.ExN.1        SET    1273    0.0076697    0.0019573     0.026656      0.38678
Thal.CycPro       SET    1129    -0.026552   -0.0064085     0.029208      0.81834
Thal.RG.7         SET     996     -0.03163   -0.0071981     0.030574      0.84954
Thal.IP           SET     910    0.0094045    0.0020508     0.032383      0.38575
Thal.RG.3         SET    1076    -0.020105   -0.0047446      0.02884      0.75713
Thal.InN.4        SET     844    0.0082813    0.0017425     0.032987      0.40089
Thal.RG.4         SET    1127     0.037941    0.0091495     0.027704     0.085437
Thal.InN.7        SET    1073     0.011588     0.002731     0.028775      0.34358
Thal.OPC          SET     982     0.028964    0.0065476     0.029594      0.16387
Thal.RG.5         SET     650    -0.069311     -0.01287     0.037006      0.96945
Thal.ExN.2        SET     748     0.025616    0.0050883     0.034535      0.22913
Thal.ExN.3        SET    1149     0.021544    0.0052424      0.02928      0.23094
Thal.InN.8        SET     775    -0.029063   -0.0058717     0.034644      0.79923
Thal.MG           SET     924     0.005828    0.0012801     0.031199      0.42591
Thal.Endo         SET    1003   -0.0076671   -0.0017506     0.029224      0.60347
