# MEAN_SAMPLE_SIZE = 46350
# TOTAL_GENES = 17919
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cer.InN.1        SET    1027    0.0040944   0.00095173     0.029737      0.44525
Cer.RG.1         SET    1099    -0.068605    -0.016461     0.028841      0.99131
Cer.RG.2         SET    1086    -0.039282   -0.0093732     0.028859      0.91326
Cer.ExN.1        SET    1004     0.036272     0.008342     0.029957        0.113
Cer.InN.2        SET     914       0.0036   0.00079206     0.030593      0.45316
Cer.InN.3        SET    1006     0.030833    0.0070979     0.030095       0.1528
Cer.InN.5        SET     881     0.048891     0.010571     0.031265     0.058944
Cer.IP           SET     892    -0.018402   -0.0040023     0.031357      0.72134
Cer.ExN.2        SET     885     0.027029    0.0058568     0.031163      0.19288
Cer.RG.3         SET    1073    -0.038579   -0.0091536     0.028255      0.91392
Cer.ExN.3        SET     968     0.048583     0.010983     0.030501     0.055612
Cer.ExN.4        SET     875     0.021093    0.0045459     0.031009      0.24819
Cer.CycPro       SET    1161    0.0062104    0.0015288     0.027081      0.40931
Cer.InN.6        SET     899     0.016525    0.0036074      0.03108      0.29748
Cer.InN.4        SET     979     0.088497     0.020113     0.029803    0.0014944
Cer.InN.7        SET    1008     0.079499     0.018318     0.029714    0.0037353
Cer.OPC          SET     859     0.031911    0.0068174     0.031575      0.15611
Cer.ExN.5        SET     852    0.0017184   0.00036569     0.031146        0.478
Cer.InN.8        SET     782     0.023354    0.0047713     0.032105      0.23349
Cer.Endo         SET     988    -0.026311   -0.0060057     0.029554      0.81334
Cer.MG           SET     932    -0.011758    -0.002611      0.03024       0.6513
