# MEAN_SAMPLE_SIZE = 46350
# TOTAL_GENES = 17919
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
FC.ExN.1         SET     907    -0.001252  -0.00027446     0.030493      0.51638
FC.ExN.2         SET    1203     0.021812    0.0054588     0.026965      0.20929
FC.ExN.3         SET    1093     0.041463    0.0099234     0.028561     0.073299
FC.RG.1          SET    1114    -0.072161    -0.017425     0.028121      0.99485
FC.ExN.4         SET    1177     0.084377     0.020903     0.027379    0.0010306
FC.InN.1         SET     799     0.046268      0.00955     0.032815     0.079289
FC.InN.2         SET     836     0.062068      0.01309     0.031275     0.023603
FC.ExN.5         SET    1171     0.066304     0.016387     0.028058    0.0090678
FC.CycPro        SET    1173    -0.014021   -0.0034681     0.026605       0.7009
FC.IP            SET     790    0.0084254    0.0017297     0.032986       0.3992
FC.InN.3         SET     759   -0.0085261   -0.0017172      0.03335      0.60089
FC.N.undef       SET     940     0.049335        0.011      0.03038     0.052206
FC.RG.2          SET     876    -0.055583    -0.011986     0.030907      0.96393
FC.InN.4         SET     743     0.025865    0.0051566     0.033591      0.22066
FC.Endo          SET    1030    -0.049181    -0.011448     0.029118      0.95438
FC.OPC           SET     644  -0.00073755  -0.00013729     0.036259      0.50811
FC.MG            SET     832    -0.012338   -0.0025961     0.031643      0.65169
