# MEAN_SAMPLE_SIZE = 46350
# TOTAL_GENES = 17919
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE         TYPE  NGENES         BETA     BETA_STD           SE            P
Thal.RG.6         SET    1028     0.054482      0.01267     0.029912     0.034281
Thal.InN.1        SET     937     0.016192    0.0036046     0.031199      0.30189
Thal.RG.1         SET    1050      -0.0535    -0.012566     0.029378      0.96569
Thal.InN.2        SET     928     0.039189    0.0086845      0.03094      0.10266
Thal.InN.3        SET     947     0.045751     0.010236     0.031066      0.07043
Thal.RG.2         SET    1078    -0.012292    -0.002923     0.028683      0.66587
Thal.InN.5        SET     936    0.0014626   0.00032545     0.030967      0.48116
Thal.InN.6        SET    1001     0.014913     0.003425     0.030138      0.31036
Thal.ExN.1        SET    1251     0.026951    0.0068681     0.026769      0.15702
Thal.CycPro       SET    1121    -0.018993   -0.0045997     0.027928      0.75177
Thal.RG.7         SET     988   -0.0097953   -0.0022358     0.028903      0.63266
Thal.IP           SET     902     -0.02186   -0.0047796     0.030568      0.76273
Thal.RG.3         SET    1067    -0.040223   -0.0095189     0.028244      0.92278
Thal.InN.4        SET     839     0.052023      0.01099     0.031881     0.051376
Thal.RG.4         SET    1116    -0.013189   -0.0031875     0.028436      0.67861
Thal.InN.7        SET    1063     0.051146     0.012082     0.028496     0.036348
Thal.OPC          SET     972     0.055673      0.01261     0.030094     0.032168
Thal.RG.5         SET     647    0.0092393    0.0017237     0.034931       0.3957
Thal.ExN.2        SET     742     0.074824     0.014908     0.033609     0.013004
Thal.ExN.3        SET    1131    -0.016265   -0.0039553     0.026521      0.73015
Thal.InN.8        SET     770    -0.028613   -0.0058026     0.032723      0.80904
Thal.MG           SET     919    -0.045189   -0.0099681     0.029782      0.93539
Thal.Endo         SET     997    -0.045138    -0.010347     0.029617      0.93625
