# MEAN_SAMPLE_SIZE = 46350
# TOTAL_GENES = 18047
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE       TYPE  NGENES         BETA     BETA_STD           SE            P
GE.InN.1        SET    1120     0.053598     0.012932     0.028854     0.031626
GE.InN.2        SET    1031     0.043557     0.010109     0.030207     0.074669
GE.InN.3        SET    1037    -0.015286   -0.0035576      0.02962       0.6971
GE.InN.4        SET     992   -0.0040698  -0.00092761     0.031008      0.55221
GE.InN.5        SET     976    -0.014326   -0.0032403      0.03066      0.67984
GE.RG.1         SET    1086    -0.053108     -0.01263     0.029008      0.96642
GE.RG.2         SET    1195    -0.023928     -0.00595     0.029212      0.79363
GE.CycPro       SET    1183     0.011611    0.0028738     0.027822      0.33822
GE.InN.6        SET     966     0.014882    0.0033498     0.031363      0.31757
GE.RG.3         SET    1063    -0.037515   -0.0088327     0.029932      0.89495
GE.InN.7        SET     849     0.013539    0.0028667     0.033658      0.34375
