# TOTAL_GENES = 17665
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE         TYPE  NGENES         BETA     BETA_STD           SE            P
Hipp.ExN.1        SET    1026     -0.02087   -0.0048816     0.056867      0.64319
Hipp.CR.1         SET    1066     -0.22547    -0.053692     0.057496      0.99996
Hipp.RG.1         SET    1074     0.011987    0.0028646     0.054028      0.41221
Hipp.RG.2         SET    1094     0.029808    0.0071847     0.055213      0.29465
Hipp.ExN.2        SET     989    -0.024794   -0.0057001     0.057599      0.66656
Hipp.InN.1        SET     939     -0.11143       -0.025     0.057263      0.97416
Hipp.ExN.3        SET    1094     0.022528      0.00543     0.054348      0.33926
Hipp.InN.2        SET     996     0.082873     0.019116     0.056536     0.071354
Hipp.CycPro       SET    1071      0.06618     0.015794     0.054168      0.11091
Hipp.InN.3        SET     909     -0.16469    -0.036387     0.060158       0.9969
Hipp.CR.2         SET     886     0.048473      0.01058     0.059787      0.20876
Hipp.ExN.4        SET     916    -0.062205    -0.013793     0.059006       0.8541
Hipp.ExN.5        SET    1000    -0.041031   -0.0094824     0.057663      0.76163
Hipp.RG.3         SET     976     0.088272     0.020168      0.05807     0.064254
Hipp.InN.4        SET     754     -0.12633    -0.025538     0.063878      0.97601
Hipp.OPC          SET     831    -0.029531   -0.0062528     0.061837      0.68352
Hipp.ExN.6        SET     891    -0.089416    -0.019569      0.06061      0.92992
Hipp.MG           SET     799    -0.072646    -0.015097     0.063747      0.87276
Hipp.Endo         SET     804      0.28755     0.059936     0.062524   2.1391e-06
