# TOTAL_GENES = 17665
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
FC.ExN.1         SET     900     0.028711    0.0063136     0.060381      0.31722
FC.ExN.2         SET    1190    -0.044346    -0.011116     0.052246      0.80199
FC.ExN.3         SET    1085    -0.044208    -0.010615     0.054352      0.79199
FC.RG.1          SET    1106     0.090513     0.021928     0.054143     0.047297
FC.ExN.4         SET    1167     -0.10648    -0.026451     0.053072      0.97758
FC.InN.1         SET     790    0.0061737    0.0012761     0.064426      0.46183
FC.InN.2         SET     827     0.021617    0.0045667     0.062554      0.36483
FC.ExN.5         SET    1165     -0.13396     -0.03325     0.054784      0.99276
FC.CycPro        SET    1157     0.079291     0.019617     0.052154     0.064224
FC.IP            SET     783     0.059988     0.012347     0.064124      0.17477
FC.InN.3         SET     754    -0.056581    -0.011438     0.064736      0.80894
FC.N.undef       SET     931     -0.17357    -0.038783     0.061064      0.99776
FC.RG.2          SET     872     0.030164    0.0065346     0.058544      0.30319
FC.InN.4         SET     736     -0.11778    -0.023536     0.065449      0.96403
FC.Endo          SET    1024      0.20183     0.047166     0.057034    0.0002016
FC.OPC           SET     636     0.039267    0.0073156     0.071052      0.29025
FC.MG            SET     826    -0.046481   -0.0098135     0.062714      0.77069
