# TOTAL_GENES = 18266
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cer.InN.1        SET    1040     0.083334     0.019311     0.039019     0.016362
Cer.RG.1         SET    1107    -0.036119   -0.0086184     0.036659      0.83775
Cer.RG.2         SET    1097    -0.050313    -0.011954     0.037381      0.91083
Cer.ExN.1        SET    1013     0.037573    0.0085997     0.039875      0.17304
Cer.InN.2        SET     920       0.0845     0.018481      0.04117     0.020075
Cer.InN.3        SET    1013     0.018079     0.004138     0.039228      0.32245
Cer.InN.5        SET     884     0.093091     0.019978     0.042249     0.013794
Cer.IP           SET     901      0.03711    0.0080364     0.042047      0.18874
Cer.ExN.2        SET     893     0.040408    0.0087135     0.041942      0.16768
Cer.RG.3         SET    1079    -0.053349    -0.012578     0.037009      0.92526
Cer.ExN.3        SET     977      0.10926     0.024585     0.039421    0.0027935
Cer.ExN.4        SET     882     0.014471    0.0031023     0.041182      0.36265
Cer.CycPro       SET    1176    -0.024405   -0.0059899     0.036209      0.74984
Cer.InN.6        SET     912      0.12959     0.028225     0.042199    0.0010699
Cer.InN.4        SET     989     0.029022     0.006568     0.040157      0.23493
Cer.InN.7        SET    1018     0.039019    0.0089514     0.038503      0.15544
Cer.OPC          SET     869    -0.013137   -0.0027964     0.041921        0.623
Cer.ExN.5        SET     862    -0.034188   -0.0072498     0.042937      0.78705
Cer.InN.8        SET     789     0.032574    0.0066223     0.043758      0.22832
Cer.Endo         SET     999    -0.070133    -0.015947     0.038541      0.96559
Cer.MG           SET     945    -0.050441    -0.011173     0.041335      0.88881
