# TOTAL_GENES = 18266
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE         TYPE  NGENES         BETA     BETA_STD           SE            P
Hipp.ExN.1        SET    1039     0.089035     0.020622     0.037569    0.0089051
Hipp.CR.1         SET    1075      0.05209      0.01226     0.038177     0.086232
Hipp.RG.1         SET    1083    -0.030912   -0.0073005     0.037028      0.79808
Hipp.RG.2         SET    1101     -0.10106    -0.024052       0.0372       0.9967
Hipp.ExN.2        SET    1004     0.030589    0.0069717     0.038694      0.21462
Hipp.InN.1        SET     952      0.06453     0.014343     0.040863     0.057165
Hipp.ExN.3        SET    1132     0.061615     0.014856     0.037499     0.050194
Hipp.InN.2        SET    1018     0.013204    0.0030292     0.038948       0.3673
Hipp.CycPro       SET    1087    -0.046543    -0.011011     0.037319      0.89382
Hipp.InN.3        SET     928      0.12104     0.026581     0.040708    0.0014763
Hipp.CR.2         SET     892   -0.0085187    -0.001836     0.041366      0.58158
Hipp.ExN.4        SET     928     0.069578      0.01528     0.040936      0.04461
Hipp.ExN.5        SET    1040     0.084085     0.019485     0.038067     0.013603
Hipp.RG.3         SET    1007   -0.0061534   -0.0014044     0.039484      0.56192
Hipp.InN.4        SET     769   -0.0057787   -0.0011605     0.044668      0.55147
Hipp.OPC          SET     844      0.02047    0.0042974     0.041946      0.31278
Hipp.ExN.6        SET     912     0.030312    0.0066021     0.041273      0.23135
Hipp.MG           SET     816    -0.050181    -0.010367     0.043348      0.87648
Hipp.Endo         SET     818    -0.068655      -0.0142     0.041657      0.95032
