# TOTAL_GENES = 18266
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
FC.ExN.1         SET     921     0.063666     0.013931     0.041374     0.061944
FC.ExN.2         SET    1215      0.17717     0.044149     0.036088   4.6382e-07
FC.ExN.3         SET    1102      0.11374     0.027081     0.037952    0.0013669
FC.RG.1          SET    1125    -0.049244    -0.011839     0.037414      0.90593
FC.ExN.4         SET    1184      0.11824     0.029112     0.036161   0.00053994
FC.InN.1         SET     808      0.11761     0.024183     0.044085     0.003824
FC.InN.2         SET     846     0.076108     0.015996     0.042376     0.036262
FC.ExN.5         SET    1182      0.11176     0.027494      0.03591   0.00093132
FC.CycPro        SET    1185    -0.033119   -0.0081576     0.035897      0.82188
FC.IP            SET     800     0.013551    0.0027732     0.043816      0.37856
FC.InN.3         SET     765   -0.0035056  -0.00070225     0.044227      0.53159
FC.N.undef       SET     947     0.041213    0.0091378     0.040313      0.15332
FC.RG.2          SET     887    -0.038691   -0.0083167     0.041658      0.82349
FC.InN.4         SET     752     0.094465     0.018769     0.044362     0.016623
FC.Endo          SET    1042    -0.097479    -0.022609     0.038237       0.9946
FC.OPC           SET     653     -0.01179   -0.0021891      0.04751      0.59799
FC.MG            SET     844    -0.032001   -0.0067181      0.04245      0.77452
