# TOTAL_GENES = 18266
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE         TYPE  NGENES         BETA     BETA_STD           SE            P
Thal.RG.6         SET    1035     0.079623     0.018409     0.038792     0.020071
Thal.InN.1        SET     939     0.067201      0.01484     0.039645     0.045047
Thal.RG.1         SET    1055     -0.02874   -0.0067047     0.038007      0.77522
Thal.InN.2        SET     935     0.070239      0.01548     0.040253     0.040511
Thal.InN.3        SET     951    -0.025484   -0.0056615      0.03996      0.73817
Thal.RG.2         SET    1083    -0.074882    -0.017685     0.037995      0.97561
Thal.InN.5        SET     939      0.11444     0.025272     0.040987    0.0026231
Thal.InN.6        SET    1017     0.039913    0.0091521     0.037606      0.14428
Thal.ExN.1        SET    1281     0.045854      0.01171     0.034574     0.092389
Thal.CycPro       SET    1132    -0.051548    -0.012429     0.037289      0.91656
Thal.RG.7         SET     997     0.046412     0.010543     0.039712      0.12127
Thal.IP           SET     913     0.056911     0.012402     0.040717      0.08111
Thal.RG.3         SET    1078    -0.033619   -0.0079228      0.03733      0.81609
Thal.InN.4        SET     845     0.077909     0.016365     0.042873     0.034608
Thal.RG.4         SET    1128     0.017606     0.004238     0.036639      0.31543
Thal.InN.7        SET    1077      0.08307     0.019568     0.038247     0.014942
Thal.OPC          SET     983     0.050283     0.011347     0.039614      0.10218
Thal.RG.5         SET     652   -0.0084931   -0.0015757     0.047751      0.57058
Thal.ExN.2        SET     750     0.060617     0.012028     0.044965     0.088832
Thal.ExN.3        SET    1151      0.04968     0.012072     0.036576     0.087205
Thal.InN.8        SET     778      0.05974     0.012064     0.045363     0.093947
Thal.MG           SET     927    -0.075956    -0.016672     0.040834      0.96855
Thal.Endo         SET    1005    -0.095174    -0.021702      0.03895      0.99272
