# TOTAL_GENES = 18094
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cer.InN.1        SET    1033     0.073579     0.017072     0.036722     0.022561
Cer.RG.1         SET    1102    -0.051316    -0.012273     0.035564      0.92547
Cer.RG.2         SET    1089      0.01159    0.0027566     0.035725      0.37281
Cer.ExN.1        SET    1007     0.047781     0.010954     0.036827     0.097248
Cer.InN.2        SET     918     0.054893     0.012047     0.038041      0.07452
Cer.InN.3        SET    1011    -0.019229   -0.0044167     0.037131      0.69772
Cer.InN.5        SET     881     0.087724     0.018881     0.039211     0.012642
Cer.IP           SET     897    0.0070754    0.0015359     0.038762      0.42758
Cer.ExN.2        SET     887     0.067777     0.014634     0.038716     0.040018
Cer.RG.3         SET    1077    -0.073141    -0.017306     0.035213       0.9811
Cer.ExN.3        SET     971     0.054664     0.012319     0.037563     0.072809
Cer.ExN.4        SET     878    -0.060401    -0.012979     0.038078      0.94365
Cer.CycPro       SET    1169    -0.071903    -0.017677     0.033285      0.98461
Cer.InN.6        SET     905       0.1091     0.023781     0.038203    0.0021501
Cer.InN.4        SET     984    0.0083604     0.001896     0.036818      0.41018
Cer.InN.7        SET    1012        0.052     0.011949     0.036505     0.077169
Cer.OPC          SET     866   -0.0028691  -0.00061249     0.039278      0.52911
Cer.ExN.5        SET     858     -0.14293    -0.030379     0.038178      0.99991
Cer.InN.8        SET     785    -0.026838   -0.0054677     0.039777      0.75007
Cer.Endo         SET     994     -0.14826    -0.033783     0.036107      0.99998
Cer.MG           SET     938     -0.15272     -0.03386     0.037162      0.99998
