# TOTAL_GENES = 18094
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE         TYPE  NGENES         BETA     BETA_STD           SE            P
Hipp.ExN.1        SET    1036     0.081807     0.019007     0.036529      0.01257
Hipp.CR.1         SET    1073      0.10794     0.025496     0.035491    0.0011792
Hipp.RG.1         SET    1083    -0.049175    -0.011666     0.035224      0.91864
Hipp.RG.2         SET    1099    -0.036594   -0.0087407     0.035906      0.84593
Hipp.ExN.2        SET     999     0.047042     0.010744     0.037201      0.10303
Hipp.InN.1        SET     950     0.068894     0.015367     0.036286     0.028815
Hipp.ExN.3        SET    1121      0.11736     0.028293     0.034019   0.00028114
Hipp.InN.2        SET    1013     0.066246      0.01523     0.035392     0.030627
Hipp.CycPro       SET    1084        -0.09    -0.021359      0.03409      0.99585
Hipp.InN.3        SET     927     0.091915     0.020265     0.038358     0.008288
Hipp.CR.2         SET     892    -0.067602    -0.014636     0.036833      0.96676
Hipp.ExN.4        SET     927     0.026385    0.0058173     0.037191      0.23903
Hipp.ExN.5        SET    1030      0.11986     0.027771     0.035671   0.00039057
Hipp.RG.3         SET     998    -0.026863   -0.0061326     0.036321      0.77022
Hipp.InN.4        SET     765     0.023228    0.0046742     0.040501      0.28315
Hipp.OPC          SET     842    -0.011373   -0.0023957     0.038897        0.615
Hipp.ExN.6        SET     908     0.097361     0.021256     0.038159    0.0053684
Hipp.MG           SET     813     -0.12709    -0.026328     0.039823      0.99929
Hipp.Endo         SET     814     -0.15772    -0.032692     0.039513      0.99997
