# TOTAL_GENES = 18094
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
FC.ExN.1         SET     912     0.069534     0.015213     0.037924     0.033373
FC.ExN.2         SET    1210      0.22222     0.055512     0.033624   2.0002e-11
FC.ExN.3         SET    1096      0.15875      0.03787     0.034986   2.8682e-06
FC.RG.1          SET    1120    -0.091081    -0.021948     0.035164       0.9952
FC.ExN.4         SET    1182      0.13575     0.033543     0.033702   2.8278e-05
FC.InN.1         SET     802      0.15401     0.031699     0.040643    7.578e-05
FC.InN.2         SET     838     0.075945     0.015961     0.038713     0.024906
FC.ExN.5         SET    1180      0.11758     0.029032     0.034639    0.0003447
FC.CycPro        SET    1182    -0.040486    -0.010004     0.032872      0.89095
FC.IP            SET     793     0.090215     0.018468     0.041266     0.014409
FC.InN.3         SET     762   -0.0065467   -0.0013149     0.041111      0.56326
FC.N.undef       SET     943     0.068105     0.015138      0.03819     0.037276
FC.RG.2          SET     882    -0.079013    -0.017015     0.038259      0.98054
FC.InN.4         SET     747     0.086301      0.01717     0.041533     0.018869
FC.Endo          SET    1035     -0.19379    -0.045004     0.035236            1
FC.OPC           SET     651    -0.051056   -0.0095087     0.045177      0.87078
FC.MG            SET     839      -0.1225    -0.025761     0.039167      0.99912
