# TOTAL_GENES = 18094
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE         TYPE  NGENES         BETA     BETA_STD           SE            P
Thal.RG.6         SET    1032     0.068576     0.015904     0.037154     0.032475
Thal.InN.1        SET     938     0.036757    0.0081494     0.037796       0.1654
Thal.RG.1         SET    1053    -0.054115    -0.012669     0.036617      0.93027
Thal.InN.2        SET     933     0.034574     0.007646     0.038332      0.18355
Thal.InN.3        SET     950   -0.0063213   -0.0014099      0.03817      0.56577
Thal.RG.2         SET    1080    -0.026733   -0.0063335     0.035677      0.77316
Thal.InN.5        SET     936     0.079639     0.017639     0.038317     0.018844
Thal.InN.6        SET    1008     0.092255      0.02116     0.037522    0.0069775
Thal.ExN.1        SET    1265      0.12457     0.031767     0.032811   7.3597e-05
Thal.CycPro       SET    1128    -0.064477    -0.015589     0.034025      0.97094
Thal.RG.7         SET     994    -0.024617   -0.0056092     0.036225       0.7516
Thal.IP           SET     910     0.021909    0.0047883     0.037689      0.28052
Thal.RG.3         SET    1074    -0.076391    -0.018051     0.035151      0.98511
Thal.InN.4        SET     844     0.038528     0.008125      0.03903       0.1618
Thal.RG.4         SET    1122     -0.04094    -0.009874     0.035257      0.87721
Thal.InN.7        SET    1067      0.09341     0.022005     0.035067    0.0038678
Thal.OPC          SET     980    -0.024077   -0.0054496      0.03718      0.74137
Thal.RG.5         SET     648    -0.039239   -0.0072917      0.04288      0.81992
Thal.ExN.2        SET     746    -0.014561   -0.0028951     0.041397      0.63748
Thal.ExN.3        SET    1149      0.13369     0.032602     0.032284   1.7379e-05
Thal.InN.8        SET     773    0.0043679   0.00088334     0.041041      0.45762
Thal.MG           SET     924     -0.15209    -0.033482     0.036615      0.99998
Thal.Endo         SET    1002     -0.19569    -0.044759     0.036403            1
