# TOTAL_GENES = 18094
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = bryois_exCA1 (set)
VARIABLE           TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
bryois_exCA1        SET      1    1329     0.088859     0.023182     0.031464     0.002373
FC_ExN_2            SET      1    1209      0.20318     0.050736     0.033914   1.0656e-09
bryois_exCA1        SET      2    1329      0.10127     0.026419     0.031357   0.00062132
FC_ExN_3            SET      2    1094      0.14435     0.034405     0.035086    1.954e-05
bryois_exCA1        SET      3    1329      0.10063     0.026252     0.031448   0.00068889
FC_ExN_4            SET      3    1180      0.12056     0.029767        0.034   0.00019631
bryois_exCA1        SET      4    1329      0.10007     0.026107     0.031575   0.00076548
FC_ExN_5            SET      4    1174      0.10692     0.026336     0.035108    0.0011641
bryois_exCA1        SET      5    1329      0.11176     0.029157     0.031193   0.00017033
FC_InN_1            SET      5     794      0.14602     0.029909     0.040753    0.0001704
bryois_exCA1        SET      6    1329      0.10899     0.028433     0.031236   0.00024286
GE_InN_1            SET      6    1114      0.11162     0.026831     0.033656   0.00045677
bryois_exCA1        SET      7    1329       0.1107     0.028879     0.031197   0.00019437
GE_InN_2            SET      7    1026      0.13765     0.031837     0.035245   4.7187e-05
bryois_exCA1        SET      8    1329      0.10732     0.027998     0.031291   0.00030287
Hipp_ExN_3          SET      8    1122      0.10287      0.02481     0.034116    0.0012855
bryois_exCA1        SET      9    1329      0.10267     0.026784     0.031547   0.00056924
Hipp_ExN_5          SET      9    1027     0.094984     0.021978     0.036118    0.0042761
bryois_exCA1        SET     10    1329      0.10094     0.026333     0.031527   0.00068448
Thal_ExN_1          SET     10    1262      0.10207        0.026     0.033271    0.0010797
bryois_exCA1        SET     11    1329      0.10547     0.027515     0.031278     0.000374
Thal_ExN_3          SET     11    1153      0.12426     0.030352     0.032284   5.9558e-05
bryois_exCA1        SET     12    1329      0.10805     0.028188     0.031271   0.00027558
skene_InN           SET     12    1325     0.095128     0.024783     0.031425    0.0012365
bryois_exCA1        SET     13    1329     0.098701     0.025749     0.031336   0.00081855
skene_MSN           SET     13    1355      0.15853     0.041727     0.031389   2.2305e-07
bryois_exCA1        SET     14    1329      0.08264     0.021559     0.031889    0.0047822
skene_CA1           SET     14    1357      0.15602     0.041094     0.032302   6.8978e-07
bryois_exCA1        SET     15    1329     0.094188     0.024572     0.031544    0.0014158
skene_SS            SET     15    1360      0.13665     0.036028     0.031401   6.7984e-06
bryois_exCA1        SET     16    1329      0.09276     0.024199     0.033875    0.0030912
bryois_exCA3        SET     16    1337     0.058321     0.015257     0.034336     0.044714
bryois_exCA1        SET     17    1329     0.087309     0.022777     0.032363    0.0034935
bryois_exDG         SET     17    1321      0.10674      0.02777     0.033157   0.00064365
bryois_exCA1        SET     18    1329     0.099228     0.025887     0.032067   0.00098771
bryois_exPFC1       SET     18    1347      0.07022     0.018433     0.032776     0.016088
