# TOTAL_GENES = 18094
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = bryois_exPFC1 (set)
VARIABLE           TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
bryois_exPFC1       SET      1    1347     0.063255     0.016604     0.032245     0.024907
FC_ExN_2            SET      1    1209      0.20614     0.051476     0.034003   6.8644e-10
bryois_exPFC1       SET      2    1347     0.082908     0.021763      0.03197     0.004757
FC_ExN_3            SET      2    1094      0.14934     0.035594     0.034997    9.962e-06
bryois_exPFC1       SET      3    1347     0.075048       0.0197     0.032305     0.010093
FC_ExN_4            SET      3    1180      0.12185     0.030086     0.034171   0.00018181
bryois_exPFC1       SET      4    1347     0.076458      0.02007     0.032355    0.0090677
FC_ExN_5            SET      4    1174      0.11018      0.02714     0.035196   0.00087443
bryois_exPFC1       SET      5    1347     0.091051     0.023901     0.031882    0.0021486
FC_InN_1            SET      5     794      0.14773     0.030261     0.040751   0.00014483
bryois_exPFC1       SET      6    1347     0.088958     0.023352     0.031906     0.002654
GE_InN_1            SET      6    1114      0.11448     0.027518     0.033634   0.00033334
bryois_exPFC1       SET      7    1347     0.091473     0.024012     0.031875    0.0020569
GE_InN_2            SET      7    1026      0.14042     0.032476     0.035231   3.3807e-05
bryois_exPFC1       SET      8    1347     0.089626     0.023527     0.031902    0.0024849
Hipp_ExN_3          SET      8    1122      0.10872     0.026222     0.034029   0.00070047
bryois_exPFC1       SET      9    1347     0.083018     0.021792     0.032106    0.0048631
Hipp_ExN_5          SET      9    1027      0.10169     0.023531     0.035963    0.0023467
bryois_exPFC1       SET     10    1347     0.073529     0.019301     0.032568     0.011989
Thal_ExN_1          SET     10    1262      0.10224     0.026042     0.033625    0.0011833
bryois_exPFC1       SET     11    1347     0.089573     0.023513     0.031886     0.002487
Thal_ExN_3          SET     11    1153      0.13009     0.031775     0.032199   2.6853e-05
bryois_exPFC1       SET     12    1347      0.08657     0.022725     0.031962    0.0033832
skene_InN           SET     12    1325     0.097096     0.025295     0.031425    0.0010033
bryois_exPFC1       SET     13    1347     0.075008      0.01969     0.032072    0.0096802
skene_MSN           SET     13    1355      0.16039     0.042218     0.031431   1.6912e-07
bryois_exPFC1       SET     14    1347     0.070854     0.018599      0.03217     0.013824
skene_CA1           SET     14    1357      0.16397     0.043189     0.031882   1.3679e-07
bryois_exPFC1       SET     15    1347     0.065394     0.017166     0.032525     0.022195
skene_SS            SET     15    1360      0.13825     0.036452     0.031677   6.4111e-06
bryois_exPFC1       SET     16    1347      0.07022     0.018433     0.032776     0.016088
bryois_exCA1        SET     16    1329     0.099228     0.025887     0.032067   0.00098771
bryois_exPFC1       SET     17    1347     0.076418      0.02006     0.032684    0.0096972
bryois_exCA3        SET     17    1337     0.078315     0.020487     0.032412    0.0078464
bryois_exPFC1       SET     18    1347     0.069589     0.018267     0.032594     0.016388
bryois_exDG         SET     18    1321      0.11611     0.030207     0.032671   0.00019033
