# TOTAL_GENES = 18094
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = skene_CA1 (set)
VARIABLE           TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
skene_CA1           SET      1    1357      0.14611     0.038483     0.031918   2.3709e-06
FC_ExN_2            SET      1    1209      0.19289     0.048166     0.033963   6.8821e-09
skene_CA1           SET      2    1357      0.16384     0.043155     0.031654   1.1476e-07
FC_ExN_3            SET      2    1094      0.14276     0.034027     0.034965   2.2333e-05
skene_CA1           SET      3    1357      0.15908       0.0419     0.031886   3.0693e-07
FC_ExN_4            SET      3    1180      0.11085      0.02737     0.034032   0.00056386
skene_CA1           SET      4    1357      0.16049     0.042273     0.031919   2.5038e-07
FC_ExN_5            SET      4    1174     0.098465     0.024254     0.035036    0.0024771
skene_CA1           SET      5    1357       0.1708     0.044987     0.031576    3.216e-08
FC_InN_1            SET      5     794      0.14478     0.029657     0.040726   0.00018948
skene_CA1           SET      6    1357      0.17015     0.044816     0.031585   3.6336e-08
GE_InN_1            SET      6    1114      0.11257     0.027059     0.033596   0.00040399
skene_CA1           SET      7    1357      0.17107      0.04506      0.03157   3.0441e-08
GE_InN_2            SET      7    1026      0.13821     0.031966     0.035209   4.3472e-05
skene_CA1           SET      8    1357      0.16479     0.043404     0.031735     1.05e-07
Hipp_ExN_3          SET      8    1122     0.094641     0.022825     0.034156    0.0027991
skene_CA1           SET      9    1357      0.16345     0.043052     0.031847   1.4479e-07
Hipp_ExN_5          SET      9    1027     0.088544     0.020488     0.035995    0.0069543
skene_CA1           SET     10    1357      0.16515     0.043499     0.031688   9.4802e-08
Thal_ExN_1          SET     10    1262      0.10285     0.026199     0.033013   0.00091971
skene_CA1           SET     11    1357      0.16761     0.044148     0.031603   5.7513e-08
Thal_ExN_3          SET     11    1153      0.12453     0.030419     0.032201   5.5229e-05
skene_CA1           SET     12    1357      0.16293     0.042914     0.031842    1.573e-07
skene_InN           SET     12    1325     0.082322     0.021446     0.031589    0.0045843
skene_CA1           SET     13    1357      0.14138     0.037239     0.032471   6.7251e-06
skene_MSN           SET     13    1355      0.13596     0.035786      0.03211   1.1537e-05
skene_CA1           SET     14    1357      0.13622      0.03588     0.033796   2.7931e-05
skene_SS            SET     14    1360      0.10322     0.027214     0.033211   0.00094402
skene_CA1           SET     15    1357      0.15602     0.041094     0.032302   6.8978e-07
bryois_exCA1        SET     15    1329      0.08264     0.021559     0.031889    0.0047822
skene_CA1           SET     16    1357      0.16084     0.042363     0.032305   3.2356e-07
bryois_exCA3        SET     16    1337     0.060997     0.015957     0.032325     0.029593
skene_CA1           SET     17    1357      0.15394     0.040546     0.032229   9.0097e-07
bryois_exDG         SET     17    1321     0.099344     0.025845     0.032597    0.0011551
skene_CA1           SET     18    1357      0.16397     0.043189     0.031882   1.3679e-07
bryois_exPFC1       SET     18    1347     0.070854     0.018599      0.03217     0.013824
