# TOTAL_GENES = 18094
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = skene_InN (set)
VARIABLE        TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
skene_InN        SET      1    1325     0.084735     0.022075     0.031454    0.0035347
FC_ExN_2         SET      1    1209      0.20784     0.051901     0.033737   3.7138e-10
skene_InN        SET      2    1325     0.095369     0.024845     0.031383    0.0011894
FC_ExN_3         SET      2    1094      0.15032     0.035829     0.034943   8.5183e-06
skene_InN        SET      3    1325     0.095353     0.024841     0.031404    0.0011993
FC_ExN_4         SET      3    1180      0.12789     0.031578     0.033786   7.7043e-05
skene_InN        SET      4    1325      0.09186     0.023931     0.031537    0.0017936
FC_ExN_5         SET      4    1174      0.11301     0.027837     0.034893   0.00060165
skene_InN        SET      5    1325     0.099787     0.025996      0.03135   0.00073019
FC_InN_1         SET      5     794      0.14642     0.029993     0.040757   0.00016422
skene_InN        SET      6    1325     0.099731     0.025982     0.031353   0.00073557
GE_InN_1         SET      6    1114      0.11508     0.027661     0.033617   0.00031026
skene_InN        SET      7    1325     0.099124     0.025824      0.03135   0.00078539
GE_InN_2         SET      7    1026      0.13847     0.032025     0.035244   4.2859e-05
skene_InN        SET      8    1325       0.1003      0.02613     0.031351   0.00069042
Hipp_ExN_3       SET      8    1122      0.10937     0.026378     0.034013   0.00065235
skene_InN        SET      9    1325     0.098468     0.025653     0.031381   0.00085252
Hipp_ExN_5       SET      9    1027      0.10693     0.024743     0.035752    0.0013929
skene_InN        SET     10    1325     0.097343      0.02536     0.031385   0.00096424
Thal_ExN_1       SET     10    1262      0.11204      0.02854     0.032959   0.00033845
skene_InN        SET     11    1325     0.093851      0.02445     0.031427     0.001414
Thal_ExN_3       SET     11    1153      0.12558     0.030676     0.032278   5.0191e-05
skene_InN        SET     12    1325     0.090269     0.023517     0.031423    0.0020374
skene_MSN        SET     12    1355      0.16158     0.042532     0.031322   1.2577e-07
skene_InN        SET     13    1325     0.082322     0.021446     0.031589    0.0045843
skene_CA1        SET     13    1357      0.16293     0.042914     0.031842    1.573e-07
skene_InN        SET     14    1325     0.075745     0.019733     0.031982    0.0089406
skene_SS         SET     14    1360      0.13591     0.035835     0.031681   8.9843e-06
