# TOTAL_GENES = 18094
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = skene_MSN (set)
VARIABLE           TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
skene_MSN           SET      1    1355      0.15316     0.040314       0.0313   5.0062e-07
FC_ExN_2            SET      1    1209      0.20286     0.050657      0.03368   8.7422e-10
skene_MSN           SET      2    1355      0.16223     0.042702     0.031249   1.0555e-07
FC_ExN_3            SET      2    1094      0.14753     0.035163     0.034906   1.1937e-05
skene_MSN           SET      3    1355       0.1589     0.041824     0.031342   2.0154e-07
FC_ExN_4            SET      3    1180      0.11936     0.029472     0.033829   0.00020956
skene_MSN           SET      4    1355      0.15883     0.041806     0.031392   2.1259e-07
FC_ExN_5            SET      4    1174      0.10594     0.026095     0.034845    0.0011838
skene_MSN           SET      5    1355      0.16701      0.04396     0.031219   4.4688e-08
FC_InN_1            SET      5     794      0.14698     0.030108     0.040718   0.00015373
skene_MSN           SET      6    1355      0.16741     0.044066     0.031219   4.1592e-08
GE_InN_1            SET      6    1114       0.1163     0.027956      0.03358   0.00026749
skene_MSN           SET      7    1355      0.16888     0.044452     0.031211    3.183e-08
GE_InN_2            SET      7    1026      0.14235     0.032922     0.035201   2.6427e-05
skene_MSN           SET      8    1355      0.16319     0.042955     0.031276    9.167e-08
Hipp_ExN_3          SET      8    1122      0.10195     0.024588     0.034041    0.0013752
skene_MSN           SET      9    1355      0.16194     0.042625     0.031322   1.1842e-07
Hipp_ExN_5          SET      9    1027     0.097838     0.022639     0.035801     0.003143
skene_MSN           SET     10    1355      0.16244     0.042756      0.03128   1.0472e-07
Thal_ExN_1          SET     10    1262        0.107     0.027257     0.032954   0.00058429
skene_MSN           SET     11    1355      0.16153     0.042517     0.031272    1.215e-07
Thal_ExN_3          SET     11    1153      0.12286     0.030011     0.032223   6.8931e-05
skene_MSN           SET     12    1355      0.16158     0.042532     0.031322   1.2577e-07
skene_InN           SET     12    1325     0.090269     0.023517     0.031423    0.0020374
skene_MSN           SET     13    1355      0.13596     0.035786      0.03211   1.1537e-05
skene_CA1           SET     13    1357      0.14138     0.037239     0.032471   6.7251e-06
skene_MSN           SET     14    1355      0.14275     0.037574     0.031963   4.0097e-06
skene_SS            SET     14    1360      0.12048     0.031765     0.031763    7.473e-05
skene_MSN           SET     15    1355      0.15853     0.041727     0.031389   2.2305e-07
bryois_exCA1        SET     15    1329     0.098701     0.025749     0.031336   0.00081855
skene_MSN           SET     16    1355      0.16026     0.042182     0.031425   1.7215e-07
bryois_exCA3        SET     16    1337     0.076628     0.020046     0.031799    0.0079868
skene_MSN           SET     17    1355      0.15301     0.040275     0.031581   6.3901e-07
bryois_exDG         SET     17    1321      0.10702     0.027842       0.0323   0.00046197
skene_MSN           SET     18    1355      0.16039     0.042218     0.031431   1.6912e-07
bryois_exPFC1       SET     18    1347     0.075008      0.01969     0.032072    0.0096802
