# TOTAL_GENES = 18094
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = skene_SS (set)
VARIABLE        TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
skene_SS         SET      1    1360      0.12441     0.032802     0.031342    3.619e-05
FC_ExN_2         SET      1    1209      0.19686     0.049159     0.033937   3.3643e-09
skene_SS         SET      2    1360      0.14183     0.037395       0.0311   2.5725e-06
FC_ExN_3         SET      2    1094      0.14527     0.034626     0.034957   1.6297e-05
skene_SS         SET      3    1360       0.1352     0.035646     0.031397    8.361e-06
FC_ExN_4         SET      3    1180      0.11234     0.027739       0.0341   0.00049397
skene_SS         SET      4    1360      0.13575     0.035791     0.031511   8.2887e-06
FC_ExN_5         SET      4    1174     0.098089     0.024162     0.035196    0.0026637
skene_SS         SET      5    1360      0.14831     0.039105     0.031035   8.8943e-07
FC_InN_1         SET      5     794       0.1458     0.029866     0.040732   0.00017262
skene_SS         SET      6    1360      0.14729     0.038834     0.031047   1.0575e-06
GE_InN_1         SET      6    1114      0.11299     0.027161     0.033606   0.00038733
skene_SS         SET      7    1360      0.14792        0.039     0.031033   9.4616e-07
GE_InN_2         SET      7    1026      0.13803     0.031923      0.03522   4.4663e-05
skene_SS         SET      8    1360      0.14232     0.037525      0.03118   2.5209e-06
Hipp_ExN_3       SET      8    1122     0.097447     0.023502     0.034149    0.0021644
skene_SS         SET      9    1360      0.14194     0.037425     0.031221   2.7495e-06
Hipp_ExN_5       SET      9    1027     0.094811     0.021938     0.035909    0.0041455
skene_SS         SET     10    1360      0.14109     0.037201     0.031194   3.0691e-06
Thal_ExN_1       SET     10    1262      0.10245     0.026097      0.03307   0.00097594
skene_SS         SET     11    1360      0.14358     0.037856     0.031084   1.9434e-06
Thal_ExN_3       SET     11    1153      0.12381     0.030242      0.03223   6.1421e-05
skene_SS         SET     12    1360      0.13591     0.035835     0.031681   8.9843e-06
skene_InN        SET     12    1325     0.075745     0.019733     0.031982    0.0089406
skene_SS         SET     13    1360      0.12048     0.031765     0.031763    7.473e-05
skene_MSN        SET     13    1355      0.14275     0.037574     0.031963   4.0097e-06
skene_SS         SET     14    1360      0.10322     0.027214     0.033211   0.00094402
skene_CA1        SET     14    1357      0.13622      0.03588     0.033796   2.7931e-05
