# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
148398       1     849993     881461     90      15  161405      0.94734   -3.3307e-16      0.94734
26155        1     878083     904679     79      10  161405       2.0286   -4.4409e-16       2.0286
339451       1     885967     902599     53       6  161405       2.0796   -4.4409e-16       2.0796
84069        1     891872     911988     62      14  161405         1.89   -4.4409e-16         1.89
84808        1     909079     927473     73      12  161405      -1.1472   -4.4409e-16      -1.1472
57801        1     932842     946608     39       8  161405      -1.5353   -4.4409e-16      -1.5353
9636         1     938847     951420     32       5  161405      -1.9687   -4.4409e-16      -1.9687
375790       1     945503     992999    116      13  161405      -3.1826   -4.4409e-16      -3.1826
401934       1    1005626    1019687     36       5  161405     -0.65185   -3.3307e-16     -0.65185
54991        1    1015698    1061736    166      15  161405      -1.9528   -4.4409e-16      -1.9528
254173       1    1099286    1134815    174      23  161405      0.69269   -3.3307e-16      0.69269
8784         1    1137388    1152163     50       8  161405       1.1873   -4.4409e-16       1.1873
7293         1    1145206    1159703     72       7  161405       2.2296   -4.4409e-16       2.2296
51150        1    1150788    1177447    135       9  161405        2.283   -4.4409e-16        2.283
126792       1    1157629    1171921     89       6  161405       2.3058   -4.4409e-16       2.3058
388581       1    1176326    1192102     46       7  161405       3.0586   -4.4409e-16       3.0586
118424       1    1187792    1219234     98      12  161405       1.0927   -4.4409e-16       1.0927
6339         1    1205816    1228909     79      14  161405       1.3638   -4.4409e-16       1.3638
116983       1    1226264    1253304     61      11  161405       1.4165   -4.4409e-16       1.4165
126789       1    1233962    1248557     31       7  161405       1.6936   -4.4409e-16       1.6936
54973        1    1245465    1270067     53       9  161405      0.91366   -3.3307e-16      0.91366
80772        1    1250136    1265776     35       6  161405       1.1899   -4.4409e-16       1.1899
83756        1    1256726    1271344     43       8  161405      0.95197   -3.3307e-16      0.95197
1855         1    1269158    1294509     70      11  161405      0.51033   -3.3307e-16      0.51033
54587        1    1286571    1307183     94      10  161405       1.0395   -4.4409e-16       1.0395
54998        1    1307610    1320818     52       7  161405      0.39074   -3.8858e-16      0.39074
81669        1    1319591    1344718     53      11  161405      0.30941   -3.8858e-16      0.30941
55052        1    1335776    1352693     41       6  161405       -0.221   -3.8858e-16       -0.221
643965       1    1351508    1364667     49       7  161405      -1.2653   -4.4409e-16      -1.2653
441869       1    1352300    1366824     54       8  161405      -1.1779   -4.4409e-16      -1.1779
64856        1    1360903    1379762     49       8  161405     0.076415    -3.747e-16     0.076415
219293       1    1368152    1407038     80      14  161405       1.4632   -4.4409e-16       1.4632
83858        1    1397139    1446352     61      15  161405       2.2341   -4.4409e-16       2.2341
55210        1    1437523    1471567     79      12  161405       1.8295   -4.4409e-16       1.8295
339453       1    1468658    1485740     36       8  161405       1.0356   -4.4409e-16       1.0356
29101        1    1475553    1520262    139      14  161405       1.2504   -4.4409e-16       1.2504
643988       1    1531888    1545476     25       6  161405     -0.16875   -3.8858e-16     -0.16875
142678       1    1540795    1567490     61      10  161405      0.87523   -3.3307e-16      0.87523
8510         1    1557060    1571530     22       6  161405       1.6933   -4.4409e-16       1.6933
984          1    1569600    1600473     29       5  161405      0.96019   -3.3307e-16      0.96019
728661       1    1589986    1634243     61      12  161405      0.47684   -3.8858e-16      0.47684
728642       1    1632322    1665999     56       6  161405       1.0506   -4.4409e-16       1.0506
9906         1    1654777    1687438     47       8  161405     -0.32872   -3.8858e-16     -0.32872
65220        1    1681171    1721508     81      11  161405      0.68351   -3.3307e-16      0.68351
2782         1    1715225    1832552    153      19  161405        1.477   -4.4409e-16        1.477
163688       1    1836266    1850233     34       6  161405        1.807   -4.4409e-16        1.807
339456       1    1847529    1860740     52       6  161405      0.89658   -3.3307e-16      0.89658
85452        1    1851890    1945276    342      27  161405       1.9665   -4.4409e-16       1.9665
2563         1    1940768    1963692     57       8  161405      0.51993   -3.3307e-16      0.51993
5590         1    1971909    2118334    406      31  161405       1.7835   -4.4409e-16       1.7835
100506504    1    2111750    2125812     22       6  161405       2.2265   -4.4409e-16       2.2265
199990       1    2114399    2154159     68      15  161405       2.4481   -4.4409e-16       2.4481
6497         1    2150134    2243152    240      41  161405      0.91542   -3.3307e-16      0.91542
79906        1    2250219    2333190    328      41  161405     -0.38508   -3.8858e-16     -0.38508
11079        1    2313214    2338383     69      18  161405    -0.084425    -3.747e-16    -0.084425
5192         1    2334741    2354010     65      18  161405      0.13966   -3.8858e-16      0.13966
9651         1    2397754    2438464     96      22  161405       3.3555   -4.4409e-16       3.3555
55229        1    2438475    2468061     76      11  161405      0.84434   -3.3307e-16      0.84434
388585       1    2458684    2471684     38       9  161405    -0.026957    -3.747e-16    -0.026957
8764         1    2477291    2496768     39       7  161405    -0.098704    -3.747e-16    -0.098704
127281       1    2507899    2524408     43       8  161405       1.0627   -4.4409e-16       1.0627
79258        1    2520578    2574499    174      11  161405       1.4552   -4.4409e-16       1.4552
100287898    1    2571307    2716230     98      11  161405      0.70788   -3.3307e-16      0.70788
140625       1    2928046    2940967     28       4  161405     -0.22372   -3.8858e-16     -0.22372
63976        1    2975565    3356685   1391     156  161405       1.6531   -4.4409e-16       1.6531
27237        1    3361147    3399177    136      15  161405      -1.1642   -4.4409e-16      -1.1642
1953         1    3403006    3538059    552      72  161405     -0.97296   -3.3307e-16     -0.97296
127262       1    3531556    3548195     70      11  161405       1.0277   -4.4409e-16       1.0277
49856        1    3545831    3576671     68      15  161405      0.78714   -3.3307e-16      0.78714
7161         1    3559129    3654265    313      54  161405      -1.8221   -4.4409e-16      -1.8221
148870       1    3658965    3689709     95      16  161405      -1.0407   -4.4409e-16      -1.0407
388588       1    3679352    3694046     64      16  161405     0.088818    -3.747e-16     0.088818
57470        1    3695284    3723068    141      20  161405      0.19438   -3.8858e-16      0.19438
9731         1    3727145    3783797    344      19  161405       0.2095   -3.8858e-16       0.2095
1677         1    3763845    3803493    255      25  161405     -0.55159   -3.3307e-16     -0.55159
339448       1    3804197    3826857     82      11  161405       1.6205   -4.4409e-16       1.6205
55966        1    4705105    4845351    670      80  161405      -0.1913   -3.8858e-16      -0.1913
261734       1    5921370    6062618    427      21  161405     -0.25308   -3.8858e-16     -0.25308
8514         1    6042358    6162753    339      47  161405     0.077463    -3.747e-16     0.077463
26038        1    6160347    6250194    289      29  161405      -0.9932   -3.3307e-16      -0.9932
6146         1    6243580    6269679     61      12  161405     -0.07734    -3.747e-16     -0.07734
388591       1    6256189    6282859     65      11  161405     -0.27784   -3.8858e-16     -0.27784
23463        1    6279753    6306044     51       9  161405     -0.99262   -3.3307e-16     -0.99262
390992       1    6294252    6307138     23       7  161405     -0.17553   -3.8858e-16     -0.17553
387509       1    6305906    6331035     62       8  161405     -0.97865   -3.3307e-16     -0.97865
11332        1    6322832    6463826    457      26  161405      -1.0312   -4.4409e-16      -1.0312
54626        1    6473792    6494724     73       8  161405     -0.29298   -3.8858e-16     -0.29298
83715        1    6474836    6522504    133      13  161405     0.079519    -3.747e-16     0.079519
8718         1    6519287    6537432     45       9  161405       1.9237   -4.4409e-16       1.9237
57449        1    6524652    6590121    162      24  161405       1.4512   -4.4409e-16       1.4512
79707        1    6579907    6624658    122       4  161405      0.01428   -3.7643e-16      0.01428
80835        1    6604987    6641317     92       8  161405      0.51632   -3.3307e-16      0.51632
3104         1    6630051    6650840     32      11  161405       2.2998   -4.4409e-16       2.2998
9903         1    6649284    6672958     44      10  161405       3.4196   -4.4409e-16       3.4196
148479       1    6663756    6685593     31       6  161405       3.0338   -4.4409e-16       3.0338
90326        1    6674925    6697146     51       8  161405       3.9022   -4.4409e-16       3.9022
55735        1    6692728    6771966    166      17  161405       4.0388             0       4.0388
23261        1    6835384    7831266   2671     204  161405     -0.97242   -3.3307e-16     -0.97242
9341         1    7821329    7842992     55      12  161405      0.45681   -3.8858e-16      0.45681
8863         1    7834413    7906741    251      29  161405     0.047326    -3.747e-16     0.047326
10911        1    7906172    7923551     82      16  161405     -0.76198   -3.3307e-16     -0.76198
3604         1    7974431    8013225     72      10  161405     -0.67223   -3.3307e-16     -0.67223
11315        1    8011714    8046842     64       9  161405     -0.99404   -3.3307e-16     -0.99404
54206        1    8070279    8096393     34       5  161405     -0.90087   -3.3307e-16     -0.90087
50651        1    8368171    8405727    107      15  161405       4.5672             0       4.5672
473          1    8410964    8887699    684      25  161405       3.6371   -4.4409e-16       3.6371
2023         1    8919559    8949151     44       7  161405       1.0089   -4.4409e-16       1.0089
765          1    8995893    9036651    160      35  161405     -0.63122   -3.3307e-16     -0.63122
155184       1    9061859    9096404    123      24  161405     -0.78622   -3.3307e-16     -0.78622
6518         1    9095505    9141763    137      19  161405      -1.7692   -4.4409e-16      -1.7692
80045        1    9161972    9199229     72      10  161405      0.64301   -3.3307e-16      0.64301
9563         1    9284822    9332896    137      20  161405      -1.0019   -4.4409e-16      -1.0019
80176        1    9325202    9431091    464      65  161405     -0.32783   -3.8858e-16     -0.32783
84275        1    9589528    9644331     69       8  161405      -1.0002   -4.4409e-16      -1.0002
199953       1    9638932    9676435     46       7  161405      -1.3445   -4.4409e-16      -1.3445
5293         1    9701789    9790672    158      27  161405    -0.065154    -3.747e-16    -0.065154
22883        1    9787579    9894550    146      14  161405      -0.2219   -3.8858e-16      -0.2219
56998        1    9906834    9980316     76      12  161405       -2.323   -4.4409e-16       -2.323
84328        1    9980668   10013460     66      10  161405      -1.7262   -4.4409e-16      -1.7262
64802        1    9993486   10047056     93      13  161405      -1.0805   -4.4409e-16      -1.0805
116362       1   10047255   10077578     58       7  161405     -0.23267   -3.8858e-16     -0.23267
10277        1   10083041   10242797    301      18  161405     -0.58729   -3.3307e-16     -0.58729
23095        1   10260606   10443164    574      16  161405       0.5727   -3.3307e-16       0.5727
5226         1   10448884   10482065     84      10  161405      0.96082   -3.3307e-16      0.96082
378708       1   10479944   10511739     87      11  161405     -0.50722   -3.3307e-16     -0.50722
100526739    1   10480159   10513560     90      10  161405     -0.51501   -3.3307e-16     -0.51501
1325         1   10499776   10513560     26       5  161405     -0.96316   -3.3307e-16     -0.96316
1676         1   10519088   10542613     28       5  161405     -0.46879   -3.8858e-16     -0.46879
5195         1   10525003   10692315    366      28  161405      -1.5538   -4.4409e-16      -1.5538
54897        1   10695161   10866733    459      86  161405       -1.101   -4.4409e-16       -1.101
148345       1   11005030   11052094    167      21  161405     -0.98667   -3.3307e-16     -0.98667
23435        1   11062462   11087049     50       7  161405       1.9099   -4.4409e-16       1.9099
10747        1   11085080   11117296     70       9  161405      0.78541   -3.3307e-16      0.78541
6723         1   11113149   11130091     38       4  161405     -0.93587   -3.3307e-16     -0.93587
5394         1   11125175   11169961    128       6  161405     -0.80841   -3.3307e-16     -0.80841
2475         1   11165088   11332614    352      10  161405     -0.78421   -3.3307e-16     -0.78421
10218        1   11239346   11257538     32       4  161405    -0.038908    -3.747e-16    -0.038908
29914        1   11323255   11349991     47       8  161405      -1.2208   -4.4409e-16      -1.2208
57540        1   11529295   11599140    176      16  161405       1.3824   -4.4409e-16       1.3824
93611        1   11704432   11724884     58      19  161405     -0.35706   -3.8858e-16     -0.35706
26232        1   11706424   11724888     52      17  161405     -0.30411   -3.8858e-16     -0.30411
26270        1   11714150   11735911     63      14  161405     -0.76886   -3.3307e-16     -0.76886
10459        1   11733037   11761678     96      21  161405       -1.416   -4.4409e-16       -1.416
374946       1   11741781   11781836    117      24  161405     0.079578    -3.747e-16     0.079578
57085        1   11786142   11812328     72      14  161405     0.074548    -3.747e-16     0.074548
284498       1   11813827   11851142    170      15  161405      0.21152   -3.8858e-16      0.21152
4524         1   11844287   11876160    147      12  161405      0.22781   -3.8858e-16      0.22781
1185         1   11856153   11904701    241      16  161405    -0.041701    -3.747e-16    -0.041701
4878         1   11904266   11917840     47      10  161405     -0.73432   -3.3307e-16     -0.73432
4879         1   11916021   11928992     44       8  161405     -0.93439   -3.3307e-16     -0.93439
90231        1   11978145   11996485     48      11  161405     -0.25298   -3.8858e-16     -0.25298
