# ALPHA = 0.05
# NUMBER_OF_TESTS = 121

# _SET1_  VARIABLE = FC_ExN_2_GO:0006836~neurotransmitter (set)
# _SET1_  NGENES = 38
# _SET1_  P-VALUE = 5.21852e-05
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   1855       1    1269158    1294509     70      11  161405      0.51033      0.11893   -3.3307e-16      0.51033
_SET1_   9783       1   41084852   41141324    136      19  161405       2.7461   0.00010099   -4.4409e-16       2.7461
_SET1_   388662     1  110683132  110746324    136      15  161405       1.0032     0.023194   -4.4409e-16       1.0032
_SET1_   6854       3   12172150   12235032    143      18  161405       1.4555    0.0094588   -4.4409e-16       1.4555
_SET1_   6533       3   14434076   14532357    262      45  161405       -0.895      0.43245   -3.3307e-16       -0.895
_SET1_   54716      3   45795441   45848039    116      35  161405     -0.71064       0.3959   -3.3307e-16     -0.71064
_SET1_   10815      4     777245     829945    240      29  161405       2.8216   4.9496e-05   -4.4409e-16       2.8216
_SET1_   2555       4   46244970   46402056    315      20  161405       2.0673   0.00068912   -4.4409e-16       2.0673
_SET1_   6622       4   90643750   90769447    418      23  161405       2.8649   2.3434e-05   -4.4409e-16       2.8649
_SET1_   4208       5   88012558   88209922    332      26  161405       2.8223   3.8049e-05   -4.4409e-16       2.8223
_SET1_   1812       5  174866175  174881163     44      10  161405     -0.83565      0.48249   -3.3307e-16     -0.83565
_SET1_   6580       6  160532821  160581647    121      26  161405      -1.0406      0.53251   -4.4409e-16      -1.0406
_SET1_   6804       7   73112035   73144032     61      19  161405      0.99062     0.025536   -3.3307e-16      0.99062
_SET1_   27445      7   82381821   82802197   1144      49  161405       2.1794   2.0618e-05   -4.4409e-16       2.1794
_SET1_   9162       7  137072885  137541609    885      65  161405       4.2639   2.7349e-09             0       4.2639
_SET1_   5799       7  157330250  158390482   3666     243  161405     -0.32006    0.0069711   -3.8858e-16     -0.32006
_SET1_   6812       9  130364486  130456495     95      15  161405      0.85002     0.041292   -3.3307e-16      0.85002
_SET1_   774        9  140762241  141020576    463      34  161405      0.33826     0.062295   -3.8858e-16      0.33826
_SET1_   57586     11   45260353   45317884    149      15  161405       2.6268   0.00016221   -4.4409e-16       2.6268
_SET1_   6809      11   59512479   59574855    179       8  161405      0.29074      0.15492   -3.8858e-16      0.29074
_SET1_   9379      11   64372146   64500660    152      13  161405       1.2534     0.014995   -4.4409e-16       1.2534
_SET1_   81539     12   46575338   46673208    190      37  161405     0.091631      0.13649    -3.747e-16     0.091631
_SET1_   8825      12   81189671   81341702    434      30  161405     0.019124      0.10791    -3.747e-16     0.019124
_SET1_   8499      12   81650545   82163109   1151      59  161405       -0.395     0.070331   -3.8858e-16       -0.395
_SET1_   55117     12   85251767   85316608     93      13  161405      0.59069     0.065832   -3.3307e-16      0.59069
_SET1_   2054      12  131272645  131333819    219      14  161405      0.48115     0.067682   -3.8858e-16      0.48115
_SET1_   440279    15   54260557   54922306   2546     109  161405     -0.56203     0.011914   -3.3307e-16     -0.56203
_SET1_   594855    15   75108951   75125636     29       8  161405       2.3562   0.00068153   -4.4409e-16       2.3562
_SET1_   8448      16   30015335   30033424     29       5  161405       6.2213   7.8886e-13             0       6.2213
_SET1_   6860      18   40846357   40867615     29       8  161405       2.4877   0.00041815   -4.4409e-16       2.4877
_SET1_   22859     19   14257049   14326997    145      26  161405       1.1366      0.01796   -4.4409e-16       1.1366
_SET1_   8541      19   49612646   49655787    123      18  161405       3.2247   1.3521e-05   -4.4409e-16       3.2247
_SET1_   57030     19   49931155   49955617     59       9  161405     -0.10092      0.21324    -3.747e-16     -0.10092
_SET1_   6861      19   55681071   55701809    115      15  161405       2.6878   0.00019866   -4.4409e-16       2.6878
_SET1_   9751      20    1236948    1291471    142      27  161405      0.37486     0.088199   -3.8858e-16      0.37486
_SET1_   140730    20   43378945   43448979    119      18  161405     -0.84385      0.46072   -3.3307e-16     -0.84385
_SET1_   5413      22   19691987   19712345     22       7  161405     -0.99683      0.56283   -3.3307e-16     -0.99683
_SET1_   8224      22   32907039   33464377   1630     113  161405       1.1206   0.00048032   -4.4409e-16       1.1206

# _SET2_  VARIABLE = FC_ExN_2_GO:0007399~nervous (set)
# _SET2_  NGENES = 272
# _SET2_  P-VALUE = 1.2916e-09
_SET2_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   1855          1    1269158    1294509     70      11  161405      0.51033      0.11893   -3.3307e-16      0.51033
_SET2_   5590          1    1971909    2118334    406      31  161405       1.7835    0.0014011   -4.4409e-16       1.7835
_SET2_   26038         1    6160347    6250194    289      29  161405      -0.9932      0.46516   -3.3307e-16      -0.9932
_SET2_   54897         1   10695161   10866733    459      86  161405       -1.101       0.5153   -4.4409e-16       -1.101
_SET2_   374946        1   11741781   11781836    117      24  161405     0.079578      0.14489    -3.747e-16     0.079578
_SET2_   5909          1   21921208   22006010    305      44  161405     -0.18386      0.18644   -3.8858e-16     -0.18386
_SET2_   388610        1   27310189   27328877     21       4  161405      0.24028      0.17086   -3.8858e-16      0.24028
_SET2_   576           1   32191218   32240494     46      10  161405      0.27016      0.14044   -3.8858e-16      0.27016
_SET2_   23154         1   36013311   36033880     22       5  161405       2.3549    0.0017194   -4.4409e-16       2.3549
_SET2_   5453          1   38508023   38522450     25       8  161405     -0.72168      0.45701   -3.3307e-16     -0.72168
_SET2_   51440         1   40142820   40167382    105      19  161405      0.95212     0.027688   -3.3307e-16      0.95212
_SET2_   100132074     1   41817328   41850763     85      19  161405       2.9209   5.1313e-05   -4.4409e-16       2.9209
_SET2_   5792          1   43981708   44090843    256      15  161405       5.2723   1.2509e-10             0       5.2723
_SET2_   9048          1   44388992   44404412     37       6  161405       3.1125   4.7033e-05   -4.4409e-16       3.1125
_SET2_   8704          1   44434874   44458343     36       8  161405        3.738   2.5563e-06   -4.4409e-16        3.738
_SET2_   255738        1   55495149   55532026    157      32  161405      0.83448     0.033764   -3.3307e-16      0.83448
_SET2_   1600          1   57458953   58726211   3504     201  161405     -0.63967     0.017081   -3.3307e-16     -0.63967
_SET2_   79739         1   84333557   84474850    367      16  161405       -0.506      0.26695   -3.3307e-16       -0.506
_SET2_   5567          1   84533745   84705681    246      22  161405      0.14785      0.11156   -3.8858e-16      0.14785
_SET2_   8543          1   87784151   87816106     71      18  161405      -0.9519      0.55322   -3.3307e-16      -0.9519
_SET2_   163404        1   99354301   99480449    470      44  161405      0.81464     0.020936   -3.3307e-16      0.81464
_SET2_   9890          1   99719848   99776640    149      20  161405      -1.3888      0.66937   -4.4409e-16      -1.3888
_SET2_   118427        1  102266626  102472790    693      67  161405       2.5216   4.1358e-05   -4.4409e-16       2.5216
_SET2_   57463         1  110047946  110062336     44       8  161405      -1.2123      0.63109   -4.4409e-16      -1.2123
_SET2_   388662        1  110683132  110746324    136      15  161405       1.0032     0.023194   -4.4409e-16       1.0032
_SET2_   10500         1  151102661  151129146     58      11  161405       2.1204    0.0014467   -4.4409e-16       2.1204
_SET2_   1141          1  154530257  154553854     42      13  161405       2.5194   0.00040176   -4.4409e-16       2.5194
_SET2_   64218         1  156107145  156149042     75      15  161405     0.032243      0.16768    -3.747e-16     0.032243
_SET2_   60484         1  156579085  156597017     28       5  161405      -0.8411      0.51675   -3.3307e-16      -0.8411
_SET2_   93185         1  160059629  160078650     44       7  161405       2.5633   0.00029569   -4.4409e-16       2.5633
_SET2_   26052         1  171800618  172389106   1326      64  161405      0.62649    0.0035871   -3.3307e-16      0.62649
_SET2_   85414         1  205625479  205659630     93      20  161405      0.63607     0.057415   -3.3307e-16      0.63607
_SET2_   7042          1  218508676  218619461    219      38  161405      0.73935     0.040047   -3.3307e-16      0.73935
_SET2_   7483          1  228107665  228145676     88       9  161405     -0.47912      0.33727   -3.8858e-16     -0.47912
_SET2_   126731        1  229455252  229488688     75      12  161405      0.29029      0.11151   -3.8858e-16      0.29029
_SET2_   440730        1  231288674  231358814    220      34  161405       1.0519     0.021918   -4.4409e-16       1.0519
_SET2_   285016        2     278061     299002     38       7  161405      0.67406     0.061037   -3.3307e-16      0.67406
_SET2_   54221         2     936554    1372901   1811      64  161405     0.069768    0.0040203    -3.747e-16     0.069768
_SET2_   23040         2    1791385    2345147   1549      86  161405      0.63134    0.0025087   -3.3307e-16      0.63134
_SET2_   3398          2    8812113    8826083     33       9  161405      0.41563      0.11809   -3.8858e-16      0.41563
_SET2_   57498         2    8863795    8987755    220      27  161405      0.32504     0.087632   -3.8858e-16      0.32504
_SET2_   4613          2   16070683   16088629     42       8  161405     -0.15118      0.23168   -3.8858e-16     -0.15118
_SET2_   2281          2   24262584   24288051     50       9  161405      0.25779      0.13295   -3.8858e-16      0.25779
_SET2_   8648          2   24704919   24995071    619      28  161405     -0.30104       0.1442   -3.8858e-16     -0.30104
_SET2_   7349          2   27528765   27541130     13       6  161405       1.6379    0.0080412   -4.4409e-16       1.6379
_SET2_   51232         2   36573370   36779778    535      45  161405      -1.2644      0.48022   -4.4409e-16      -1.2644
_SET2_   6546          2   40337786   40749575   1443      90  161405       3.4066   2.1734e-08   -4.4409e-16       3.4066
_SET2_   6711          2   54673454   54900083    633      26  161405       1.8791   0.00050177   -4.4409e-16       1.8791
_SET2_   2016          2   73134604   73163520     39      11  161405       3.3247   1.2657e-05   -4.4409e-16       3.3247
_SET2_   1496          2   79730060   80877493   3207     224  161405      0.59813   0.00037723   -3.3307e-16      0.59813
