GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     849993     881461     90      15  161405       1.8666     0.030977
26155        1     878083     904679     79      10  161405       2.8084    0.0024893
339451       1     885967     902599     53       6  161405       2.7678    0.0028216
84069        1     891872     911988     62      14  161405       2.7462    0.0030148
84808        1     909079     927473     73      12  161405     -0.25326      0.59996
57801        1     932842     946608     39       8  161405      -0.6705      0.74873
9636         1     938847     951420     32       5  161405      -1.1688      0.87876
375790       1     945503     992999    116      13  161405      -2.2578      0.98802
401934       1    1005626    1019687     36       5  161405      0.18012      0.42853
54991        1    1015698    1061736    166      15  161405      -1.0141      0.84474
254173       1    1099286    1134815    174      23  161405       1.6231     0.052289
8784         1    1137388    1152163     50       8  161405       1.8986     0.028808
7293         1    1145206    1159703     72       7  161405       2.9549     0.001564
51150        1    1150788    1177447    135       9  161405       3.0657    0.0010858
126792       1    1157629    1171921     89       6  161405       3.0158    0.0012813
388581       1    1176326    1192102     46       7  161405       3.7496   8.8545e-05
118424       1    1187792    1219234     98      12  161405       1.7097     0.043659
6339         1    1205816    1228909     79      14  161405       2.0124      0.02209
116983       1    1226264    1253304     61      11  161405       2.1423     0.016085
126789       1    1233962    1248557     31       7  161405        2.402    0.0081524
54973        1    1245465    1270067     53       9  161405       1.6143      0.05323
80772        1    1250136    1265776     35       6  161405       1.8507     0.032105
83756        1    1256726    1271344     43       8  161405       1.5816     0.056866
1855         1    1269158    1294509     70      11  161405       1.1804      0.11893
54587        1    1286571    1307183     94      10  161405       1.8078     0.035316
54998        1    1307610    1320818     52       7  161405       1.1091      0.13369
81669        1    1319591    1344718     53      11  161405       1.0862      0.13869
55052        1    1335776    1352693     41       6  161405      0.46287      0.32173
643965       1    1351508    1364667     49       7  161405     -0.54728      0.70791
441869       1    1352300    1366824     54       8  161405     -0.42463      0.66445
64856        1    1360903    1379762     49       8  161405      0.88554      0.18793
219293       1    1368152    1407038     80      14  161405       2.3055     0.010569
83858        1    1397139    1446352     61      15  161405       2.9314    0.0016871
55210        1    1437523    1471567     79      12  161405       2.5606    0.0052247
339453       1    1468658    1485740     36       8  161405       1.8896     0.029406
29101        1    1475553    1520262    139      14  161405       2.1601     0.015382
643988       1    1531888    1545476     25       6  161405       0.6906      0.24491
142678       1    1540795    1567490     61      10  161405       1.7714     0.038245
